claim_id,chapter,claim_text,claim_type,theoretical_or_empirical,support_source,experiment_or_theorem,sample_size,assumptions,information_contract,plant_model,status,allowed_wording,forbidden_wording,main_or_supplement,notes
CL-01,"1 Introduccion","La cobertura de capacidad agregada no implica que la coalicion pueda ejercer el wrench que la mision exige","gap","theoretical","sections/v2/sp2-canonical-bridge.tex","prop:pre-sp2-scalar-insufficiency (FSF-06)","n/a","Carga planar; contactos conocidos; fuerzas acotadas","local","planar rigido","SUPPORTED","la capacidad escalar es insuficiente como certificado mecanico","la capacidad garantiza el transporte","main","Nucleo del argumento C1 no implica C2"
CL-02,"1 Introduccion","Asignacion, mecanica, seguridad, recuperacion y trafico se certifican habitualmente bajo abstracciones distintas","gap","theoretical","sections/v2/review-compact.tex; Anexo F","revision sistematica, 59 trabajos canonicos de 3014 registros","59 trabajos","Criterio de inclusion declarado en 4.9","n/a","n/a","SUPPORTED","dentro del corpus y criterio documentados no se identifico","no existe en la literatura","main","Afirmacion de ausencia sobre corpus propio: mantener el calificativo"
CL-03,"Resumen/Abstract","La arquitectura conecta las capas sin transferir garantias de una a otra","contribution","theoretical","sections/v2/thesis-results-v2.tex","tab:pre-cross-certificates + prop:pre-cross-partition-limit","n/a","Cada capa consume el certificado anterior sin ampliar su dominio","mixto","mixto","SUPPORTED","regla de composicion con dominio declarado","composicion formal de garantias","main","Es la contribucion central defendible"
CL-04,"6 Resultados","Bajo recursos suficientes y penalizacion lambda>kappa_max los Nash puros son exactamente los perfiles de cuota exacta","theorem","theoretical","sections/v2/sp1-compact.tex","thm:pre-sp1-exact-quota (FSF-01)","n/a","sum_k n_k <= N; lambda > kappa_max; costes fijos adimensionales","local","juego discreto","SUPPORTED","regula cuotas exactas bajo las condiciones declaradas","regula cuotas en general","main","Cota (K+1)^N-1 cambios aceptados"
CL-05,"6 Resultados","La escasez de recursos degenera la regulacion de cuota a seleccion todo-o-nada","theorem","theoretical","evidence/formal-spine-final-verdicts.csv","THESIS-FR-0005 thm:sp1-scarcity-degeneracy","n/a","Deficit lineal","local","juego discreto","SUPPORTED","resultado negativo exacto en su frontera","n/a","main","Atlas PASS; resultado negativo util"
CL-06,"6 Resultados","La completitud absoluta de SP1 pasa de 0.051 a 0.135 frente a 0.263 neural y 0.487 MILP","empirical","empirical","shared/generated-macros/sp2_numbers.tex","E2","segun macro de campana","Mundos pareados; semillas declaradas","local vs global","juego discreto","SUPPORTED","mejora relativa con coste absoluto declarado","supera a los metodos centralizados","main","El metodo PIERDE en tasa absoluta: debe decirse"
CL-07,"6 Resultados","La guardia de wrench reduce los falsos positivos de admision en la interfaz SP1-SP2","empirical","empirical","shared/generated-macros/sp3_numbers.tex","E3, 600 instancias","600","QP planar; contactos y demanda conocidos","local","planar rigido","SUPPORTED","reduce falsos positivos con cobertura y abstencion declaradas","elimina los falsos positivos","main","H2, apoyo parcial"
CL-08,"6 Resultados","El reparto regularizado tiene minimizador unico y su residual acota el puro","theorem","theoretical","sections/sp1-wrench-condensed.tex","prop:pre-sp1-wrench-residual (FSF-09, FSF-10)","n/a","Regularizacion epsilon_lambda>0; conjunto admisible no vacio","local","planar rigido","SUPPORTED","el certificado regularizado es conservador","el certificado regularizado es exacto","main","FSF-10 sustituye al enunciado biconditional que fallo"
CL-09,"6 Resultados","La pose de Cargo es localmente estable con contacto fijo y wrench exacto","theorem","theoretical","sections/v2/sp2-compact.tex","thm:sp2-compact-e4-pose (FSF-07, FSF-08)","n/a","Contacto fijo; carga planar; pose conocida; LaSalle sobre Vdot=0","local","planar rigido","SUPPORTED","estabilidad asintotica local bajo contacto fijo","estabilidad global del sistema hibrido","main","Requiere el paso de invariancia de LaSalle explicito"
CL-10,"6 Resultados","Acoplar el coste espacial a la decision estrategica reduce el tiempo de terminacion","hypothesis","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo, contraste temporal","360 mundos","Mundos pareados; familia confirmatoria con Holm","local","planar reducido","NOT_SUPPORTED","el contraste temporal no sustento una ventaja","el acoplamiento espacial acelera la ejecucion","main","efecto -0.086 IC [-0.178;0.013] pHolm 0.068. H3. NO OCULTAR"
CL-11,"6 Resultados","Retirar la guarda fisica degrada la mision","empirical","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo, ablacion sin guarda","360 mundos","Ablacion combinada: certificado + waypoint + filtro","local","planar reducido","PARTIAL","acredita el bloque combinado de seguridad","acredita la guarda mecanica aislada","main","efecto 0.996 IC [0.989;1.000] pHolm 5.79e-21. Causalidad combinada (doc 14 B6)"
CL-12,"6 Resultados","Retirar la reparacion degrada la mision","empirical","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo, ablacion sin reparacion","360 mundos","Un agotamiento; fallo simple","local","planar reducido","SUPPORTED","la reparacion local restaura la mision en el banco","recuperacion garantizada","main","efecto 0.989 IC [0.967;1.000] pHolm 6.46e-27"
CL-13,"6 Resultados","El juego de reparacion tiene PoS=1 y su peor Nash no admite cota uniforme","theorem","theoretical","sections/v2/sp2-compact.tex","thm:sp2-compact-e6-feasible-nash (FSF-13), prop:sp2-compact-e6-unbounded-poa (FSF-14)","n/a","Capacidades no negativas; costes estrictamente positivos; lambda_6>kappa_max/delta_min","local","juego discreto","SUPPORTED","PoS=1 bajo costes positivos; PoA no acotado","el juego alcanza siempre el optimo","main","El enunciado v2 YA lleva la correccion de costes positivos (FSF-13)"
CL-14,"6 Resultados","Todo camino maximal de mejoras estrictas del juego de reparacion termina","theorem","theoretical","sections/v2/sp2-compact.tex","thm:sp2-compact-e6-exact-potential (FSF-12)","n/a","Camino maximal; mejoras estrictas; conjunto finito de coaliciones","local","juego discreto","SUPPORTED","terminacion en a lo sumo 2^{n_R}-1 cambios","convergencia al optimo","main","El enunciado v2 YA lleva camino maximal"
CL-15,"6 Resultados","La reserva de zona elimina el interbloqueo frente a su ablacion","empirical","empirical","shared/generated-macros/sp7_numbers.tex","E7, 360 mundos pareados","360","Exclusion logica, no separacion continua","local","catalogo discreto","SUPPORTED","entrega 1.000 frente a 0.739 sin reserva","evita colisiones","main","efecto 0.261 IC [0.217;0.308] pHolm 5e-29"
CL-16,"6 Resultados","Todo camino maximal de mejoras del juego de rutas termina","theorem","theoretical","sections/v2/sp3-compact.tex","thm:sp3-compact-e7-potential (FSF-16)","n/a","Catalogos finitos no vacios; perfiles coherentes; camino maximal","local","catalogo discreto","SUPPORTED","terminacion; cota prod|R_i|-1","optimalidad de la asignacion de rutas","main","El enunciado v2 YA lleva camino maximal"
CL-17,"6 Resultados","Si lambda_7>theta_7 todo Nash puro esta libre de conflictos","theorem","theoretical","sections/v2/sp3-compact.tex","prop:sp3-compact-e7-conflict-free (FSF-17)","n/a","theta_7 finito; accesibilidad","local","catalogo discreto","LIMITED","la accesibilidad se infirio empiricamente, no se calculo a priori","se verifico el margen antes del experimento","main","El propio texto declara la inferencia empirica del umbral"
CL-18,"6 Resultados","Ningun algoritmo determinista de historial local devuelve el optimo global en dos instancias indistinguibles con proyecciones optimas disjuntas","theorem","theoretical","sections/v2/thesis-results-v2.tex","prop:pre-cross-partition-limit (FSF-18)","n/a","Algoritmos deterministas de historial local; par indistinguible existente","local","transversal","SUPPORTED","instancia de un limite informacional conocido","resultado de imposibilidad nuevo","main","Cita Fischer-Lynch-Paterson 1985. Testigo en E7 coherente con P_7 por recurso"
CL-19,"6 Resultados","El juego de integracion admite potencial exacto por factores","theorem","theoretical","sections/v2/megajuego-compact.tex","prop:megajuego-exact-potential","n/a","Incidencia de factores; desviacion unilateral admisible","local por bloque","hibrido","SUPPORTED","potencial exacto bajo la estructura de incidencia declarada","localidad de la sensibilidad reducida","main","CAVEAT §12: factorizacion previa a eliminacion de estado NO prueba localidad reducida"
CL-20,"6 Resultados","El optimo central de una rama convexa coincide con el equilibrio variacional","theorem","theoretical","sections/v2/megajuego-compact.tex","thm:megajuego-central-optimum","n/a","K no vacio cerrado convexo; Phi convexa diferenciable; F=grad Phi","local por bloque","hibrido","SUPPORTED","equivalencia VI-optimo en la rama convexa","el juego converge al optimo global","main","Distincion vGNE vs GNE ordinario debe ser explicita (§13)"
CL-21,"6 Resultados","La familia Bezier de dos coaliciones admite separacion exacta si y solo si a_A+a_B>=D","theorem","theoretical","sections/v2/megajuego-compact.tex","thm:megajuego-bezier-separation","30 instancias de verificacion","Dos coaliciones; familia geometrica fija","local por bloque","cinematico","SUPPORTED","separacion exacta en esta familia","separacion en clases de homotopia arbitrarias","main","residual max 9.998e-10 en 113 iteraciones"
CL-22,"6 Resultados","El presupuesto de ejecucion acota duracion y numero de revisiones","theorem","theoretical","sections/v2/megajuego-compact.tex","thm:megajuego-execution-budget","n/a","Testigo inicial seguro; tubos que componen; sin Zenon; consumo monotono","local por bloque","hibrido","SUPPORTED","acota T<=W_0/kappa_W y N_rev<=floor(W_0/delta)","el objetivo se alcanza; vivacidad","main","TERMINACION, NO VIVACIDAD. La existencia del testigo inicial es supuesto sustantivo"
CL-23,"6 Resultados","El certificado de caging admite solucion KKT racional exacta","theorem","theoretical","sections/v2/megajuego-compact.tex","eq:megajuego-caging-qp","1 instancia","Una carga circular; cuatro contactos cardinales","local","cuasi-estatico","LIMITED","ejemplo analitico exacto en su dominio","certificado de caging general","supplement","§20: sin validacion activa, mover derivacion racional al suplementario. Atlas: pr:caging FAIL como resultado general"
CL-24,"6 Resultados","CoppeliaSim reproduce el resultado cualitativo de E4 en el paso estrecho","empirical","empirical","legacy/results/sp4/SP4_V4_COPPELIA_PAIRED_NARROW/summary.json","SP4 paso estrecho","n=1, semilla 886001","Mundo pareado; mismo origen, destino y semilla","local","cinematico","LIMITED","reproduccion geometrica y de reejecucion en otro motor","validacion fisica; validacion dinamica","main","error de reejecucion 6.89e-9 m. NO es fisica independiente"
