scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,ranking_rule,feasible_load_count_mean,completed_load_count_mean,task_completion_rate_mean,recovery_success_mean,recovery_time_s_mean,load_target_reached_rate_mean,mean_final_pose_error_m_mean,max_final_pose_error_m_mean,mean_final_orientation_error_deg_mean,max_final_orientation_error_deg_mean,lost_load_rate_mean,infeasible_load_count_mean,infeasible_load_detection_rate_mean,post_event_wrench_feasible_rate_mean,mean_wrench_residual_norm_mean,min_wrench_margin_mean,unsupported_time_s_mean,load_pause_time_s_mean,degraded_speed_time_s_mean,replacement_arrival_time_s_mean,final_assigned_loads_mean,final_idle_robots_mean,reassignment_count_mean,final_active_robot_rate_mean,failed_robot_count_mean,battery_margin_final_mean,min_battery_fraction_mean,communication_coverage_ratio_mean,communication_messages_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
ALL_SCENARIOS,1,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.2455,1.494,0.7116666666666667,0.5155,45.64190383527923,0.7115,1.6508187916696178,2.6855973003616276,0.06504854426513164,0.1711788586286954,0.2883333333333334,0.888,0.5970833333333334,0.9672755961032092,0.3249082727396613,-0.09971918838885015,0.21084000000000003,3.48033,4.60117,1.3898930134055807,1.2085,4.2135,8.972,0.9442375,0.447,0.2651180961028416,0.41511809610284156,0.8580444178554105,20863.557,0.0,0.0,81.8065,0.11499999892919868,0.15566112078553346,0.10144796020633305,140.0868110145164,17.559045616250195,0.344257893860158,1105.8737633552785,0.3286884969359906,0.7599915414177801,0.0,536.9321708497009,141.68598786907754,136.8400339570061,4.845953912071438,0.010778485160258188,0.010778485160258188
ALL_SCENARIOS,2,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.2475,1.4935,0.7095,0.511,45.75751593905108,0.7095,1.6425404400142989,2.7027866683859756,0.3334143732914974,0.7421308540260217,0.2905,0.886,0.5979166666666667,0.9723175764877181,0.41364094332435153,-0.09432021135738847,0.32067,3.9476500000000003,4.2784,1.2297348519521025,1.2145,4.192,8.955,0.9450791666666667,0.44,0.2651500388611155,0.41515003886111557,0.8569175522588726,20839.325,0.0,0.0,102.249,0.11499999605358806,0.14767625606590598,0.11133935255913026,140.81024870616827,17.637075511244962,0.34109905124179385,1111.816440502168,0.3307497273375157,0.7434604099775941,0.0,530.0245022993768,139.97537739570777,136.8400339570061,3.1353434387016743,0.044675198908660035,0.044675198908660035
ALL_SCENARIOS,3,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.247,1.489,0.7089166666666666,0.508,45.770170888171585,0.70875,1.6506710806719935,2.6936136056486064,0.07316871641542198,0.18468246612313624,0.29108333333333336,0.8865,0.5963333333333334,0.9666544758297516,0.3629160497049069,-0.10375274889339894,0.25431000000000004,3.5678300000000003,4.63449,1.423162600504956,1.217,4.1655,8.7335,0.943875,0.45,0.26484432127972846,0.4148443212797284,1.0,24160.291,0.0,0.0,80.5865,0.11499999463096769,0.16006807167887824,0.10527736396268589,140.3478427310153,17.590217496065545,0.3440968831180082,1108.0151177404248,0.32839442642386346,0.7599582926430103,0.0,532.9123855510843,136.8400339570061,136.8400339570061,0.0,0.0,0.0
ALL_SCENARIOS,4,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.2505,1.49,0.70725,0.506,45.88944479728175,0.70725,1.652509258057469,2.7220284419516094,0.3452913379397677,0.768706176163797,0.29275,0.883,0.5818333333333332,0.9722162793870669,0.44471485064842353,-0.09693880727318671,0.35140000000000005,4.06231,4.29625,1.2772645936314757,1.232,4.1075,8.803,0.9446958333333333,0.443,0.26405970415749674,0.41405970415749677,0.8566674491945184,20833.305,0.0,0.0,101.358,0.11499999617085999,0.14891413192124067,0.1160585049612207,140.77428392482298,17.631792240615496,0.3407825709695238,1111.3297055667845,0.3311284662421737,0.7434585988614966,0.0,528.2798794509144,137.74966191893185,136.8400339570061,0.9096279619257555,0.04802924550106114,0.04802924550106114
ALL_SCENARIOS,5,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.2535,1.4815,0.7033333333333333,0.5,46.39528965014978,0.7033333333333333,1.6836948255582191,2.740618807958087,0.09772809181853039,0.2468117546747775,0.29666666666666663,0.88,0.5840833333333334,0.9677485696134774,0.40860174067657284,-0.10195494629593273,0.28994000000000003,3.9078200000000005,4.5964100000000006,1.4215717183258318,1.24,4.095,8.861,0.9444750000000001,0.445,0.26493141011296345,0.4149314101129635,0.8571012494146901,20842.816,0.0,0.0,81.8615,0.11499999683580643,0.15442695771809462,0.10702795704545585,139.97046248684842,17.542890152718847,0.34354450048060226,1105.061561420131,0.3280203745197828,0.7434035453977479,0.0,536.4075022497564,135.74721715159203,136.8400339570061,-1.0928168054140879,0.03152770502902405,0.03152770502902405
ALL_SCENARIOS,6,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.2545,1.4805,0.701375,0.4975,46.140721260065064,0.701375,1.6779954550933276,2.759848310383119,0.3585654443631374,0.7980730948893502,0.298625,0.879,0.59675,0.9722606849810366,0.48571848944063195,-0.09618081572514182,0.39354,4.228210000000001,4.35946,1.3102732204217762,1.2305,4.125,8.812,0.9449249999999999,0.4415,0.2635692778948517,0.41356927789485165,0.8559117918359538,20816.43,0.0,0.0,102.618,0.11499999817055245,0.1467977039462609,0.11580924774180434,140.7766500469211,17.63272813541565,0.3411911908994018,1111.5387537067104,0.33094816818688416,0.7434306995624915,0.0,530.5821936514694,135.25613432757916,136.8400339570061,-1.5838996294269243,0.05230721714549073,0.05230721714549073
ALL_SCENARIOS,7,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.263,1.487,0.6995833333333332,0.491,46.60853814670786,0.6995833333333332,1.6886982852777888,2.781860965606158,0.3527860132692985,0.7873780781647076,0.30041666666666667,0.8705,0.595,0.9722197414206716,0.49859460203304423,-0.10120475515977494,0.38283000000000006,4.5490200000000005,4.53544,1.2718198277718693,1.235,4.097,8.7345,0.9442999999999999,0.4465,0.2632881213608503,0.41328812136085025,1.0,24160.291,0.0,0.0,100.8645,0.11499999957410162,0.1582094501322144,0.12660924588488495,140.7221339349085,17.61339505541918,0.3411562442925083,1110.6113711012365,0.3283286585411509,0.7267872858787328,0.0,526.4234263011604,130.5423760771149,136.8400339570061,-6.297657879891198,0.060699354075334076,0.060699354075334076
ALL_SCENARIOS,8,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.264,1.4765,0.69575,0.4885,46.58079910629871,0.69575,1.8007638732990594,3.0078877202554626,0.5418830692499539,1.218345736970019,0.30425,0.8695,0.49733333333333335,0.9402520400038068,1.433098857320585,-0.13269138008989778,1.41323,4.709950000000001,5.5312600000000005,2.6890234068906045,1.333,3.7625,7.6545,0.9440583333333334,0.4485,0.2692410005834537,0.4192410005834537,0.857297319175563,20862.195,0.0,0.0,98.784,0.11499999931511351,0.14315888960076908,0.10892101478463999,136.84687831447837,16.975097825588293,0.34663436692432265,1080.803573731652,0.32486435925826745,0.7268559439953486,0.0,534.9868461010628,127.39837483849568,136.8400339570061,-9.441659118510387,0.07655190665255548,0.07655190665255548
ALL_SCENARIOS,9,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.267,1.48,0.695875,0.486,46.70542480807999,0.695875,1.7514075526689994,2.9052890397506292,0.41939683272186445,0.9677473428633966,0.304125,0.8665,0.5023333333333334,0.9416118130426512,0.6569855204365558,-0.12173482787149452,0.60648,4.2916300000000005,6.2134800000000014,1.8717374729969167,1.367,3.7575,7.499,0.9385902777777778,0.4895,0.26430626926268874,0.41430626926268876,1.0,24160.291,0.0,0.0,98.3415,0.11499999554854641,0.12782718978407595,0.09989489386203357,135.7468395659969,16.85950512879435,0.3452953466260228,1072.6592494184042,0.32524878677973723,0.7432161564266406,0.0,550.8550954491948,124.80462125293894,136.8400339570061,-12.03541270406715,0.07929206133320095,0.07929206133320095
ALL_SCENARIOS,10,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,2000,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",2.275,1.473,0.689,0.473,47.12059620427317,0.689,1.7783783684111405,2.957884120129745,0.42857282090907434,0.9816168511919507,0.311,0.8585,0.48058333333333336,0.9362099632116162,0.819785176245651,-0.12998057773590432,0.75579,4.892860000000001,6.685560000000001,2.263607763811461,1.4075,3.583,7.2305,0.9383041666666667,0.492,0.2649320459579819,0.41493204595798194,0.8562232932267757,20837.226,0.0,0.0,94.5445,0.11499999773733978,0.1320317980369942,0.1047801078313164,135.15128018114936,16.77895919617809,0.3474798746469276,1067.5572190118992,0.31815176953598917,0.7102134316779182,0.0,540.5079321991652,122.16461573600267,136.8400339570061,-14.675418221003417,0.09239511280010794,0.09239511280010794
