method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
HUN,,,EXACT,True,fab1a73ece9bec8c,True,True,True,True,True
GRD,,,POLICY,True,fab1a73ece9bec8c,True,True,True,True,True
DA,,,POLICY,True,fab1a73ece9bec8c,True,True,True,True,True
REP,REP,LIN,QR1,True,fab1a73ece9bec8c,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,fab1a73ece9bec8c,True,True,True,True,True
BNN,BNN,MC,QR1,True,fab1a73ece9bec8c,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,fab1a73ece9bec8c,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,fab1a73ece9bec8c,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,fab1a73ece9bec8c,True,True,True,True,True
HUN,,,EXACT,True,746519f63a748b87,True,True,True,True,True
GRD,,,POLICY,True,746519f63a748b87,True,True,True,True,True
DA,,,POLICY,True,746519f63a748b87,True,True,True,True,True
REP,REP,LIN,QR1,True,746519f63a748b87,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,746519f63a748b87,True,True,True,True,True
BNN,BNN,MC,QR1,True,746519f63a748b87,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,746519f63a748b87,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,746519f63a748b87,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,746519f63a748b87,True,True,True,True,True
HUN,,,EXACT,True,efb1541e8e6d707d,True,True,True,True,True
GRD,,,POLICY,True,efb1541e8e6d707d,True,True,True,True,True
DA,,,POLICY,True,efb1541e8e6d707d,True,True,True,True,True
REP,REP,LIN,QR1,True,efb1541e8e6d707d,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,efb1541e8e6d707d,True,True,True,True,True
BNN,BNN,MC,QR1,True,efb1541e8e6d707d,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,efb1541e8e6d707d,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,efb1541e8e6d707d,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,efb1541e8e6d707d,True,True,True,True,True
HUN,,,EXACT,True,f9be26c9c1b5e787,True,True,True,True,True
GRD,,,POLICY,True,f9be26c9c1b5e787,True,True,True,True,True
DA,,,POLICY,True,f9be26c9c1b5e787,True,True,True,True,True
REP,REP,LIN,QR1,True,f9be26c9c1b5e787,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,f9be26c9c1b5e787,True,True,True,True,True
BNN,BNN,MC,QR1,True,f9be26c9c1b5e787,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,f9be26c9c1b5e787,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,f9be26c9c1b5e787,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,f9be26c9c1b5e787,True,True,True,True,True
HUN,,,EXACT,True,f9dcb1a2dbfef7a4,True,True,True,True,True
GRD,,,POLICY,True,f9dcb1a2dbfef7a4,True,True,True,True,True
DA,,,POLICY,True,f9dcb1a2dbfef7a4,True,True,True,True,True
REP,REP,LIN,QR1,True,f9dcb1a2dbfef7a4,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,f9dcb1a2dbfef7a4,True,True,True,True,True
BNN,BNN,MC,QR1,True,f9dcb1a2dbfef7a4,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,f9dcb1a2dbfef7a4,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,f9dcb1a2dbfef7a4,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,f9dcb1a2dbfef7a4,True,True,True,True,True
HUN,,,EXACT,True,9b46dbf280aa3730,True,True,True,True,True
GRD,,,POLICY,True,9b46dbf280aa3730,True,True,True,True,True
DA,,,POLICY,True,9b46dbf280aa3730,True,True,True,True,True
REP,REP,LIN,QR1,True,9b46dbf280aa3730,True,True,True,True,True
