world_key,world_seed,scenario,method,time,event,active_loads,failed_robots,assignment,rounds,messages,bytes,stage_cost,deficit,normalized_deficit,distance,switches,feasible
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,0,initial_job,0,,-1;0;-1;-1;-1,5,75,3096,0.24506412687500878,0.0,0.0,35.09534737616052,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,1,job_1_arrival,0;1,,-1;0;-1;1;1,9,147,5840,0.6014741296597826,0.0,0.0,111.29686510713825,2,True
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,2,robot_failure,0;1,1,1;-1;-1;0;1,9,127,5104,0.8412071461582638,0.0,0.0,144.42409709934446,3,True
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,3,job_0_completion,1,1,-1;-1;-1;1;1,6,86,3484,0.5064100027847738,0.0,0.0,76.20151773097771,2,True
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,4,job_2_arrival,1;2,1,2;-1;-1;1;1,8,89,3536,0.48509342431029895,0.0,0.0,123.70828530408261,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,myopic_cold,5,job_1_completion,2,1,-1;-1;-1;-1;2,5,65,2756,0.5394306894088655,0.0,0.0,33.01562023517365,3,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,0,initial_job,0,,-1;0;-1;-1;-1,5,75,3096,0.24506412687500878,0.0,0.0,35.09534737616052,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,1,job_1_arrival,0;1,,-1;0;-1;1;1,6,104,4180,0.6014741296597826,0.0,0.0,111.29686510713825,2,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,2,robot_failure,0;1,1,1;-1;-1;0;1,7,90,3892,0.8412071461582638,0.0,0.0,144.42409709934446,3,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,3,job_0_completion,1,1,-1;-1;-1;1;1,6,78,3476,0.5064100027847738,0.0,0.0,76.20151773097771,2,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,4,job_2_arrival,1;2,1,2;-1;-1;1;1,5,51,2268,0.48509342431029895,0.0,0.0,123.70828530408261,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,event_triggered_warm,5,job_1_completion,2,1,-1;-1;-1;-1;2,7,93,4020,0.5394306894088655,0.0,0.0,33.01562023517365,3,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,0,initial_job,0,,-1;-1;-1;0;-1,0,0,0,0.32023108479233664,0.0,0.0,62.845147285292825,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,1,job_1_arrival,0;1,,1;-1;-1;0;1,0,0,0,0.6912071461582638,0.0,0.0,144.42409709934446,2,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,2,robot_failure,0;1,1,1;-1;-1;0;1,0,0,0,0.3912071461582638,0.0,0.0,144.42409709934446,0,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,3,job_0_completion,1,1,1;-1;-1;2;1,0,0,0,0.4865667995362968,0.0,0.0,124.2522193523047,1,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,4,job_2_arrival,1;2,1,1;-1;-1;2;1,0,0,0,0.33656679953629676,0.0,0.0,124.2522193523047,0,True
E8:uniform:r0:s1488895239,1488895239,uniform,perfect_foresight_dp,5,job_1_completion,2,1,-1;-1;-1;2;1,0,0,0,0.3271521653306367,0.0,0.0,65.40024071216864,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,0,initial_job,0,,-1;-1;0;-1;-1,5,75,3052,0.1860355406369467,0.0,0.0,14.052928606848653,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,1,job_1_arrival,0;1,,-1;-1;0;1;-1,6,104,4036,0.2804649407059981,0.0,0.0,50.87795173963238,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,2,robot_failure,0;1,0,-1;-1;0;1;-1,6,82,3292,0.13046494070599807,0.0,0.0,50.87795173963238,0,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,3,job_0_completion,1,0,-1;-1;-1;1;-1,5,61,2564,0.24442940006905145,0.0,0.0,36.82502313278373,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,4,job_2_arrival,1;2,0,-1;-1;2;1;2,7,88,3484,0.6672743650145863,0.0,0.0,143.22750094621514,2,True
E8:uniform:r1:s1794601496,1794601496,uniform,myopic_cold,5,job_1_completion,2,0,-1;-1;2;-1;2,6,77,3136,0.42284496494553475,0.0,0.0,106.40247781343142,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,event_triggered_warm,0,initial_job,0,,-1;-1;0;-1;-1,5,75,3052,0.1860355406369467,0.0,0.0,14.052928606848653,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,event_triggered_warm,1,job_1_arrival,0;1,,-1;-1;0;1;-1,5,65,2712,0.2804649407059981,0.0,0.0,50.87795173963238,1,True
E8:uniform:r1:s1794601496,1794601496,uniform,event_triggered_warm,2,robot_failure,0;1,0,-1;-1;0;1;-1,2,18,864,0.13046494070599807,0.0,0.0,50.87795173963238,0,True
