world_key,graph_regime,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected
E3:uniform:p0.7:cv0.0:r0,medium,81,10.125,5,2,1,4.531452980949587,True
E3:uniform:p0.7:cv0.0:r1,medium,75,9.375,5,3,1,2.642817163468848,True
E3:uniform:p0.7:cv0.0:r2,medium,53,6.625,4,4,1,1.5610583414991872,True
E3:uniform:p0.7:cv0.0:r3,medium,47,5.875,1,4,1,0.6107372821866587,True
E3:uniform:p0.7:cv0.0:r4,medium,95,11.875,6,2,1,5.697572873231623,True
E3:uniform:p0.7:cv0.0:r5,medium,59,7.375,4,3,1,1.792569491727456,True
E3:uniform:p0.7:cv0.0:r6,medium,65,8.125,4,3,1,2.553387500214278,True
E3:uniform:p0.7:cv0.0:r7,medium,61,7.625,3,3,1,1.6950561453274962,True
E3:uniform:p0.7:cv0.0:r8,medium,41,5.125,1,5,1,0.4507102321626627,True
E3:uniform:p0.7:cv0.0:r9,medium,47,5.875,2,4,1,0.9171595201408962,True
E3:uniform:p0.7:cv0.0:r10,medium,59,7.375,1,3,1,0.889696390958527,True
E3:uniform:p0.7:cv0.0:r11,medium,43,5.375,2,4,1,0.7945696567340073,True
E3:uniform:p0.7:cv0.0:r12,medium,58,7.25,2,3,1,1.2903094634006462,True
E3:uniform:p0.7:cv0.0:r13,medium,78,9.75,6,2,1,4.504361767768368,True
E3:uniform:p0.7:cv0.0:r14,medium,48,6.0,3,4,1,1.2268158382094847,True
E3:uniform:p0.7:cv0.0:r15,medium,46,5.75,2,3,1,0.8943460218915814,True
E3:uniform:p0.7:cv0.0:r16,medium,57,7.125,1,4,1,0.5314877342808896,True
E3:uniform:p0.7:cv0.0:r17,medium,78,9.75,4,3,1,3.633731067055448,True
E3:uniform:p0.7:cv0.0:r18,medium,77,9.625,3,3,1,2.5403552010849046,True
E3:uniform:p0.7:cv0.0:r19,medium,58,7.25,3,3,1,1.2853148463585384,True
