world_id,scenario,capacity_cv,pressure,replicate,world_seed,world_digest
n3b-uniform-cv0.00-p0.85-r00,uniform,0.0,0.85,0,37715312688326,8cd3321f733acba489c730dd747809d07804e400917c60666252804b77d34f14
n3b-uniform-cv0.00-p0.85-r01,uniform,0.0,0.85,1,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a
n3b-uniform-cv0.00-p0.85-r02,uniform,0.0,0.85,2,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50
n3b-uniform-cv0.00-p0.85-r03,uniform,0.0,0.85,3,114451824434245,cf635fe420e9e6d2bdfc5628b18688ff2f6374dadc9124fa13c6019f4cbe3540
n3b-uniform-cv0.00-p0.85-r04,uniform,0.0,0.85,4,106316494024344,1b0bcdbee5ae823a52955d56942ed6601c7b27035005993d1493ec56bec028ca
n3b-uniform-cv0.00-p0.85-r05,uniform,0.0,0.85,5,72908685934297,7c7f8551b6e2bf00c6d7ac848df66256b8a8ee2be3b9229dd5cc41f6ceea828f
n3b-uniform-cv0.00-p0.85-r06,uniform,0.0,0.85,6,226748438408474,7f8ac69584e26a3e99ffca38323134198d6d46639214e410b1dda6e98e859bcf
n3b-uniform-cv0.00-p0.85-r07,uniform,0.0,0.85,7,59965359961435,5cccd5e20f98ec06b53800bf3ea44ef0257151eab221b8abe64b88fc8eb3182c
n3b-uniform-cv0.00-p0.85-r08,uniform,0.0,0.85,8,79255930487613,3bc99cb8abd99b7e42ccb80f10e2a17d7dcda1e7dfe9e5d483d4a69bb96ae662
n3b-uniform-cv0.00-p0.85-r09,uniform,0.0,0.85,9,131992583271591,2dc2f8056b69bfa9a270383d036aa3eeb1f7da310285b4b5ac24531bda04b6fe
n3b-uniform-cv0.00-p0.85-r10,uniform,0.0,0.85,10,187438815015873,54dd0e1781debcd6d669a924fbabcdbb07af24b4c66332a533992eaa504298f8
n3b-uniform-cv0.00-p0.85-r11,uniform,0.0,0.85,11,162129179255505,cff02a2c77db4afd5341a469ce018bde7faeca948e7c5c6ba508a83934e89043
n3b-uniform-cv0.00-p0.85-r12,uniform,0.0,0.85,12,147142116019896,828deea024b2714189c73446a0e70f48a38e4efc1808f03182411a570be9f487
n3b-uniform-cv0.00-p0.85-r13,uniform,0.0,0.85,13,126334123334579,18113e12729de3a56100d469a5b460a99b32c82abeb9364ffaeb750a9e467f3c
n3b-uniform-cv0.00-p0.85-r14,uniform,0.0,0.85,14,111714145064496,ee653b26ebeb71733927e836b835e28fd5bdf9ea21f9ad3b3c5245e935f40bfa
n3b-uniform-cv0.00-p0.85-r15,uniform,0.0,0.85,15,26439743209088,5f7722019a1fb00adfb3665dc861b34015b04498ac8b679667641d04f7463693
n3b-uniform-cv0.00-p0.85-r16,uniform,0.0,0.85,16,64228722792873,90c1324839287c488e72f0dca3e61a257f18f1341de64a2367c63a19c7e7e7df
n3b-uniform-cv0.00-p0.85-r17,uniform,0.0,0.85,17,124194262844494,055a2b7e0ab4133b154642acc855a8734e42f45cd2078e432dfe9984fee2a4de
n3b-uniform-cv0.35-p0.85-r00,uniform,0.35,0.85,0,100209331666504,afe530cad0e8a4188c0d00c4f5205e0c0c8ff6492ab045c435d556f616f49c5a
n3b-uniform-cv0.35-p0.85-r01,uniform,0.35,0.85,1,171137910436416,4371e5a108be22d9511140beba12c78b927c20757aba53089e9828713d54470b
n3b-uniform-cv0.35-p0.85-r02,uniform,0.35,0.85,2,5342256871959,d9a7470af5085bad82f616074daf28a78086c1f76f393289c04bf05f84891b79
n3b-uniform-cv0.35-p0.85-r03,uniform,0.35,0.85,3,87081746611408,332a4c00963fc356e815b924a0b8b343dc26542fc40eeba1eb5c5225c68890bd
n3b-uniform-cv0.35-p0.85-r04,uniform,0.35,0.85,4,252773594044499,c9e48c1c403490f5594b7bc8885a8f0b6236717a210b899d29b228bd36e727ae
n3b-uniform-cv0.35-p0.85-r05,uniform,0.35,0.85,5,15661734172981,5add37a2884315d8605490978412927cdbd19de4b6d2d21675c9178ae2c99c8e
n3b-uniform-cv0.35-p0.85-r06,uniform,0.35,0.85,6,189965251591104,78e5e71b19e421bf44e420a06d9a9a682222a16ef62109736680902beb5d024e
n3b-uniform-cv0.35-p0.85-r07,uniform,0.35,0.85,7,205757591518317,ddceaf7b22b04145b77183ff86e64cfd72a6c44f0b04df52f975f93e33d0ec5a
n3b-uniform-cv0.35-p0.85-r08,uniform,0.35,0.85,8,147209216589311,ea1854df87fb7fadec588ff1f78bc9e8b36db3d499200108aeaefbf4d95563fb
n3b-uniform-cv0.35-p0.85-r09,uniform,0.35,0.85,9,177194699019015,139bb49e5ba3397fc180723b3df969cd2ed18f20b84f3d22e9fc334593b9ca8d
n3b-uniform-cv0.35-p0.85-r10,uniform,0.35,0.85,10,206204167603061,1d11bb7760311bf6934f99384e73af7991efc579036c1d35fb823b2346690b5e
n3b-uniform-cv0.35-p0.85-r11,uniform,0.35,0.85,11,168055143665508,3b77161c25ddcea15fec1b30a48f2800bd0d01a54e54af4762b1efc1c6be1efb
n3b-uniform-cv0.35-p0.85-r12,uniform,0.35,0.85,12,181470634513918,7bd8ca074e774120fc3468148276851e3fa08250715a338764f3c0370a83c3ee
n3b-uniform-cv0.35-p0.85-r13,uniform,0.35,0.85,13,41182689763124,dec0941f279bbd38d277f19e7d576cf5e0d40992f78f941562ee6a38ccb8f737
n3b-uniform-cv0.35-p0.85-r14,uniform,0.35,0.85,14,84812018207985,d7a6194a23a721565ae2fec6090d12d291ee1525b01fcface387d7ae04374702
n3b-uniform-cv0.35-p0.85-r15,uniform,0.35,0.85,15,13754231662984,fe4e2c0814fd5890cd224dbef78f3a94d45a85132a1a8fccf706777a54617812
n3b-uniform-cv0.35-p0.85-r16,uniform,0.35,0.85,16,276441996278420,a6b7106d6b16bb27c9c7eb6622f1218b76f9e2d5a8089665240a02e46b210ae2
n3b-uniform-cv0.35-p0.85-r17,uniform,0.35,0.85,17,15435844047159,c42b2ba020686acf7edc62b32738d34a6344f9838215bbdd5861ba2961e1a0f5
n3b-uniform-cv0.65-p0.85-r00,uniform,0.65,0.85,0,74234621276976,337da29f986b5485f2d9101bbcd1dc0b859320d1661ed42c1c919dbc980cb48f
n3b-uniform-cv0.65-p0.85-r01,uniform,0.65,0.85,1,65004923652997,62c0d30df07a66b53d88f181b7b51cf0f661ed4ac03e9bf37eb2f51bb67eb273
n3b-uniform-cv0.65-p0.85-r02,uniform,0.65,0.85,2,71442648209519,a3e3bc875ca648c1a7f1be9bbf98d56c71f0eafaed2d106c62ad3bdd4c6e0c3e
n3b-uniform-cv0.65-p0.85-r03,uniform,0.65,0.85,3,107648295740881,ad60994e8f0fcaebd0ca38e436eaa026271c9e12044116c8abc65ab08faf4b61
n3b-uniform-cv0.65-p0.85-r04,uniform,0.65,0.85,4,255677440851006,c56728e20ba9a3876d04c5f400af1f419108e955762aa9f6359dd35e296f5d66
n3b-uniform-cv0.65-p0.85-r05,uniform,0.65,0.85,5,202505329922035,10e222a8286a86eed2e09c875e11b08bd1c8c34e4a3a446112010911908e50c0
n3b-uniform-cv0.65-p0.85-r06,uniform,0.65,0.85,6,233576629685278,a480d64cddb17a3f81aebdc6a973b9b2a18bca676fc6b79ed8fdbe55356f63f1
