source,source_record_id,query_id,window_id,candidate_id,identity_key,v1_match,match_method,title,doi
crossref,10.1109/tro.2006.878948,F01,primary,CB3570F2FB1C1,doi:10.1109/tro.2006.878948,yes,doi_exact,Multi-robot coalition formation,10.1109/tro.2006.878948
crossref,10.1109/mrs66243.2025.11357248,F01,primary,CF36EA7CBA57B,doi:10.1109/mrs66243.2025.11357248,yes,doi_exact,Bandwidth-Aware Multi-Robot Coordination with Utility-Guided Coalition Formation,10.1109/mrs66243.2025.11357248
crossref,10.1108/ijius-12-2020-0070,F01,primary,CE3194399FC2C,doi:10.1108/ijius-12-2020-0070,no,new,Robot coalition formation against time-extended multi-robot tasks,10.1108/ijius-12-2020-0070
crossref,10.1109/mrs60187.2023.10416770,F01,primary,C22635AD687FB,doi:10.1109/mrs60187.2023.10416770,yes,doi_exact,Task Elimination: Faster Coalition Formation for Overtasked Collectives,10.1109/mrs60187.2023.10416770
crossref,10.1109/mrs60187.2023.10416771,F01,primary,C9B14DC8CEC46,doi:10.1109/mrs60187.2023.10416771,yes,doi_exact,Ant Colony Optimization for Heterogeneous Coalition Formation and Scheduling with Multi-Skilled Robots,10.1109/mrs60187.2023.10416771
crossref,10.1109/icmlc.2006.258820,F01,primary,C7356DB6C78C9,doi:10.1109/icmlc.2006.258820,no,new,Multi-Robot Cooperation Coalition Formation Based on Genetic Algorithm,10.1109/icmlc.2006.258820
crossref,10.1109/access.2021.3061149,F01,primary,CC1697E0C2E40,doi:10.1109/access.2021.3061149,yes,doi_exact,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,10.1109/access.2021.3061149
crossref,10.20944/preprints202505.0606.v1,F01,primary,C46EB2C3DF5F6,doi:10.20944/preprints202505.0606.v1,yes,title_exact,Optimizing Coalition Formation Strategies for Scalable Multi-Robot Task Allocation: A Comprehensive Survey of Methods and Mechanisms,10.20944/preprints202505.0606.v1
crossref,10.1016/j.eswa.2015.05.032,F01,primary,CE8795427B04A,doi:10.1016/j.eswa.2015.05.032,no,new,Parallel multi-objective multi-robot coalition formation,10.1016/j.eswa.2015.05.032
crossref,10.1007/s10846-025-02287-4,F01,primary,C96F294D621AC,doi:10.1007/s10846-025-02287-4,yes,doi_exact,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,10.1007/s10846-025-02287-4
crossref,10.1109/icra.2019.8793855,F01,primary,CBC5B0B8D8660,doi:10.1109/icra.2019.8793855,yes,doi_exact,One-to-many bipartite matching based coalition formation for multi-robot task allocation,10.1109/icra.2019.8793855
crossref,10.32473/flairs.37.1.135575,F01,primary,CCF0155D630D6,doi:10.32473/flairs.37.1.135575,yes,doi_exact,Matching-based Coalition Formation for Multi-robot Task Assignment Under Partial Uncertainty,10.32473/flairs.37.1.135575
crossref,10.1016/j.robot.2012.06.004,F01,primary,CBA3E285FA233,doi:10.1016/j.robot.2012.06.004,yes,doi_exact,Multi-robot coalition formation in real-time scenarios,10.1016/j.robot.2012.06.004
crossref,10.1016/j.eswa.2013.11.044,F01,primary,C377D9D07E9CA,doi:10.1016/j.eswa.2013.11.044,yes,doi_exact,Non-additive multi-objective robot coalition formation,10.1016/j.eswa.2013.11.044
crossref,10.1145/3297280.3297369,F01,primary,C201C8C16A7C2,doi:10.1145/3297280.3297369,yes,doi_exact,Correlation clustering based coalition formation for multi-robot task allocation,10.1145/3297280.3297369
crossref,10.12700/aph.19.10.2022.10.13,F01,primary,CC07155ACCF62,doi:10.12700/aph.19.10.2022.10.13,no,new,Dynamic Multi-Robot Coalition Formation: Precision Agriculture Case Study,10.12700/aph.19.10.2022.10.13
crossref,10.1109/smc.2016.7844232,F01,primary,C5E40CCD2D219,doi:10.1109/smc.2016.7844232,yes,doi_exact,Multi-robot coalition formation problem: Task allocation with adaptive immigrants based genetic algorithms,10.1109/smc.2016.7844232
crossref,10.1109/lra.2025.3592080,F01,primary,C4649C0749E2E,doi:10.1109/lra.2025.3592080,yes,doi_exact,Learning Policies for Dynamic Coalition Formation in Multi-Robot Task Allocation,10.1109/lra.2025.3592080
crossref,10.1109/mesa.2016.7587179,F01,primary,C0564B3AD878F,doi:10.1109/mesa.2016.7587179,no,new,A mobile agent-based coalition formation system for multi-robot systems,10.1109/mesa.2016.7587179
crossref,10.1109/case49439.2021.9551582,F01,primary,CAAAE1784EBA9,doi:10.1109/case49439.2021.9551582,yes,doi_exact,Distributed Hedonic Coalition Formation for Multi-Robot Task Allocation,10.1109/case49439.2021.9551582
crossref,10.3724/sp.j.1218.2013.00142,F01,primary,CABE9C223A99F,doi:10.3724/sp.j.1218.2013.00142,yes,doi_exact,Pursuers-Coalition Construction Algorithm in Multi-robot Pursuit-Evasion Game,10.3724/sp.j.1218.2013.00142
crossref,10.1057/9781137300744_8,F01,primary,CC7988333F8DB,doi:10.1057/9781137300744_8,no,new,Conclusions — Sub-National Coalition Formation in Multi-Level Settings,10.1057/9781137300744_8
crossref,10.3390/robotics14070093,F01,primary,CF1331F6D8F85,doi:10.3390/robotics14070093,yes,doi_exact,Optimizing Coalition Formation Strategies for Scalable Multi-Robot Task Allocation: A Comprehensive Survey of Methods and Mechanisms,10.3390/robotics14070093
crossref,10.1057/9781137300744_6,F01,primary,CB12FC29D1F8C,doi:10.1057/9781137300744_6,yes,title_exact,Sub-National Coalition Formation as a Multi-Level Game,10.1057/9781137300744_6
crossref,10.1007/s10846-012-9654-0,F01,primary,C9012EE4E8508,doi:10.1007/s10846-012-9654-0,no,new,MuRoCo: A Framework for Capability- and Situation-Aware Coalition Formation in Cooperative Multi-Robot Systems,10.1007/s10846-012-9654-0
crossref,10.1109/mrs60187.2023.10416795,F02,primary,CA895FC515BE3,doi:10.1109/mrs60187.2023.10416795,yes,doi_exact,Designing Heterogeneous Robot Fleets for Task Allocation and Sequencing,10.1109/mrs60187.2023.10416795
crossref,10.2139/ssrn.4578054,F02,primary,CD4502AA5AA1D,doi:10.2139/ssrn.4578054,yes,doi_exact,Heterogeneous Multi-Robot Cooperative Welding Task Allocation Based on Task-Centered Optimization: An Industrial Case Study,10.2139/ssrn.4578054
crossref,10.2139/ssrn.4733727,F02,primary,CF1F7D26044C3,doi:10.2139/ssrn.4733727,no,new,Task-Centered Heterogeneous Multi-Robot Cooperative Task Allocation and Planning: An Welding Case Study,10.2139/ssrn.4733727
crossref,10.1109/cyberi.2016.7438627,F02,primary,C481112814407,doi:10.1109/cyberi.2016.7438627,no,new,Task allocation within a heterogeneous multi-robot system,10.1109/cyberi.2016.7438627
crossref,10.5220/0001633800030013,F02,primary,C8F6AE52869BC,doi:10.5220/0001633800030013,yes,doi_exact,A Hybrid Dynamic Task Allocation Approach for a Heterogeneous Multi-Robot System,10.5220/0001633800030013
crossref,10.3390/electronics15163562,F02,primary,C9B97ECDD4F25,doi:10.3390/electronics15163562,yes,doi_exact,Semantic Feasibility Reasoning for Heterogeneous Multi-Robot Task Allocation,10.3390/electronics15163562
crossref,10.2139/ssrn.5491420,F02,primary,C1390A42C9DEC,doi:10.2139/ssrn.5491420,no,new,A Reinforcement Learning Method for Heterogeneous Multi-Robot Task Allocation,10.2139/ssrn.5491420
crossref,10.20944/preprints202603.1389.v1,F02,primary,C1D42BCDF0208,doi:10.20944/preprints202603.1389.v1,yes,doi_exact,CAHT: A Constraint-Aware Heterogeneous Transformer for Real-Time Multi-Robot Task Allocation in Warehouse Environments,10.20944/preprints202603.1389.v1
crossref,10.23919/ecc.2019.8795895,F02,primary,C52E74114B97E,doi:10.23919/ecc.2019.8795895,no,new,An Optimal Task Allocation Strategy for Heterogeneous Multi-Robot Systems,10.23919/ecc.2019.8795895
crossref,10.1109/irce62232.2024.10739829,F02,primary,CA8C1701D70AB,doi:10.1109/irce62232.2024.10739829,yes,doi_exact,Hierarchically Decentralized Heterogeneous Multi-Robot Task Allocation System,10.1109/irce62232.2024.10739829
crossref,10.1109/icra57147.2024.10611147,F02,primary,C0ADBDA6B5417,doi:10.1109/icra57147.2024.10611147,no,new,Optimal Task Allocation for Heterogeneous Multi-robot Teams with Battery Constraints,10.1109/icra57147.2024.10611147
crossref,10.1109/icra57147.2024.10610515,F02,primary,CCD0E92BC4F84,doi:10.1109/icra57147.2024.10610515,no,new,Behavior Tree Capabilities for Dynamic Multi-Robot Task Allocation with Heterogeneous Robot Teams,10.1109/icra57147.2024.10610515
crossref,10.21203/rs.3.rs-8343110/v1,F02,primary,CD92DBDF98A9F,doi:10.21203/rs.3.rs-8343110/v1,yes,doi_exact,Agentic Task Allocation for Heterogeneous Multi-Robot Systems: A Hybrid LLM and Local Search Approach,10.21203/rs.3.rs-8343110/v1
crossref,10.3390/s22155637,F02,primary,C19FFB4BC1B65,doi:10.3390/s22155637,no,new,An Algorithm for Task Allocation and Planning for a Heterogeneous Multi-Robot System to Minimize the Last Task Completion Time,10.3390/s22155637
crossref,10.3390/a19040312,F02,primary,C43976EA8C055,doi:10.3390/a19040312,yes,title_exact,CAHT: A Constraint-Aware Heterogeneous Transformer for Real-Time Multi-Robot Task Allocation in Warehouse Environments,10.3390/a19040312
crossref,10.1109/automation66991.2025.11389874,F02,primary,CC3710DD2FEA4,doi:10.1109/automation66991.2025.11389874,no,new,Multi-Objective Task Allocation and Path Planning in Heterogeneous Multi-Robot Systems Using Hierarchical Framework and Reinforcement Learning,10.1109/automation66991.2025.11389874
crossref,10.1109/lra.2021.3057559,F02,primary,CDDA223A78384,doi:10.1109/lra.2021.3057559,no,new,Resilient Task Allocation in Heterogeneous Multi-Robot Systems,10.1109/lra.2021.3057559
crossref,10.1007/s10846-025-02287-4,F02,primary,C96F294D621AC,doi:10.1007/s10846-025-02287-4,yes,doi_exact,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,10.1007/s10846-025-02287-4
crossref,10.23919/iccas63016.2024.10773254,F02,primary,C51CF3909F847,doi:10.23919/iccas63016.2024.10773254,no,new,Task Allocation for Heterogeneous Multi-Robot Systems with Diverse Capabilities,10.23919/iccas63016.2024.10773254
crossref,10.1007/978-3-030-34735-2_2,F02,primary,C3AF91B85792D,doi:10.1007/978-3-030-34735-2_2,no,new,Multi-agent Task Allocation,10.1007/978-3-030-34735-2_2
crossref,10.1109/icra40945.2020.9197283,F02,primary,CE2A3C9C9747A,doi:10.1109/icra40945.2020.9197283,no,new,Adaptive Task Allocation for Heterogeneous Multi-Robot Teams with Evolving and Unknown Robot Capabilities,10.1109/icra40945.2020.9197283
crossref,10.1109/irac67707.2025.11381124,F02,primary,C1F04FD0BD507,doi:10.1109/irac67707.2025.11381124,yes,doi_exact,Heterogeneous Graph Attention Networks for Multi-Robot Task Allocation,10.1109/irac67707.2025.11381124
