source,request_kind,query_id,window_id,status,http_status,attempts,error,cache_file,url,params,elapsed_ms,retrieved_at_utc
crossref,search,F01,primary,cache_hit,,0,,data\raw\crossref\8751eb3c04798943b6dbf31f9d0c9f875714e53b9ae2eca23856bbb78a057113.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""multi-robot coalition formation"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.024241+00:00
crossref,search,F02,primary,cache_hit,,0,,data\raw\crossref\0ab2a2ebbac9b8b2195dfb86d86a93c0bebb16b502d59d1828398ff1f7f3cd6b.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""heterogeneous multi-robot task allocation"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.028719+00:00
crossref,search,F03,primary,cache_hit,,0,,data\raw\crossref\5a1c82d786f4f8368187f1de2e043dc14c27797a7807dfa0f0730578efe9c9d7.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""game theoretic multi-robot task allocation"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.060998+00:00
crossref,search,F03,foundational,cache_hit,,0,,data\raw\crossref\3d49b097006b637eb3dcd77508a00753a9fd9c62bdc5aaa7707713c5a5838ff1.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:1940-01-01,until-pub-date:1999-12-31"", ""query.bibliographic"": ""game theoretic multi-robot task allocation"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.064583+00:00
crossref,search,F04,primary,cache_hit,,0,,data\raw\crossref\6b8be0e6962ef69f62a6d5377c49f81e846c8d8a8dc4972cb725f312046ef9c1.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""distributed auction consensus multi-robot task allocation"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.067779+00:00
crossref,search,F05,primary,cache_hit,,0,,data\raw\crossref\daf77fe19c178f20b7b785cc685c359e1347ddd475d617a580bdb118b64f8a33.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""multi-robot cooperative payload transport"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.073780+00:00
crossref,search,F05,foundational,cache_hit,,0,,data\raw\crossref\4e3b0ab2c6c6bebef986a2084a6af86e9f69803d2edd06a05fdb8ff74a890e88.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:1940-01-01,until-pub-date:1999-12-31"", ""query.bibliographic"": ""multi-robot cooperative payload transport"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.105451+00:00
crossref,search,F06,primary,cache_hit,,0,,data\raw\crossref\c9c2168be8550eb363a87ba829f93b5cab0904697f7d2761b638b63841fd61d8.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""multi-robot shared load object transport"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.108852+00:00
crossref,search,F07,primary,cache_hit,,0,,data\raw\crossref\8ec5a6f249ebde15be83e574dee5bbed1e9eef1aefb9d444823c8ba974df581e.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:2000-01-01,until-pub-date:2026-12-31"", ""query.bibliographic"": ""multi-robot non-prehensile transport caging pushing"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.112140+00:00
crossref,search,F07,foundational,cache_hit,,0,,data\raw\crossref\f214bf3db2085f9fbbc799d36869a6020433c8650e69db6d0dd7a517cfa9c0f1.json,https://api.crossref.org/works,"{""filter"": ""from-pub-date:1940-01-01,until-pub-date:1999-12-31"", ""query.bibliographic"": ""multi-robot non-prehensile transport caging pushing"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,2026-09-13T02:49:28.115328+00:00
