figure,source_data,script,seed,caption,notes
results/figures_pdf/scenarios/abundance/final_state.pdf,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Abundancia con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/abundance/final_state.png,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Abundancia con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/abundance/temporal_metrics.pdf,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026.csv; results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Abundancia para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/abundance/temporal_metrics.png,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026.csv; results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Abundancia para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/abundance/method_comparison.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Abundancia con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/scenarios/abundance/method_comparison.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Abundancia con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/animations/abundance/occupancy_animation.gif,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Abundancia con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/animations/abundance/occupancy_animation.mp4,results/benchmark-v27-full/nominal_flow/rho0.7_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Abundancia con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/scenarios/scarcity_priority/final_state.pdf,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Escasez con prioridad con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/scarcity_priority/final_state.png,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Escasez con prioridad con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/scarcity_priority/temporal_metrics.pdf,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026.csv; results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Escasez con prioridad para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/scarcity_priority/temporal_metrics.png,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026.csv; results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Escasez con prioridad para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/scarcity_priority/method_comparison.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Escasez con prioridad con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/scenarios/scarcity_priority/method_comparison.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Escasez con prioridad con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/animations/scarcity_priority/occupancy_animation.gif,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Escasez con prioridad con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/animations/scarcity_priority/occupancy_animation.mp4,results/benchmark-v27-full/scarcity_priority/triage_forced_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Escasez con prioridad con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/scenarios/robot_failure/final_state.pdf,results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Fallo de robot con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/robot_failure/final_state.png,results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Fallo de robot con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/robot_failure/temporal_metrics.pdf,results/benchmark-v27-full/robot_failures/fail4_smith_2026.csv; results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Fallo de robot para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/robot_failure/temporal_metrics.png,results/benchmark-v27-full/robot_failures/fail4_smith_2026.csv; results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Fallo de robot para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/robot_failure/method_comparison.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Fallo de robot con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/scenarios/robot_failure/method_comparison.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Fallo de robot con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/animations/robot_failure/occupancy_animation.gif,results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Fallo de robot con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/animations/robot_failure/occupancy_animation.mp4,results/benchmark-v27-full/robot_failures/fail4_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Fallo de robot con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
