scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,method_allocator,transport_mode,n,selected_task_load_mean,pickup_success_mean,target_reached_mean,transport_success_mean,final_position_error_m_mean,final_orientation_error_rad_mean,final_orientation_error_deg_mean,mean_position_error_m_mean,formation_integrity_rate_mean,formation_broken_rate_mean,max_formation_error_m_mean,mean_formation_error_m_mean,mean_wrench_residual_norm_mean,max_wrench_residual_norm_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_mobile_group_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,load_travel_distance_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,pickup_complete_time_s_mean,completion_time_s_mean,assigned_robots_mean,idle_robots_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
cargo_overhead_delivery,classic_centralized_shortest_push,Classic centralized shortest push,classic,centralized,baseline,shortest_path_push_drag,baseline_classic_centralized_push_drag,none,centralized_slot_assignment_plus_direct_payload_tracking,global_robot_slot_cost,0,2,False,False,hungarian_slots,push_drag,2,1.0,1.0,0.0,0.0,5.562524939001742,0.009659881852056351,0.553470460717846,7.822842835950036,0.9411764705882353,0.05882352941176472,3.6658578164954525,0.27264486960453804,0.42145159405623367,1.0,0.0,0.0,0.0,0.11499999999999932,0.28493338459660755,nan,0.2019763004975269,95.54107375489727,20.56072865233427,0.7793737748963963,982.5932332797781,0.25751609558804256,0.7878713131127228,0.0,4.550000000000001,74.0,4.0,1.0,10580.0,997.0289500197396,-70.31334969370918,302.93496458378127,-373.2483142774904,1.0,1.0
cargo_overhead_delivery,classic_decentralized_apf_push,Classic decentralized APF push,classic,decentralized,baseline,apf_push_drag,baseline_classic_decentralized_push_drag,none,distributed_apf_payload_tracking,local_obstacle_and_slot_state,0,3,False,False,greedy_capacity,push_drag,2,1.0,1.0,0.0,0.0,4.153959271758171,0.03283160449055056,1.8811123719513083,5.9271860742436395,1.0,0.0,1.7362259849469637,0.12164061865249395,0.33099614425473034,1.0000043811573924,0.0,0.0,0.0,0.11499999999999932,0.3516586739967653,nan,0.11402326406535612,44.805618708051654,20.833968164494678,0.7698586008570862,527.3652989689092,0.12036364247972772,0.753616038629561,0.0,1.4000000000000001,74.0,2.0,3.0,10580.0,557.3121999623254,-37.86999728172967,302.93496458378127,-340.8049618655109,1.0,1.0
cargo_overhead_delivery,ours_hamiltonian_cargo,Ours Hamiltonian cargo,model_based,decentralized,proposed,hamiltonian_tensor_cargo,proposed_model_based_decentralized_cargo,model_based_tuning_optional,distributed_hamiltonian_cargo_transport,local_energy_wrench_formation_game,0,9,False,False,support_dual_wrench_market_guarded,cargo,2,1.0,1.0,1.0,1.0,0.002038381244170102,2.0660806399064313e-10,1.1837770080032693e-08,6.362891720421729,0.8956577037164098,0.10434229628359015,8.45458599458642,1.2307493713861963,0.19582529160142279,1.0052286634225887,0.0,0.0,0.0,0.128202841103998,0.49931947902172713,nan,0.23349147913808077,69.73778124040139,19.361995741321472,0.8276606847027477,700.195961872467,0.188975568599078,0.8049989503543038,0.0,5.530000000000001,45.64,3.0,2.0,10580.0,382.34885002020746,294.88398425240064,302.93496458378127,-8.0509803313806,0.04614393971526673,0.04614393971526673
cargo_overhead_delivery,ours_primal_dual_wrench_push,Ours primal-dual wrench push,model_based,decentralized,proposed,primal_dual_wrench_formation_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_primal_dual_wrench_formation_transport,local_wrench_residual_dual_prices,0,8,False,False,support_dual_wrench_market_guarded,push_drag,2,1.0,1.0,0.0,0.0,5.991472236975449,0.0007858325240084341,0.04502488702979621,9.35924110690808,0.8924843423799582,0.10751565762004173,8.45458599458642,1.2877416957471077,0.5617764685138265,1.0042393894753345,0.0,0.0,0.0,0.13050753171701052,0.39993044687976476,nan,0.08000000000000013,79.62094638385074,21.1730824791503,0.7568659052944249,792.7114608291636,0.21546335729099325,0.7878713131127228,0.0,5.530000000000001,74.0,3.0,2.0,10580.0,1046.5975999832153,-73.49569047115824,302.93496458378127,-376.4306550549395,1.0,1.0
cargo_overhead_delivery,ours_tensor_game_push,Ours tensor-game push,model_based,decentralized,proposed,smooth_tensor_game_wrench_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_tensor_game_wrench_transport,local_tensor_field_and_wrench_residual,0,9,False,False,smith_wrench_pairs_guarded,push_drag,2,1.0,1.0,0.0,0.0,6.040650698111822,0.0012782110486739828,0.07323609841601025,8.366322396692423,0.9400942462771484,0.05990575372285162,3.6658578164954525,0.32219523512353615,0.5270527290470938,1.0,0.0,0.0,0.0,0.22228133623913404,0.38459526431160296,nan,0.10040381262850723,102.03031628415675,21.43938482572027,0.7474931119205237,1045.7812454951602,0.2750143296068914,0.7878713131127228,0.0,4.550000000000001,74.0,4.0,1.0,10580.0,1116.7930999654345,-76.49474256264358,302.93496458378127,-379.4297071464248,1.0,1.0
cargo_overhead_delivery,reference_centralized_mpc_cbf_cargo,Reference centralized MPC-CBF cargo,model_based_reference,centralized,reference,time_expanded_mpc_cbf_cargo,reference_model_based_reference_centralized_cargo,none,centralized_reference_mpc_cbf_cargo,global_state_and_time_expanded_constraints,0,10,False,False,wrench_oracle,cargo,2,1.0,1.0,1.0,1.0,0.0001414915946161122,1.2367884494324244e-13,7.086275830300716e-12,4.498906761919775,0.967741935483871,0.03225806451612906,3.0279373602972917,0.2244102589226742,0.0783289244396447,1.0,0.0,0.0,0.0,0.22854835936498752,0.3971237909187446,nan,0.2645050660682383,87.34685527468969,19.42753245325192,0.8248473293336149,901.6093261157141,0.23542451307789536,0.8221265875958848,0.0,3.5000000000000004,36.61,4.0,1.0,10580.0,382.2490999591537,302.93496458378127,302.93496458378127,0.0,0.0,0.0
cargo_overhead_delivery,sota_centralized_cbf_cargo,SOTA centralized CBF cargo,sota,centralized,baseline,cbf_overhead_cargo,baseline_sota_centralized_cargo,none,centralized_cbf_cargo_transport,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,cargo,2,1.0,1.0,1.0,1.0,0.006882398276841936,6.1201055334692e-09,3.506562172424463e-07,7.864855635611677,0.8089770354906054,0.1910229645093946,14.558384853556817,2.256076749083107,0.2898180219753491,1.0075662989468785,0.0,0.0,0.0,0.11499999994060084,0.12372777779111876,nan,0.24852972532412265,98.44090494277255,19.491511109544096,0.8221544258755487,993.0113659245486,0.26586455118957103,0.7661525991188298,0.0,7.000000000000001,52.5,4.0,1.0,10580.0,297.44029993889853,272.78037739616036,302.93496458378127,-30.154587187620848,0.09923300590686307,0.09923300590686307
cargo_overhead_delivery,sota_centralized_cbf_push,SOTA centralized CBF push,sota,centralized,baseline,cbf_payload_push_drag,baseline_sota_centralized_push_drag,none,centralized_cbf_payload_velocity_projection,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,push_drag,2,1.0,1.0,0.0,0.0,5.970065581158707,0.001019237150123642,0.058397987025026576,10.36342453679526,0.8016701461377871,0.1983298538622129,14.558384853556817,2.3543096800674195,0.5924022391194563,1.006293965812635,0.0,0.0,2.0,0.11499999999999894,0.12867809728482948,nan,0.07999999999999985,111.60484561330273,21.079732807834787,0.7601877147914882,1120.6182365978575,0.301350617076914,0.749851479988642,0.0,7.000000000000001,74.0,4.0,1.0,10580.0,1064.2312000272796,-91.6265636656096,302.93496458378127,-394.56152824939085,1.0,1.0
cargo_overhead_delivery,sota_decentralized_vo_cargo,SOTA decentralized VO cargo,sota,decentralized,baseline,velocity_obstacle_cargo,baseline_sota_decentralized_cargo,none,distributed_velocity_obstacle_cargo_transport,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,cargo,2,1.0,1.0,1.0,1.0,0.011358561560520961,1.8511278288002586e-08,1.0606181192947042e-06,7.982220472840063,0.7964509394572026,0.20354906054279748,14.558384853556817,2.343869472857092,0.30228315476814716,1.006705203125555,0.0,0.0,0.0,0.11499999986813086,0.1206124821400093,nan,0.12231113651286962,98.39939609933849,19.27949462415578,0.8311956119660384,992.8082058940288,0.26615168641195214,0.7335503608584542,0.0,7.000000000000001,52.92,4.0,1.0,10580.0,295.5888999858871,271.24502209257724,302.93496458378127,-31.689942491203993,0.10430637467512183,0.10430637467512183
cargo_overhead_delivery,sota_decentralized_vo_push,SOTA decentralized VO push,sota,decentralized,baseline,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag,none,distributed_velocity_obstacle_payload_tracking,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,push_drag,2,1.0,1.0,0.0,0.0,5.9980110560743185,0.0028577185519107484,0.16373521206072314,10.496104644411703,0.7881002087682671,0.2118997912317328,14.558384853556817,2.4431793201917573,0.5895165950747752,1.005895623448822,0.0,0.0,0.0,0.11499999984929082,0.12556241131499424,nan,0.08000000000000018,112.0900460766272,21.03896100645687,0.7616598993774322,1125.7981020186558,0.3028667431465875,0.7172492417282662,0.0,7.000000000000001,74.0,4.0,1.0,10580.0,1122.9369000066072,-93.34980412363464,302.93496458378127,-396.2847687074159,1.0,1.0
formation_corridor_push,classic_centralized_shortest_push,Classic centralized shortest push,classic,centralized,baseline,shortest_path_push_drag,baseline_classic_centralized_push_drag,none,centralized_slot_assignment_plus_direct_payload_tracking,global_robot_slot_cost,0,2,False,False,hungarian_slots,push_drag,2,1.0,1.0,0.0,0.0,4.7125703456225985,3.210254247343336e-05,0.0018393401953671982,7.6982135682369695,0.9970986460348162,0.0029013539651837617,3.427487508458827,0.19784010038914945,0.4719036060930526,1.0,0.0,0.0,0.5,0.11499999999999905,0.19018365391313935,0.09752977402249327,0.08002658769238269,99.93255689529842,21.181472753322957,0.7366283102774538,1002.3675805411126,0.2163010848449199,0.7878713131127228,0.0,3.3600000000000003,76.0,4.0,2.0,16290.0,1070.91865001712,-59.70561079070744,297.094228925161,-356.7998397158684,1.0,1.0
formation_corridor_push,classic_decentralized_apf_push,Classic decentralized APF push,classic,decentralized,baseline,apf_push_drag,baseline_classic_decentralized_push_drag,none,distributed_apf_payload_tracking,local_obstacle_and_slot_state,0,3,False,False,greedy_capacity,push_drag,2,1.0,1.0,0.0,0.0,3.413745927513956,0.29702474787597,17.018264464230445,7.466938376956154,0.5851926977687627,0.4148073022312373,7.722768277230696,1.567855149681737,0.5501499434290327,1.0267783624409361,0.0,0.0,0.0,0.11499999993618998,0.3005222114553641,0.5962333286442691,0.08070633220272488,70.62410005011577,23.91843052680632,0.6525978029211463,678.5607150234009,0.1519797682718099,0.753616038629561,0.0,5.040000000000001,76.0,2.0,4.0,16290.0,766.2089499644935,-83.33191911066226,297.094228925161,-380.4261480358233,1.0,1.0
