scenario_generator,scenario_variant_id,method,method_label,seed,event_kind,event_time_s,n_robots,n_loads,objective,key_metrics,snapshot,video
battery_depletion_reallocation,battery_depletion_reallocation_v00,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,7122,battery_depletion_reallocation,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.0591; pause_s=4.0600; degraded_s=10.3600; replacement_s=0.1200; pose_error_m=0.0000; collision_rate=0.0505,results\sp6\SP6_MC_robustness_comparison\figures\sp6_battery-depletion-reallocation_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7122.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_battery-depletion-reallocation_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7122.mp4
battery_depletion_reallocation,battery_depletion_reallocation_v00,classic_centralized_replan,Classic centralized replanning,7149,battery_depletion_reallocation,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.0000; target_rate=1.0000; min_wrench_margin=0.0000; pause_s=0.0000; degraded_s=0.0000; replacement_s=0.0000; pose_error_m=0.0000; collision_rate=0.0470,results\sp6\SP6_MC_robustness_comparison\figures\sp6_battery-depletion-reallocation_baseline_classic_centralized_periodic-global-replan_classic-centralized-replan_seed7149.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_battery-depletion-reallocation_baseline_classic_centralized_periodic-global-replan_classic-centralized-replan_seed7149.mp4
blocked_corridor_recovery,blocked_corridor_recovery_v00,primal_dual_recovery,Primal-dual recovery,7108,blocked_corridor_recovery,20.400000000000002,9,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-0.0230; pause_s=32.0600; degraded_s=12.7400; replacement_s=0.0400; pose_error_m=0.7335; collision_rate=0.0096,results\sp6\SP6_MC_robustness_comparison\figures\sp6_blocked-corridor-recovery_proposed_model-based_decentralized_primal-dual-recovery_primal-dual-recovery_seed7108.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_blocked-corridor-recovery_proposed_model-based_decentralized_primal-dual-recovery_primal-dual-recovery_seed7108.mp4
blocked_corridor_recovery,blocked_corridor_recovery_v00,tensor_flow_recovery,Tensor-flow recovery,7108,blocked_corridor_recovery,20.400000000000002,9,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-0.0295; pause_s=33.8800; degraded_s=13.5800; replacement_s=0.0400; pose_error_m=1.3841; collision_rate=0.0135,results\sp6\SP6_MC_robustness_comparison\figures\sp6_blocked-corridor-recovery_proposed_model-based_decentralized_tensor-flow-recovery_tensor-flow-recovery_seed7108.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_blocked-corridor-recovery_proposed_model-based_decentralized_tensor-flow-recovery_tensor-flow-recovery_seed7108.mp4
communication_radius_decay,communication_radius_decay_v00,reference_resilient_oracle,Reference centralized resilient recovery,7112,communication_radius_decay,17.68,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-0.0225; pause_s=38.6400; degraded_s=11.3400; replacement_s=0.1000; pose_error_m=4.7538; collision_rate=0.0140,results\sp6\SP6_MC_robustness_comparison\figures\sp6_communication-radius-decay_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7112.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_communication-radius-decay_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7112.mp4
communication_radius_decay,communication_radius_decay_v00,cbf_recovery,CBF recovery,7105,communication_radius_decay,17.68,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-0.0276; pause_s=46.0600; degraded_s=7.2800; replacement_s=0.1000; pose_error_m=5.6267; collision_rate=0.0255,results\sp6\SP6_MC_robustness_comparison\figures\sp6_communication-radius-decay_baseline_sota_centralized_centralized-cbf-recovery_cbf-recovery_seed7105.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_communication-radius-decay_baseline_sota_centralized_centralized-cbf-recovery_cbf-recovery_seed7105.mp4
delayed_information_consensus,delayed_information_consensus_v00,classic_centralized_replan,Classic centralized replanning,7147,delayed_information_consensus,19.040000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.0000; target_rate=1.0000; min_wrench_margin=0.0000; pause_s=0.0000; degraded_s=0.0000; replacement_s=0.0000; pose_error_m=0.0000; collision_rate=0.0256,results\sp6\SP6_MC_robustness_comparison\figures\sp6_delayed-information-consensus_baseline_classic_centralized_periodic-global-replan_classic-centralized-replan_seed7147.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_delayed-information-consensus_baseline_classic_centralized_periodic-global-replan_classic-centralized-replan_seed7147.mp4
delayed_information_consensus,delayed_information_consensus_v00,cbba_recovery,CBBA recovery,7147,delayed_information_consensus,19.040000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.0000; target_rate=1.0000; min_wrench_margin=0.0000; pause_s=0.0000; degraded_s=0.0000; replacement_s=0.0000; pose_error_m=0.0000; collision_rate=0.0312,results\sp6\SP6_MC_robustness_comparison\figures\sp6_delayed-information-consensus_baseline_sota_decentralized_cbba-recovery-auction_cbba-recovery_seed7147.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_delayed-information-consensus_baseline_sota_decentralized_cbba-recovery-auction_cbba-recovery_seed7147.mp4
infeasible_load_detection,infeasible_load_detection_v00,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,7112,infeasible_load_detection,17.0,6,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.0200; pause_s=3.2200; degraded_s=7.4200; replacement_s=0.0800; pose_error_m=0.0000; collision_rate=0.0572,results\sp6\SP6_MC_robustness_comparison\figures\sp6_infeasible-load-detection_proposed_model-based_decentralized_guarded-wrench-market-recovery_ours-guarded-wrench-market-recovery_seed7112.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_infeasible-load-detection_proposed_model-based_decentralized_guarded-wrench-market-recovery_ours-guarded-wrench-market-recovery_seed7112.mp4
infeasible_load_detection,infeasible_load_detection_v00,reference_resilient_oracle,Reference centralized resilient recovery,7112,infeasible_load_detection,17.0,6,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.0242; pause_s=4.7600; degraded_s=8.1200; replacement_s=0.0800; pose_error_m=0.0000; collision_rate=0.0693,results\sp6\SP6_MC_robustness_comparison\figures\sp6_infeasible-load-detection_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7112.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_infeasible-load-detection_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7112.mp4
monte_carlo,monte_carlo_robot_dropout_mid_task_seed7149,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,7149,robot_dropout_mid_task,19.49206283353609,6,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.5000; pause_s=12.0400; degraded_s=2.5200; replacement_s=5.0079; pose_error_m=0.0000; collision_rate=0.0388,results\sp6\SP6_MC_robustness_comparison\figures\sp6_monte-carlo_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7149.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_monte-carlo_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7149.mp4
monte_carlo,monte_carlo_infeasible_load_detection_seed7109,primal_dual_recovery,Primal-dual recovery,7109,infeasible_load_detection,17.060063638714684,6,4,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=0.0000; pause_s=0.8400; degraded_s=13.5800; replacement_s=0.0199; pose_error_m=0.0000; collision_rate=0.0711,results\sp6\SP6_MC_robustness_comparison\figures\sp6_monte-carlo_proposed_model-based_decentralized_primal-dual-recovery_primal-dual-recovery_seed7109.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_monte-carlo_proposed_model-based_decentralized_primal-dual-recovery_primal-dual-recovery_seed7109.mp4
multi_load_priority_shift,multi_load_priority_shift_v00,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,7135,multi_load_priority_shift,19.720000000000002,10,4,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.0000; target_rate=0.0000; min_wrench_margin=-0.0588; pause_s=77.0000; degraded_s=0.0000; replacement_s=0.0200; pose_error_m=11.2541; collision_rate=0.0198,results\sp6\SP6_MC_robustness_comparison\figures\sp6_multi-load-priority-shift_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7135.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_multi-load-priority-shift_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7135.mp4
multi_load_priority_shift,multi_load_priority_shift_v00,tensor_flow_recovery,Tensor-flow recovery,7103,multi_load_priority_shift,19.720000000000002,10,4,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.0000; target_rate=0.0000; min_wrench_margin=-0.0368; pause_s=71.6800; degraded_s=2.3800; replacement_s=0.0200; pose_error_m=10.0063; collision_rate=0.0227,results\sp6\SP6_MC_robustness_comparison\figures\sp6_multi-load-priority-shift_proposed_model-based_decentralized_tensor-flow-recovery_tensor-flow-recovery_seed7103.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_multi-load-priority-shift_proposed_model-based_decentralized_tensor-flow-recovery_tensor-flow-recovery_seed7103.mp4
robot_dropout_mid_task,robot_dropout_mid_task_v00,reference_resilient_oracle,Reference centralized resilient recovery,7100,robot_dropout_mid_task,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.0064; pause_s=10.9200; degraded_s=2.6600; replacement_s=0.1200; pose_error_m=0.0000; collision_rate=0.0337,results\sp6\SP6_MC_robustness_comparison\figures\sp6_robot-dropout-mid-task_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7100.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_robot-dropout-mid-task_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7100.mp4
robot_dropout_mid_task,robot_dropout_mid_task_v00,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,7116,robot_dropout_mid_task,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.5000; pause_s=15.8200; degraded_s=4.6200; replacement_s=1.3800; pose_error_m=0.0000; collision_rate=0.0374,results\sp6\SP6_MC_robustness_comparison\figures\sp6_robot-dropout-mid-task_proposed_model-based_decentralized_guarded-wrench-market-recovery_ours-guarded-wrench-market-recovery_seed7116.png,results\sp6\SP6_MC_robustness_comparison\videos\sp6_robot-dropout-mid-task_proposed_model-based_decentralized_guarded-wrench-market-recovery_ours-guarded-wrench-market-recovery_seed7116.mp4
