scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,ranking_rule,demand_satisfaction_ratio_mean,coalition_success_rate_mean,served_load_rate_mean,optimality_gap_vs_oracle_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
ALL_SCENARIOS,1,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8462996210139068,0.8469126984126985,0.8469126984126985,4.188699918693913e-18,1.5023809523809524,0.2652380952380952,30.0282420341427,13.413173148390145,150.14121017071352,24.132380952380952,2.6002797162869857
ALL_SCENARIOS,2,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8462996210139068,0.8469126984126985,0.8469126984126985,4.188699918693913e-18,1.5023809523809524,0.2652380952380952,30.0282420341427,13.413173148390145,150.14121017071352,24.132380952380952,2.641748380071173
ALL_SCENARIOS,3,mappo_recruitment,MAPPO recruitment checkpoint,data_driven,decentralized,proposed,mappo_ctde_quorum_decoder,proposed_data_driven_variation,ctde_ppo_with_bc_warm_start,decentralized_neural_actor_with_quorum_decoder,local_features_plus_centralized_training,4674,9411,12,768,1000,200,200,True,True,sp1-mappo-v5,sampled_policy,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8463604675747533,0.8462777777777778,0.8462777777777778,0.004328726589978877,1.5019047619047619,0.26571428571428574,29.990992125530845,13.467791306785148,149.9549606276542,23.44904761904762,13.871540951187766
ALL_SCENARIOS,4,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8901206888349745,0.721047619047619,0.721047619047619,0.2765213188270577,1.0857142857142856,0.0,29.240194444359528,12.761435559054274,146.20097222179766,24.132380952380952,0.06525657245046682
ALL_SCENARIOS,5,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8901206888349745,0.7223571428571429,0.7223571428571429,0.3041899315350975,1.0857142857142856,0.0,31.390523142983994,15.577368802068833,156.95261571491994,23.44904761904762,0.13102309323758596
ALL_SCENARIOS,6,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8901206888349745,0.6984761904761905,0.6984761904761905,0.3381913971700229,1.0857142857142856,0.0,30.3254768367057,14.447212818740132,151.6273841835285,23.44904761904762,0.4076840947493024
ALL_SCENARIOS,7,imitation_oracle,Data-driven imitation oracle,data_driven,decentralized,baseline,oracle_imitation_linear,data_driven_baseline,supervised_oracle_imitation,distributed_linear_score_policy,local_robot_load_features,7,7,1,0,1000,200,200,False,False,sp1-imitation-linear-v1,supervised_or_static,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8637625839768697,0.6583095238095237,0.6583095238095237,0.37741119291512526,1.2714285714285714,0.0,28.2447605550685,13.777774764768235,141.22380277534248,23.44904761904762,0.6641906665615915
ALL_SCENARIOS,8,primal_dual_cardinality_capacity,Primal-dual cardinality capacity,model_based,decentralized,proposed,primal_dual_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_deficit_capacity_prices,0,0,4,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8874561007775293,0.6700396825396825,0.6700396825396825,0.47354382489493063,1.1047619047619048,0.2523809523809524,33.10152623250032,14.900281969412465,165.5076311625016,23.44904761904762,0.6165796676318028
ALL_SCENARIOS,9,primal_dual_wrench_market,Primal-dual wrench market,model_based,decentralized,proposed,primal_dual_wrench_proxy,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_wrench_rule,local_deficit_capacity_wrench_prices,0,0,5,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8886307039521326,0.6688095238095239,0.6688095238095239,0.4838853222867588,1.0961904761904762,0.23523809523809525,33.324760532812334,15.056690607909522,166.62380266406169,23.44904761904762,0.6039827133506714
ALL_SCENARIOS,10,local_primal_dual_wrench_market,Local primal-dual wrench market,model_based,decentralized_local,proposed,local_primal_dual_wrench_proxy,proposed_local_variation,model_based_tuning_optional,local_primal_dual_wrench_rule,radius_limited_local_scores,0,0,5,0,0,0,0,False,False,,none,2100,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8783369857655573,0.6552460317460317,0.6552460317460317,0.4982085079717678,1.177142857142857,0.2357142857142857,32.613610056841935,14.806386466599275,163.06805028420968,23.44904761904762,0.6202411891094276
