world_key,world_id,world_seed,world_digest,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,total_capacity,total_demand,critical_radius_m
E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,05f93c1b3094fef94381caa6ace139ea9b372bc7cda75e061986eb2fb7989b52,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,46.00298524698529
E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,7b7f50be4b41854c3c9d4dec781ed72a6c6cbc059d7987e87b8177fb921988a9,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,40.14725717196886
E3:uniform:p0.7:cv0.0:r2,uniform-p0.7-r2,1988312877,f0ec8097ccdd99decdeab36e724bf1a531a6d8817b906c62370643df8c43c362,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,28.612368857305817
E3:uniform:p0.7:cv0.0:r3,uniform-p0.7-r3,1189537683,8ba8877ec9340c4c709ab64d79decc205bd8c057da30317a49ffc039a2718b09,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,33.53866800320253
E3:uniform:p0.7:cv0.0:r4,uniform-p0.7-r4,1981484187,7415b11717a85d9a9e6627637aa134d69e47c07542a0ced9b2bcdde110c8a80a,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,55.20961057226808
E3:uniform:p0.7:cv0.0:r5,uniform-p0.7-r5,3629322245,36ce8691f36407110684d36aa7af42330bc7eae612d570a07cabd894b346c6e5,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.000000000000014,33.49776626420234
E3:uniform:p0.7:cv0.0:r6,uniform-p0.7-r6,2957158640,3fc786692a481a93207bb8e1223c8c7b68e3bd868bef58fb392da2aa09fd96da,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,41.12276783565244
E3:uniform:p0.7:cv0.0:r7,uniform-p0.7-r7,2500044682,8e518c22823b7189a9145f00c6bc6b0068143d6f4d61d25a9c741a9de57a1ab1,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,32.08692321685938
E3:uniform:p0.7:cv0.0:r8,uniform-p0.7-r8,2007413765,56e811353b71edc224c86b1fd9a6119520cd865d8e8d6f98c338e0953a9e0f39,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,29.85013030820412
E3:uniform:p0.7:cv0.0:r9,uniform-p0.7-r9,2562270824,765f2abc1e44bba40a4472a65981a78c61c2318fd55b0f2c854f63a3b5316c6c,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,25.867322456448672
E3:uniform:p0.7:cv0.0:r10,uniform-p0.7-r10,3448653903,fce94c2bdd8d541f0235ac03f6fc849278a3eacf313099350b6ec1c1071ced1b,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,31.994190638049
E3:uniform:p0.7:cv0.0:r11,uniform-p0.7-r11,2097207730,a6e487b74572b4195cdba7ff1c90e9b4ea8dae27c17734c05b8c8d289a05f4da,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.000000000000014,31.756663684945146
E3:uniform:p0.7:cv0.0:r12,uniform-p0.7-r12,225783977,6a974f6eea1a97fae407176066be87159a53144b30530dca510c41e316af418b,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.000000000000014,35.001168480191545
E3:uniform:p0.7:cv0.0:r13,uniform-p0.7-r13,3031492881,f2b2b7a41e3a997cb60e964bb860e3223c1a6cecc83bdf95f23a8f3a3b732c5d,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,39.67467699103543
E3:uniform:p0.7:cv0.0:r14,uniform-p0.7-r14,542061761,5a88ca156f4da0641e2f21aa35ec146426e1361fa29894338516bac69fa1d5a7,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,26.56246816960772
E3:uniform:p0.7:cv0.0:r15,uniform-p0.7-r15,4290616468,951cc1eb09a63f9110e3b1882184f49af9ab1929179f2acccd4028d43326d2b6,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,32.22222741004329
E3:uniform:p0.7:cv0.0:r16,uniform-p0.7-r16,4125919847,daa4bbef0d69b7db8a838cc11bf71f85f753d52c43d5df2a254152a4c40808c3,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,34.72679217442666
E3:uniform:p0.7:cv0.0:r17,uniform-p0.7-r17,2743003927,6df37aa8614d3c20f647dfc6b2eee055ae7377692cb734076c1dd6447535e16f,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,40.186912641796994
E3:uniform:p0.7:cv0.0:r18,uniform-p0.7-r18,3311675236,6188d9c8dbfc4e75f431f950530e5226f1d201c9bd9328adae767595c062c7bc,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,36.43222194244305
