sample_id,stratum,rank_prefix,path,line,keys,claim_context,primary_source,verdict,precise_evidence
CTX001,appendix,8c22071f5f5f,"sections/source-snapshot/appendices/08-sp7-proofs.tex",14,"monderer1996potential","The displayed unilateral-difference identity is called an exact potential game.","https://doi.org/10.1006/game.1996.0044",supports,"Primary article defines exact potential through equality of unilateral payoff and potential differences; the manuscript proves the identity itself."
CTX002,framework,02befd87db7c,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",443,"sartoretti2019primal;phan2024cactus","PRIMAL and CACTUS are learned decentralized MAPF policies.","https://arxiv.org/abs/1809.03531; https://arxiv.org/abs/2401.05860",supports,"Both primary abstracts describe decentralized multi-agent path finding learned with reinforcement/curriculum learning; manuscript disclaims quality ranking."
CTX003,framework,0b792fdccd63,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",64,"gerkeyMataric2004MRTA;korsahStentzDias2013iTax","MRTA classifies robot-task relationships and decision horizon.","https://ai.stanford.edu/~gerkey/research/final_papers/mrta-taxonomy.pdf; https://publications.ri.cmu.edu/a-comprehensive-taxonomy-for-multi-robot-task-allocation",supports,"Gerkey-Mataric defines single/multi-task robots, single/multi-robot tasks and instantaneous/time-extended assignment; Korsah et al. extend the taxonomy."
CTX004,framework,118cc21488b9,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",280,"wang2017barrier","Distributed barrier certificates impose pairwise separation and may use emergency braking.","https://authors.library.caltech.edu/records/tshzw-g4v69",supports,"Official repository abstract describes decentralized QP barrier certificates using local neighbors and a hybrid emergency-braking controller."
CTX005,framework,12705051284a,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",84,"shan2024collectiveTransport","Distributed MRTA for collective transport with time constraints.","https://doi.org/10.1016/j.robot.2024.104722",supports,"Primary title and abstract explicitly state distributed MRTA for time-constrained dynamic collective transport."
CTX006,framework,178f22f65bce,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",265,"nakamura1989dynamics;yoshikawa1993coordinated","Grasp mapping separates resultant wrench from internal forces.","https://doi.org/10.1177/027836498900800204; https://doi.org/10.1177/027836499301200302",supports,"Primary papers treat coordinated manipulation, object force/motion and internal-force control; the kernel statement follows directly from the displayed linear map."
CTX007,framework,1841ba361b19,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",76,"gerkeyMataric2002MURDOCH","MURDOCH uses contracts/auctions between robots.","https://robotics.usc.edu/~gerkey/research/murdoch.html",supports,"Author project page and linked primary paper identify MURDOCH as a Contract-Net/auction architecture for multirobot coordination."
CTX008,framework,1a32b9157ab1,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",13,"zlotStentz2006ComplexTasks","Market coordination represents complex-task dependence through decomposition and reassignment/trading.","https://publications.ri.cmu.edu/market-based-multirobot-coordination-for-complex-tasks",supports,"Official repository abstract describes task trees, decomposition and market trading/reallocation for complex tasks."
CTX009,framework,2471f395c0c8,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",76,"choiBrunetHow2009CBBA;johnson2011acbba","CBBA builds bundles under consensus; ACBBA handles asynchronous/out-of-order messages.","https://acl.mit.edu/projects/consensus-based-bundle-algorithm; https://doi.org/10.2514/6.2011-1441",supports,"MIT ACL project description states bundle construction plus consensus and describes ACBBA robustness to asynchronous, out-of-order messages."
CTX010,framework,28eb4a0755a2,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",443,"shibata2023localGlobal;naito2025tihdp","Cooperative-transport learned policies combine local and global/hierarchical layers.","https://doi.org/10.1016/j.ifacol.2023.10.431; https://arxiv.org/abs/2404.02362",supports,"Primary title/abstract for Shibata states learning locally and communicating globally; TIHDP abstract states three hierarchical layers with global task priority and local policies."
