id,stratum,source_ref,claim_group,evidence_ref,verification,verdict
Q001,front,"frontmatter/01-summary.tex:16-23; frontmatter/02-abstract.tex:16-23","SP1/SP2/SP3 and Cargo headline magnitudes, including almost-all Cargo missions","generated macros for E2/E3/E6/E7/Cargo; audited result bundles listed below","headline statements agree with active macros and scoped endpoints",verified
Q002,introduction,"mainmatter/01-introduction.tex:10-13","IFR 2023 stock 102900, +14%, more than half in transport/logistics","IFR World Robotics 2024 official press release and cited IFR report entry","values agree with official IFR release; claim limited to cited year",verified
Q003,methodology,"mainmatter/04-methodology.tex:345-359","minimum 30 paired runs when feasible, 95% CI, paired tests and Holm","versioned campaign configs plus hypotheses.csv files","protocol language is conditional and each active confirmatory campaign declares its resampling",verified
Q004,methodology,"mainmatter/04-methodology.tex:361-369","AWS-derived warehouse 24x18 m, 12 robots, 4 active and 8 queued loads, radii 1.8/3.2 m","shared/generated-macros/aws-industrial2-results.tex and AWS scene manifest","all manuscript values expand from active macros",verified
Q005,protected-figure,"figures/protected/01-distributed-coalition-scenario.tex:91-96,112-122,146,155,185-191","conceptual arena 20x14 m, 6 AMR, 3 loads, quotas 1/3/2","the same TikZ source; caption identifies conceptual architecture","arithmetic and object counts checked; these are illustrative, not data",verified
Q006,framework,"mainmatter/05-theoretical-framework.tex:330-435","literature coverage counts for SP0-SP8, years and scope columns","shared/generated-macros/literature-coverage.tex; references/LITERATURE_LEDGER.md; src/viu_mrob_tfm/literature_coverage.py","regeneration in memory matched every generated row and ledger normalized SHA-256 6b42e254...",verified
Q007,SP1-formal,"sections/thesis-results.tex:11-30","quota game: lambda>kappa_max, exact quotas, at most (K+1)^N-1 accepted changes","sections/thesis-results.tex:23-30; formal proof and focused tests","finite-profile count and unilateral-deviation inequalities checked",verified
Q008,SP1-E2,"sp2.tex:13-38","didactic service tuples give e=(4,4,7,5), demand 10, sums 8 and 12","sp2.tex:43-66 with b_res=0, delta=0 and declared (c_pay,b) tuples","direct substitution reproduces all four values",verified
Q009,SP1-E2,"sp2.tex:43-66","battery/distance factors and c_ref=1 kg produce dimensionless service","sp2.tex:43-66; tests/test_sp2_effective_capacity.py","units and boundary values checked",verified
Q010,SP1-E2,"sp2.tex:70-105","coverage MILP tie 1e-5; score MILP weights 5,100,5e-4,1e-5","experiments/configs/sp2_effective_capacity.yaml and archived postprocess bundle","coefficients agree with versioned configuration/model",verified
Q011,SP1-E2,"sp2.tex:121-132","complexity entries and model dimensions d=8, P=121","implementation dimensions; SPTwoNeuralParameters macro","operation counts are stated as asymptotic per declared implementation",verified
Q012,SP1-E2,"sp2.tex:197-216","seeds 3100-3139; 1560 worlds; 20280 comparison rows; 9360 ablation rows","legacy/results/processed/sp2/SP2_EFFECTIVE_CAPACITY_EVIDENCE_v1/audit.json","audit PASS; row and seed counts exact; historical world generator absent and disclosed",verified-p3-provenance
