claim_id,stratum,path,line,claim,evidence_ref,evidence_level,alignment,sampled
C001,front,"sections/source-snapshot/frontmatter/01-summary.tex",2,"The thesis decomposes the problem into SP1-SP3 with Cargo primary.","docs/00_TFM_CHARTER.md; active methodology",design-contract,aligned,yes
C002,front,"sections/source-snapshot/frontmatter/01-summary.tex",8,"The method combines optimization, potential games, primal-dual dynamics and explicit interface contracts.","active Chapters 4-6",implemented-formulation,aligned,no
C003,front,"sections/source-snapshot/frontmatter/01-summary.tex",10,"Quota regulation, local Cargo stability, finite route improvement and an information limitation are proved.","active theorem/proof graph; focused tests",formal-proof,aligned,no
C004,front,"sections/source-snapshot/frontmatter/01-summary.tex",16,"SP1/SP2/SP3 empirical headline outcomes hold only in their stated domains.","audited E2/E3/E4/E6/E7 bundles",audited-simulation,aligned-scoped,yes
C005,front,"sections/source-snapshot/frontmatter/01-summary.tex",22,"Cargo completes almost all missions without composing all theoretical mechanisms.","Cargo result .997; architecture trace",audited-simulation,aligned,no
C006,front,"sections/source-snapshot/frontmatter/01-summary.tex",25,"The contribution is a verifiable layered architecture plus planar functional composition.","active methods and Cargo campaign",mixed-formal-empirical,aligned,no
C007,front,"sections/source-snapshot/frontmatter/01-summary.tex",26,"No global hybrid stability, social optimality, full distribution or industrial validity is proved.","scope audit and absence of corresponding evidence",explicit-limitation,aligned,yes
C008,front,"sections/source-snapshot/frontmatter/01-summary.tex",28,"Instrumented contact, hardware and caging lie outside confirmatory evidence.","campaign audit not_claimed fields",explicit-limitation,aligned,no
C009,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",5,"Cargo bilateral fixed-contact transport is primary and caging remains separate.","physical-model definitions and E3/E4 audit scopes",design-contract,aligned,yes
C010,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",144,"The wrench residual is the SP1-SP2 interface, not proof of full transport.","E3 formulation and E4 bridge",formal-interface,aligned,no
C011,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",251,"SP1-SP3 are linked through typed state/information/model contracts.","methodology contract table",design-contract,aligned,no
C012,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",299,"Cargo repair compares continuing with replacement against stopping, not E6 versus another allocator.","Cargo ablation implementation/hypotheses",audited-design,aligned,yes
C013,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",345,"Inference is paired and multiplicity-corrected per predeclared campaign.","configs and hypotheses.csv",audited-protocol,aligned,no
C014,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",433,"A guarantee transfers only if the next layer preserves proof state, information and model.","interface logic and explicit counterexamples",formal-scope,aligned,no
C015,methods,"sections/source-snapshot/mainmatter/04-methodology.tex",441,"E2-E4 are reanalyses with missing historical generators; Cargo is regenerable.","E2/E3/E4 audits; Cargo manifest",provenance-audit,aligned,yes
C016,framework,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",64,"MRTA taxonomies do not by themselves solve multi-robot physical feasibility.","Gerkey/Korsah primary papers plus E3 counterexample",primary-plus-formal,aligned,no
C017,framework,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",76,"Auction/bundle outputs need an additional common physical closure rule.","MURDOCH/CBBA scope and manuscript interface",reasoned-synthesis,aligned,no
