source_path,locator,label,type,assumptions,domain,units,proof_status,dependencies,counterexample_check,claim_id,evidence_id,verdict,rationale,auditor,result_id,title,recommended_destination
"paper/sec_clusters.tex","L283-L305","pr:barrera-compuesta","proposicion","Faltan kappa>0 y regularidad/dominio de cada h_i; la interseccion segura si esta implicita.","Representacion escalar de la interseccion de conjuntos seguros; no demuestra factibilidad CBF ni invariancia dinamica.","No auditadas: kappa debe tener unidades inversas a h para que el exponente sea adimensional.","PARTIAL: prueba correctamente las cotas log-sum-exp y la interseccion, pero no la condicion dinamica de barrera.","Definiciones locales de h_i y del conjunto seguro; ninguna dependencia canonica enlazada.","Si un h_i representa solo el conjunto pero no satisface condiciones de barrera, min h_i no hereda por si sola una CBF valida.","NONE_IN_DOCS_04","SOURCE_PROOF_ONLY:paper/sec_clusters.tex:L283-L305","LIMITED","El nucleo de soft-min es correcto, pero el termino barrera valida excede lo probado y faltan signo y unidades de kappa.","formal_audit_b","PAPER-FR-0051-pr:barrera-compuesta","Barrera compuesta y su relajacion suave","monograph"
"paper/sec_clusters.tex","L307-L340","pr:softmin-curvatura","proposicion","Trayectoria C2, h_i diferenciables y kappa>0; el ultimo supuesto no se enuncia.","Identidad diferencial de log-sum-exp a lo largo de una trayectoria; no es certificado de factibilidad HOCBF.","kappa por h_i debe ser adimensional; dot h_i y ddot h_i deben compartir escala comun.","SKETCH: no hay proof; las identidades se afirman y la observacion reporta diferencias finitas.","pr:barrera-compuesta; pr:hocbf, este ultimo no auditado en este bloque.","La identidad permanece cierta, pero no implica que exista control que satisfaga la barrera de alto orden; la propia observacion lo reconoce.","NONE_IN_DOCS_04","SOURCE_STATEMENT_ONLY:paper/sec_clusters.tex:L307-L340","LIMITED","La formula de la varianza se obtiene por diferenciacion, pero falta demostracion autocontenida y no puede promoverse como garantia de seguridad.","formal_audit_b","PAPER-FR-0052-pr:softmin-curvatura","La soft-min anade curvatura desfavorable","monograph"
"paper/sec_clusters.tex","L353-L366","pr:rigidizacion-admisible","proposicion","Solo supone psi_ij(t-)>=0 y preservacion posterior de distancia; no supone h_ij(t-)>=0.","Conmutacion instantanea hacia rigidez exacta; sin impacto ni salto de estado modelado.","h es distancia al cuadrado y psi mezcla dot h con alpha_1(h); no se declaran unidades de alpha_1.","INVALID: la prueba sustituye psi(t-)>=0 por h(t-)>=0 sin justificacion.","Definicion previa de psi y pr:hocbf, no auditadas aqui.","Contraejemplo: h(t-)<0 y dot h(t-) suficientemente positiva dan psi(t-)>=0; al rigidizar dot h=0 y psi=alpha_1(h)<0.","NONE_IN_DOCS_04","SOURCE_PROOF_ONLY:paper/sec_clusters.tex:L353-L366","FAIL","La hipotesis de la proposicion no implica la premisa usada por la prueba. Debe exigirse h_ij(t-)>=0 y tratar el reset de velocidad/contacto.","formal_audit_b","PAPER-FR-0053-pr:rigidizacion-admisible","Rigidizacion admisible","archive-only"
"paper/sec_comunicacion.tex","L42-L54","pr:miet","proposicion","Temporizador con dot tau_i=1, reset solo al difundir y tau_M IET>0.","Eventos de difusion de un agente individual; no acota el intervalo maximo ni seguridad con datos obsoletos.","tau_i y tau_M IET en segundos; consistente.","COMPLETE: argumento directo por la guarda temporal.","def:etm.","No se encontro contraejemplo dentro del modelo; multiples agentes no alteran la cota por agente.","NONE_IN_DOCS_04","SOURCE_PROOF_ONLY:paper/sec_comunicacion.tex:L42-L54","PASS","La ausencia de Zeno por agente sigue inmediatamente del tiempo minimo positivo, con el alcance temporal correctamente limitado.","formal_audit_b","PAPER-FR-0054-pr:miet","Ausencia de Zenon por construccion","monograph"
"paper/sec_comunicacion.tex","L209-L250","le:tiempo-finito","lema","V positiva definida C1, desigualdad a lo largo de una solucion, c>0 y alpha en (0,1); faltan existencia absoluta continua e invariancia del dominio.","Sistema continuo; el texto excluye transferencia automatica a Euler muestreado.","c tiene unidades V^(1-alpha)/s; no se declaran.","MISSING: se cita una fuente y se da evidencia escalar, pero no hay proof del lema.","wang2024adaptive; no hay enlace a claim canonico.","Sin regularidad de la solucion o validez global de la desigualdad, alcanzar V=0 no queda establecido; la discretizacion ofrece el control de frontera negativo.","NONE_IN_DOCS_04","SOURCE_STATEMENT_ONLY:paper/sec_comunicacion.tex:L209-L250","LIMITED","Es un resultado clasico plausible, pero la fuente candidata no contiene una prueba completa ni todas las condiciones de aplicacion.","formal_audit_b","PAPER-FR-0055-le:tiempo-finito","Cota de tiempo de asentamiento","background"
"paper/sec_comunicacion.tex","L261-L317","pr:reset","proposicion","No se fija planta, estado integral, ley PI, amplitud ni politica completa de reset.","Una simulacion de segundo orden; el enunciado se formula universalmente.","No se especifican unidades del acumulador ni del exceso.","MISSING: no hay prueba; el dato numerico es un unico ejemplo y no demuestra reduccion general del sobreimpulso.","eq:tatonnement y zhao2024hybrid, sin hipotesis transferidas.","Un equilibrio PI puede requerir integral no nula para sostener la entrada; resetearla cambia el equilibrio o induce transitorios. El propio texto muestra sobrecorreccion al combinar mecanismos.","NONE_IN_DOCS_04","SOURCE_STATEMENT_ONLY:paper/sec_comunicacion.tex:L261-L317","FAIL","Ni la invariancia del reposo ni la reduccion de sobreimpulso se siguen sin un modelo de planta/reset; ambas se sobreextienden desde un ejemplo.","formal_audit_b","PAPER-FR-0056-pr:reset","Reinicio del acumulador de precio","archive-only"
"paper/sec_comunicacion.tex","L327-L362","pr:observador-dist","proposicion","S0 conocida; faltan detectabilidad de (S0,W0), estructura/dimension de L0 y supuestos del digrafo.","Observador lineal distribuido continuo con lider; no cubre conmutacion, retardo ni muestreo.","Las dimensiones de L0W0 y escalas temporales no se declaran.","MISSING: no hay proof; solo una cadena numerica.","def:observador-dist; cai2022cooperative.","Un H_sigma positivo estable no basta para W0 arbitraria: un modo inestable de S0 no observable por W0 no puede estabilizarse eligiendo L0.","NONE_IN_DOCS_04","SOURCE_STATEMENT_ONLY:paper/sec_comunicacion.tex:L327-L362","FAIL","El iff topologico omite condiciones de detectabilidad y diseno del observador; la conectividad no es por si sola suficiente.","formal_audit_b","PAPER-FR-0057-pr:observador-dist","Convergencia bajo la conectividad que ya se exige","archive-only"
"paper/sec_comunicacion.tex","L396-L438","pr:regulacion-local","proposicion","Ecuaciones reguladoras solubles, A_i+B_iK_i Hurwitz y cota semigrupo; referencia y estimacion diferenciables.","Plantas lineales heterogeneas; la formula acota tilde x_i, no directamente el error de salida e_i del titulo.","Matrices y senales no tienen unidades declaradas; la integral es dimensionalmente compatible si B_i(Gamma_i-K_iPi_i) lo es.","SKETCH: no hay proof, aunque la identidad se verifica por sustitucion y variacion de constantes.","Ecuaciones reguladoras; pr:observador-dist, cuya suficiencia topologica falla tal como esta enunciada.","Con tilde zeta no nula el error de salida incluye terminos C_i tilde x_i y D_i(Gamma_i-K_iPi_i)tilde zeta_i; esa cota no aparece.","NONE_IN_DOCS_04","SOURCE_DERIVATION_ONLY:paper/sec_comunicacion.tex:L396-L438","LIMITED","La dinamica de estado y su cota son correctas bajo las ecuaciones reguladoras, pero el resultado no demuestra la regulacion de salida anunciada y depende de un observador no cerrado.","formal_audit_b","PAPER-FR-0058-pr:regulacion-local","Error de regulacion con referencia local","monograph"
"paper/sec_comunicacion.tex","L451-L469","pr:reloj-seguro","proposicion","Errores escalares en [0,epsilon_i], k_i>0, alpha_i>0 y v_nom>0; no hay obstaculo externo que fuerce v=0.","Familia reducida de ecuaciones de primer orden; no representa por si sola AMR ni contacto.","e_i y s deben compartir unidad de progreso; k_i y alpha_i son 1/s y v es unidad de e por segundo.","COMPLETE: condiciones de tangencia y minimo afin prueban invariancia, progreso y tiempo.","Ninguna dependencia formal necesaria fuera del modelo definido.","La cota desaparece si una restriccion fisica adicional exige v=0; esta exclusion se declara despues.","NONE_IN_DOCS_04","SOURCE_PROOF_ONLY:paper/sec_comunicacion.tex:L451-L469","PASS","Resultado correcto y autocontenido para el modelo escalar declarado; no debe transferirse a la planta sin una envolvente de seguimiento.","formal_audit_b","PAPER-FR-0059-pr:reloj-seguro","Reloj seguro para una familia reducida de errores","monograph"
"paper/sec_comunicacion.tex","L542-L559","th:vi-robusta","teorema","K convexo cerrado, F mu-fuertemente monotono, soluciones x* y xhat existentes y error uniformemente acotado.","Perturbacion aditiva de una VI; no establece existencia de la VI perturbada, la presupone.","epsilon comparte unidades con F y mu con F/x; la razon epsilon/mu tiene unidades de x.","COMPLETE: suma cruzada de las dos VI, monotonia fuerte y Cauchy-Schwarz.","Ninguna dependencia externa necesaria para la cota; el caso e=Delta c+A^TDelta lambda usa norma inducida.","No se encontro contraejemplo bajo existencia y monotonia fuerte; sin monotonia fuerte la cota puede fallar.","NONE_IN_DOCS_04","SOURCE_PROOF_ONLY:paper/sec_comunicacion.tex:L542-L559","PASS","La cota de sensibilidad esta bien demostrada y su segunda desigualdad respeta la norma espectral.","formal_audit_b","PAPER-FR-0060-th:vi-robusta","Robustez de la desigualdad variacional","monograph"
