scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,ranking_rule,arrival_success_rate_mean,timeout_rate_mean,mean_arrival_time_s_mean,max_arrival_time_s_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,mean_clearance_m_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,congestion_delay_s_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean,arrived_robots_mean,timed_out_robots_mean
ALL_SCENARIOS,1,apf_obstacle_avoidance,APF obstacle avoidance,classic,decentralized,baseline,artificial_potential_field,sp4_motion_baseline,none,local_apf_feedback,local_obstacle_robot_neighbors,0,4,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,23.847698056801192,26.905919282511206,104.66496541221309,15.732424070783322,1.017135029823664,791.5746224621449,97.4170403587444,0.04684742650172097,128.39461883408072,0.011543516790702452,8.925661913828913,8.619482280540375,0.44476339458526465,0.7175336862943823,0.0,1.591873324260814,9822.545590433483,47.081183932230196,-61.53217911032056,2.2995955016103222,-63.831774611930896,0.09727661319087597,0.09727661319087597,6.666666666666667,0.0
ALL_SCENARIOS,2,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,21.863038116591927,24.639372197309413,104.27299750147745,15.674885227049757,1.0207955585999702,788.781272691384,105.50971599402092,0.049643254812101745,134.88340807174887,-0.009727977972911217,8.8034736546487,8.744679444458008,0.4432456730275042,0.7799279198851982,1.863647917270629e-16,0.0,9794.920777279522,14.093204036613255,-64.95254471283017,2.2995955016103222,-67.2521402144405,0.1014882552197841,0.1014882552197841,6.666666666666667,0.0
ALL_SCENARIOS,3,velocity_obstacle_proxy,Velocity obstacle proxy,sota,decentralized,baseline,velocity_obstacle_proxy,sp4_motion_sota_proxy,none,local_velocity_obstacle_proxy,local_relative_state_neighbors,0,5,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,24.34877802690583,27.460448430493276,104.54029875861441,15.713525760759907,1.01832276998199,790.5830369713149,106.85052316890882,0.05142722597938786,137.58071748878925,0.008854929549194009,8.91695664998368,8.585455855966323,0.44425917551215716,0.7019351278966783,0.0,2.092953294365448,9830.173393124065,61.10080874635335,-73.28808329018854,2.2995955016103222,-75.58767879179885,0.11463244308071983,0.11463244308071983,6.666666666666667,0.0
ALL_SCENARIOS,4,replicator_motion_field,Replicator motion field,model_based,decentralized,baseline,replicator_target_congestion_field,sp4_population_motion_family,none,distributed_replicator_motion_field,local_target_obstacle_neighbor_scores,0,5,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,23.803068011958146,26.83408071748879,104.43243570819159,15.697661651313668,1.019336834380961,789.8076252873668,111.12855007473841,0.0535242006041037,140.31838565022423,0.004252439641406266,8.897560074639838,8.620949276400516,0.44383648179416113,0.7175336862943823,0.0,1.5472432794177648,9822.560538116591,59.833539386909116,-77.41620237765773,2.2995955016103222,-79.71579787926805,0.12097835871595583,0.12097835871595583,6.666666666666667,0.0
ALL_SCENARIOS,5,logit_motion_field,Logit motion field,model_based,decentralized,baseline,logit_softmax_motion_field,sp4_population_motion_family,none,distributed_logit_smoothed_motion_field,local_softmax_flow_scores,0,6,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,24.900037369207773,28.07677130044843,104.49057519547264,15.706145441284713,1.0187968558077638,790.1606944759508,111.95291479820628,0.05390621913508014,142.91479820627802,0.007274496815949055,8.913170227050982,8.547942708830824,0.44405882667766483,0.6863365694989744,0.0,2.644212636667391,9838.397608370702,62.351652242257906,-80.10451920268824,2.2995955016103222,-82.40411470429856,0.12483422036317388,0.12483422036317388,6.666666666666667,0.0
ALL_SCENARIOS,6,explicit_vgne_cbf_motion,Ours explicit vGNE-CBF motion,model_based,decentralized,proposed,closed_form_explicit_amr_vgne_cbf,sp4_explicit_control_law,closed_form_model_based,distributed_explicit_amr_vgne_cbf_hand_point,local_target_obstacle_neighbor_state_plus_consensus_scalars,0,10,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",1.0,0.0,24.301079970104634,27.408699551569505,104.45518462511258,15.700905948607929,1.019118416748706,789.9381558942187,113.24962630792227,0.054576042975063854,142.72421524663676,0.0072253680810421255,8.901303228359328,8.587116165246073,0.4439311743643796,0.7019351278966783,0.0,2.0452552375642523,9829.6576980568,222.2006355033998,-80.74375326878759,2.2995955016103222,-83.04334877039791,0.12596289556587895,0.12596289556587895,6.666666666666667,0.0
ALL_SCENARIOS,7,priority_yield,Priority yield,classic,centralized,baseline,priority_release_yield,sp4_motion_baseline,none,centralized_priority_schedule,global_priority_order,0,2,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",0.9998754359740908,0.00012456402590931738,24.536214499252612,27.665201793721973,104.74107572353297,15.740574779904692,1.0165357816509883,792.1167510232463,121.34379671150971,0.05743944408685349,151.0605381165919,-0.01605590642142861,8.77525532885029,8.61165833318204,0.44500974346594313,0.7175336862943823,0.0,2.280868092571726,11672.333333333334,25.25680403500762,-88.0993772025716,2.2995955016103222,-90.3989727041819,0.13469571119899276,0.13469571119899276,6.665919282511211,0.0007473841554559044
ALL_SCENARIOS,8,bnn_motion_field,BNN/Brown motion field,model_based,decentralized,baseline,brown_bnn_positive_excess_field,sp4_population_motion_family,none,distributed_bnn_positive_excess_motion_field,local_positive_excess_neighbor_scores,0,6,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",0.9995017438963627,0.0004982561036372695,25.47511808669656,28.7295067264574,104.55898666110909,15.71620008246474,1.018156501919568,790.6369122918476,110.35500747384155,0.05312903846601341,142.53662182361734,0.010029411333173524,8.917947261492266,8.509516705679047,0.444326799851917,0.6707380111012704,0.0,3.2210063586404853,9846.80269058296,63.62622137582041,-79.26916307082058,2.2995955016103222,-81.56875857243091,0.12351986100022826,0.12351986100022826,6.663677130044843,0.0029895366218236174
ALL_SCENARIOS,9,reference_time_expanded_cbf,Reference time-expanded CBF,model_based_reference,centralized,reference,time_expanded_safe_cbf_reference,sp4_motion_reference,none,centralized_time_expanded_cbf_reference,global_state_and_release_schedule,0,8,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",0.9207149975087193,0.07928500249128051,26.489646166986976,29.97381165919283,121.47094339747757,18.217233855903373,0.890524713956885,918.8021990983402,22.230941704035875,0.010397036278160219,34.275784753363226,0.5377814497663502,9.163416175987892,8.6480276657136,0.5123065023970846,0.7487308030897902,0.0,4.594808052711238,11672.333333333334,93.25291584613029,2.2995955016103222,2.2995955016103222,0.0,0.0,0.0,6.1898355754858,0.476831091180867
ALL_SCENARIOS,10,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,1338,"maximize arrival success first, minimize timeouts, then collisions, gap vs safe reference, arrival time, energy, messages and runtime",0.9180991529646239,0.08190084703537619,26.800877001921844,30.26089686098654,120.99981567560401,18.138599709501033,0.8930322652074297,915.118822154227,24.33034379671151,0.01150015301649082,37.422272047832585,0.5310978082245502,9.16167191113267,8.620638800969495,0.5101171732526566,0.7331322446920862,0.0,4.891546966512932,11672.333333333334,83.15647832763219,-1.1399578594292534,2.2995955016103222,-3.439553361039578,0.014751178847951872,0.014751178847951872,6.172645739910314,0.4940209267563528
