query_id,gap_family,rationale,source,exact_query,result_count,returned_count,new_candidate_records,new_relevant_or_plausible,status,request_hash
Q8_game_dynamics,population_evolutionary_potential_games,The Stage 1B concept matrix found population/evolutionary/potential-game vocabulary absent from Q1-Q7.,crossref,"(""population game"" OR ""evolutionary game"" OR ""potential game"" OR replicator OR logit) AND (""multi-robot"" OR MRTA OR coalition)",271759,25,22,15,ok,19c3921971869170a9c794a1b89ba137291fb345889f918bc8b2c45276e25013
Q8_game_dynamics,population_evolutionary_potential_games,The Stage 1B concept matrix found population/evolutionary/potential-game vocabulary absent from Q1-Q7.,openalex,"(""population game"" OR ""evolutionary game"" OR ""potential game"" OR replicator OR logit) AND (""multi-robot"" OR MRTA OR coalition)",0,0,22,15,ok,352e3d783f34ab596f18aa05db20788db7854dd3f89b5c36a83d60a0d44aedac
Q9_safety_transport,safety_collision_barrier_transport,"The Stage 1B matrix identified collision avoidance, CBF and safety as absent canonical query axes coupled to transport.",crossref,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload) AND (""collision avoidance"" OR ""control barrier function"" OR CBF OR safety)",544330,25,46,21,ok,c96be41f0ee631118c70c32f1c321de78ba05bf32dfcd139b168a67a41b06366
Q9_safety_transport,safety_collision_barrier_transport,"The Stage 1B matrix identified collision avoidance, CBF and safety as absent canonical query axes coupled to transport.",openalex,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload) AND (""collision avoidance"" OR ""control barrier function"" OR CBF OR safety)",29,25,46,21,ok,e0e2ba71e008a2b77b132ad6866ec0396b845b98d0b224b6750777d115b5b145
Q10_industrial_context,industrial_intralogistics,"Warehouse, intralogistics and industrial-logistics context was not present in the original Boolean families.",crossref,"(""multi-robot"" OR AMR OR AGV) AND (warehouse OR intralogistics OR ""industrial logistics"" OR factory) AND (transport OR ""task allocation"" OR coalition)",129207,25,14,14,ok,a03b7844b584f239893e143137bff2933fc19513e714fc80f38fccef2f6cd9d9
Q10_industrial_context,industrial_intralogistics,"Warehouse, intralogistics and industrial-logistics context was not present in the original Boolean families.",openalex,"(""multi-robot"" OR AMR OR AGV) AND (warehouse OR intralogistics OR ""industrial logistics"" OR factory) AND (transport OR ""task allocation"" OR coalition)",1,1,14,14,ok,0341546ca2a01b307927dba3ada8d1f977b9d28c08528d40ffb39ec9303f9d1c
Q11_formation_docking,formation_docking_cooperative_motion,Formation and docking variants were only partially represented and cooperative motion was absent as a direct query axis.,crossref,"(""multi-robot"" OR ""mobile robot"") AND (formation OR docking OR ""cooperative motion"") AND (transport OR payload)",345771,25,34,8,ok,ef4dfbea798f9c4be208a91ddc268485eafe949656643c26866f0d90366e6fb2
Q11_formation_docking,formation_docking_cooperative_motion,Formation and docking variants were only partially represented and cooperative motion was absent as a direct query axis.,openalex,"(""multi-robot"" OR ""mobile robot"") AND (formation OR docking OR ""cooperative motion"") AND (transport OR payload)",196,25,34,8,ok,e01f7779ff547f597eeb91024790e4116fbb218b1d8f7a5afdbf150047a85bc1
Q12_multiagent_robotics,multiagent_robotic_coordination,The Stage 1B matrix showed partial coverage of multi-agent robotic terminology and run-on multiagent variants.,crossref,"(""multi-agent robotic"" OR ""multi-agent robot"" OR ""multiagent robot"") AND (coordination OR allocation OR cooperation)",1765129,25,41,30,ok,f8a4c49323208e9e400ff286ccf15c6e1394e4ee8dc92f0e5d95a9298b4dff1a
Q12_multiagent_robotics,multiagent_robotic_coordination,The Stage 1B matrix showed partial coverage of multi-agent robotic terminology and run-on multiagent variants.,openalex,"(""multi-agent robotic"" OR ""multi-agent robot"" OR ""multiagent robot"") AND (coordination OR allocation OR cooperation)",3824,25,41,30,ok,df23f3f1398cb71bca60ccc63413eed4984f3a3c8c188ede40bcf03a5dcedb35
Q13_collective_transport,collective_shared_load_transport,Collective transport and shared-load formulations are relevant synonyms not fully captured by the canonical transport terms.,crossref,"(""collective transport"" OR ""cooperative object transport"" OR ""shared payload"" OR ""shared load"") AND (robot OR ""multi-robot"")",1055814,25,34,10,ok,8e43a70c6f3b0c10136d6cc8de7f3acd222e8435eb1cda5e74e3b49c442471dc
Q13_collective_transport,collective_shared_load_transport,Collective transport and shared-load formulations are relevant synonyms not fully captured by the canonical transport terms.,openalex,"(""collective transport"" OR ""cooperative object transport"" OR ""shared payload"" OR ""shared load"") AND (robot OR ""multi-robot"")",751,25,34,10,ok,a6c657cd35d1aef8545763da43b3f2a722a7776c166098ad90b6320b92e2d42b
Q14_force_wrench,force_wrench_contact_feasibility,Force/wrench/contact feasibility needs a targeted audit beyond the narrow Q3 conjunction.,crossref,"(""multi-robot"" OR ""mobile robot"") AND (""force allocation"" OR wrench OR ""force closure"" OR ""contact feasibility"")",597573,25,42,4,ok,d07f86d4e20d1c49bf6296f12428bce2d39e186feb299db2c41156dd409d66d5
Q14_force_wrench,force_wrench_contact_feasibility,Force/wrench/contact feasibility needs a targeted audit beyond the narrow Q3 conjunction.,openalex,"(""multi-robot"" OR ""mobile robot"") AND (""force allocation"" OR wrench OR ""force closure"" OR ""contact feasibility"")",28,25,42,4,ok,149dbb89e8f935689ce7bd50705598273cfca2986e28dd84e354d6d13180a635
Q15_amr_agv_industrial,amr_agv_logistics,AMR/AGV industrial logistics combinations were missing from the original query set despite the administrative TFM scope.,crossref,"(AMR OR AGV OR ""autonomous mobile robot"") AND (warehouse OR intralogistics OR logistics) AND (task OR transport OR fleet)",75697,25,42,21,ok,581d17120bd52a6dd9d69c3e7ef656359747c2f11e91afab16d4ee256fde2262
Q15_amr_agv_industrial,amr_agv_logistics,AMR/AGV industrial logistics combinations were missing from the original query set despite the administrative TFM scope.,openalex,"(AMR OR AGV OR ""autonomous mobile robot"") AND (warehouse OR intralogistics OR logistics) AND (task OR transport OR fleet)",117,25,42,21,ok,62bc5b1a8268bd127b8be4ff2fcf03544d4aa3b3cbafbc0518e6a4e7acfeeb4b
