query_id,source,exact_query,timestamp_utc,result_count,returned_count,pagination_mode,filters,request_hash,status,error
Q1_coalition_transport,crossref,"(""multi-robot"" OR ""autonomous mobile robot"" OR AMR OR AGV) AND (""coalition formation"" OR ""team formation"" OR MRTA OR ""task allocation"") AND (transport* OR payload OR object)",2026-09-12T18:02:44.107658+00:00,87245,25,single_page,rows=25,060f4882a0979f59a236c538cf596198f78a122a000a1577bb90b9319d8828f7,ok,
Q1_coalition_transport,openalex,"(""multi-robot"" OR ""autonomous mobile robot"" OR AMR OR AGV) AND (""coalition formation"" OR ""team formation"" OR MRTA OR ""task allocation"") AND (transport* OR payload OR object)",2026-09-12T18:02:44.115999+00:00,0,0,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,f41596812d3d7f2dfb1f0d3b5becde14cebebff4b05bea3f81b9393cdc69e34d,ok,
Q2_sharedload_distributed,crossref,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR ""object transport"" OR ""shared payload"" OR ""shared-load"") AND (distributed OR decentralized OR leaderless OR consensus)",2026-09-12T18:02:44.117365+00:00,79319,25,single_page,rows=25,48b365a33b07bfccea1744c9bca344552a61d3cd90b95a7737fffb3a14249f06,ok,
Q2_sharedload_distributed,openalex,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR ""object transport"" OR ""shared payload"" OR ""shared-load"") AND (distributed OR decentralized OR leaderless OR consensus)",2026-09-12T18:02:44.135882+00:00,13,13,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,f4a116dc9e2c284747e24edeb9fc132092532c3d32586e1cdb56f979c8b79de1,ok,
Q3_physical_certificate,crossref,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload OR object) AND (wrench OR ""force allocation"" OR ""contact feasibility"" OR ""grasp matrix"" OR ""force closure"" OR caging)",2026-09-12T18:02:44.138053+00:00,70905,25,single_page,rows=25,d6e617fd9cda0af54361ab38c685d7017e8db6a16c908b439e7e78dfe5f12a27,ok,
Q3_physical_certificate,openalex,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload OR object) AND (wrench OR ""force allocation"" OR ""contact feasibility"" OR ""grasp matrix"" OR ""force closure"" OR caging)",2026-09-12T18:02:44.158283+00:00,1,1,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,7b5ef6ab268074039dd479f294f78e805f88eb57faf542f04f2270fc09ced504,ok,
Q4_recovery_replacement,crossref,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload OR MRTA) AND (fault OR failure OR recovery OR replacement OR substitution OR reconfiguration)",2026-09-12T18:02:44.160960+00:00,357454,25,single_page,rows=25,d5b1278147922090f25a7b42b530ba3eceb04bc78b7e2bbaa99b59f9ca6fb1e9,ok,
Q4_recovery_replacement,openalex,"(""multi-robot"" OR ""mobile robot"") AND (""cooperative transport"" OR payload OR MRTA) AND (fault OR failure OR recovery OR replacement OR substitution OR reconfiguration)",2026-09-12T18:02:44.172133+00:00,1,1,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,ae90d2974f41e0074221a086fb06015edef036e26c0ef89ee55c6b25f90a2d99,ok,
Q5_heterogeneous_local,crossref,"(heterogeneous AND (""multi-robot"" OR MRTA)) AND (coalition OR team) AND (distributed OR decentralized OR local)",2026-09-12T18:02:44.174888+00:00,3006409,25,single_page,rows=25,fc36475079eed3c9429b71dcec9c27ae3b01caeb606c0cb38da3e29ef077e9bb,ok,
Q5_heterogeneous_local,openalex,"(heterogeneous AND (""multi-robot"" OR MRTA)) AND (coalition OR team) AND (distributed OR decentralized OR local)",2026-09-12T18:02:44.196624+00:00,77,25,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,7947b2263578609601a72ad9a78baf25a715118c1997d6e564bf0b5d8830374b,ok,
Q6_network_imperfect,crossref,"(""multi-robot"" OR ""mobile robot"") AND (cooperative OR coalition) AND (""packet loss"" OR delay OR ""switching topology"" OR ""event-triggered"" OR ""communication constraints"")",2026-09-12T18:02:44.198793+00:00,69066,25,single_page,rows=25,4944a728456246c194b203dc0af7efc287f4575a8fd873b8beac0e3454493697,ok,
Q6_network_imperfect,openalex,"(""multi-robot"" OR ""mobile robot"") AND (cooperative OR coalition) AND (""packet loss"" OR delay OR ""switching topology"" OR ""event-triggered"" OR ""communication constraints"")",2026-09-12T18:02:44.217967+00:00,102,25,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,586c252452dce389fb30b9528d9d0027ad2ebbbd8be05143f45e7a8c1182be34,ok,
Q7_counterexample_full_conjunction,crossref,"(heterogeneous AND (""cooperative transport"" OR ""shared payload"")) AND (replacement OR recovery OR reconfiguration) AND (distributed OR decentralized OR leaderless)",2026-09-12T18:02:44.221019+00:00,32749,25,single_page,rows=25,42a863e571cc7024a66dd90c2a8d362991614db6d2ac4fa36579377c997e1f71,ok,
Q7_counterexample_full_conjunction,openalex,"(heterogeneous AND (""cooperative transport"" OR ""shared payload"")) AND (replacement OR recovery OR reconfiguration) AND (distributed OR decentralized OR leaderless)",2026-09-12T18:02:44.227907+00:00,0,0,single_page,per-page=25;openalex_query_translation=boolean_to_full_text,afe8b0f039b94b82db82ab7df617fea365e6923ee4da6110f8c526be60565973,ok,
