legacy_seed_id,matched_candidate_id,match_method,metadata_status,DOI,corrected_title,corrected_year,corrected_venue,verification_status,classification
L001,C4E3D7A2BB630,legacy_seed_link;metadata_enrichment,metadata_verified,10.1177/0278364904045477,Decentralized Algorithms for Multi-Robot Manipulation via Caging,2004,The International Journal of Robotics Research,unverified_seed,corrected
L002,C9714C0016795,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/jproc.2006.876933,Building Multirobot Coalitions Through Automated Task Solution Synthesis,2006,Proceedings of the IEEE,unverified_seed,verified
L003,C1758BD935FD5,legacy_seed_link;metadata_enrichment,metadata_verified,10.1007/4-431-35881-1_23,Market-Based Multi-robot Coalition Formation,2006,Distributed Autonomous Robotic Systems 7,unverified_seed,corrected
L004,C4B439BC6A12D,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/tro.2009.2022423,Consensus-Based Decentralized Auctions for Robust Task Allocation,2009,IEEE Transactions on Robotics,unverified_seed,verified
L005,CF65653A58DE3,legacy_seed_link;metadata_enrichment,metadata_verified,10.1007/s10458-010-9123-8,Coalition formation for task allocation: theory and algorithms,2011,Autonomous Agents and Multi-Agent Systems,unverified_seed,verified
L006,CBE51D21C5873,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/tase.2012.2201470,Coalition-Based Approach to Task Allocation of Multiple Robots With Resource Constraints,2012,IEEE Transactions on Automation Science and Engineering,unverified_seed,verified
L007,CE27B64D6BCC0,legacy_seed_link;metadata_enrichment,metadata_verified,10.1177/0278364917719333,Multi-robot formation control and object transport in dynamic environments via constrained optimization,2017,The International Journal of Robotics Research,unverified_seed,corrected
L008,C27A3892192A5,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/tro.2018.2858292,Anonymous Hedonic Game for Task Allocation in a Large-Scale Multiple Agent System,2018,IEEE Transactions on Robotics,unverified_seed,verified
L009,C83A8475AB444,legacy_seed_link;metadata_enrichment,metadata_verified,10.1007/s10514-018-9729-2,"Attractor dynamics approach to joint transportation by autonomous robots: theory, implementation and validation on the factory floor",2019,Autonomous Robots,unverified_seed,corrected
L010,CBC5B0B8D8660,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/icra.2019.8793855,One-to-many bipartite matching based coalition formation for multi-robot task allocation,2019,2019 International Conference on Robotics and Automation (ICRA),unverified_seed,corrected
