candidate_id,label,recruitment,heterogeneity,variable_coalition,distributed_decision,physical_feasibility,hardware,traffic,recovery
CFE80E994AC44,Ramchurn 2010,2,1,2,0,0,0,1,0
C60F209AB33AE,Liu--Shell 2013,2,0,0,1,0,0,0,0
C0BBF943B50C0,Guerrero 2017,2,1,2,1,0,0,1,0
CC1697E0C2E40,Mazdin 2021,2,1,2,2,0,0,0,1
CF7C60AFD9DE7,De Ryck 2021,2,1,1,2,0,0,2,0
C4F0B5BB85F46,An 2023,1,1,1,1,2,1,1,1
C96F294D621AC,Verma 2025,2,2,2,0,0,0,0,0
CCB936E7536AC,Varghese 2026,2,2,1,0,0,0,1,1
C5423D5A19BA0,Tuci 2018,0,1,1,1,2,1,0,1
C5543C6C3DDAB,Pi 2021,0,0,0,1,2,2,0,1
C1B0A43A71755,Muhammed 2026,0,0,0,2,2,2,0,0
CF0BC51D9FA65,Song 2026,1,0,1,2,1,0,1,1
