study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,rho_M_over_N,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,quota_asymmetry_cv,distance_matrix_asymmetry_cv,structurally_feasible,milp_feasible,mission_feasible,milp_complete_load_fraction,milp_missing_load_count,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_idle_fraction,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_assignment_distance_p50,milp_assignment_distance_p95,milp_assignment_distance_max,milp_assignment_distance_std,milp_assignment_distance_cv,milp_assignment_distance_gini,milp_assignment_distance_jain,milp_normalized_assignment_distance_max,milp_load_mean_distance_cv,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,milp_matrix_wall_ns,milp_model_wall_ns,milp_post_wall_ns,milp_solver_ns_per_binary_variable,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,failure_rate,recovery_feasible,central_logical_messages,central_communication_bytes,central_communication_rounds,retry_messages,nonresponding_count
scaling,810203787,5,5,3,10,15,15,2.0,-0.33,-0.3333333333333333,-0.20206531773399267,symmetric,uniform,homogeneous,none,0,False,25.0,37.66177058253436,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,nan,False,False,False,0.0,3,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=37.662.",nan,0,0,5,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,nan,False,0.5,5,269.86809365245307,53.973618730490614,0.5044973604404835,424300,748900,400,False,True,nan,nan,nan,nan,nan,nan,0.0,False,5,492,2,0,0
scaling,3631318694,5,5,3,10,15,15,2.0,-0.33,-0.3333333333333333,-0.2560592834796119,symmetric,uniform,homogeneous,none,0,False,25.0,42.20965648158568,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,nan,False,False,False,0.0,3,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=42.210.",nan,0,0,5,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,nan,False,0.5,5,84.69502624052573,16.939005248105147,0.2612938452011737,8400,286700,400,False,True,nan,nan,nan,nan,nan,nan,0.0,False,5,493,2,0,0
scaling,2266623018,7,7,3,10,17,21,1.4285714285714286,-0.2,-0.17647058823529413,-0.09460606959860504,symmetric,uniform,homogeneous,none,0,False,35.0,42.31441270979847,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,nan,False,False,False,0.0,3,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=35.000, demanda=42.314.",nan,0,0,7,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,21,13,nan,nan,nan,nan,nan,nan,nan,False,0.7,7,271.3076373288768,38.758233904125255,0.4285093872027992,8600,326200,560,False,True,nan,nan,nan,nan,nan,nan,0.0,False,7,683,2,0,0
scaling,2338375597,7,7,3,10,17,21,1.4285714285714286,-0.2,-0.17647058823529413,-0.045984681148705006,symmetric,uniform,homogeneous,none,0,False,35.0,38.37408385044087,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,nan,False,False,False,0.0,3,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=35.000, demanda=38.374.",nan,0,0,7,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,21,13,nan,nan,nan,nan,nan,nan,nan,False,0.7,7,382.2356885256022,54.60509836080031,0.5700075289940184,6900,348600,560,False,True,nan,nan,nan,nan,nan,nan,0.0,False,7,689,2,0,0
scaling,3350397888,10,10,3,10,20,30,1.0,0.0,0.0,0.044752259140296714,symmetric,uniform,homogeneous,none,0,False,50.0,45.7164716564363,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.5126541872619472,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,0,1.0,0.0,260.4742981345114,26.04742981345114,0.1841831425357195,26.04742981345114,0.33232828511776913,24.714645458815944,46.998316797374194,48.26879099940586,11.905770319619066,0.4570804261643816,0.25042484605332693,0.8271828729959586,0.34131189435356074,0.13348373582333561,4.283528343563702,261.5551802204023,1424,30,16,49928400,58228000,125000000,32700,8044100,181300,1664280.0,True,1.0,10,260.4742981345114,26.04742981345114,0.33232828511776913,7600,394200,800,True,True,1.0,0,6569.526315789473,nan,nan,nan,0.0,True,20,1359,2,0,0
scaling,3847875446,10,10,3,10,20,30,1.0,0.0,0.0,0.0786970820284962,symmetric,uniform,homogeneous,none,0,False,50.0,42.70443173161219,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.5045416664213968,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,0,1.0,0.0,376.46842396451905,37.6468423964519,0.26620337548792355,37.6468423964519,0.6171238825414619,23.111992953492575,87.27449643544763,88.45340891647031,34.066959596893405,0.9049088164723239,0.4960728061275439,0.5497949367306534,0.6254600526390278,0.5813288724970772,7.295568268387811,378.302316031616,1424,30,16,3124900,3880800,0,34600,564700,119200,104163.33333333333,True,1.0,10,376.46842396451905,37.6468423964519,0.6171238825414619,13300,537000,800,True,True,1.0,0,234.95488721804512,nan,nan,nan,0.0,True,20,1365,2,0,0
scaling,725456319,15,15,3,10,25,45,0.6666666666666666,0.2,0.2,0.2602167914459727,symmetric,uniform,homogeneous,none,0,False,75.0,44.02713963038852,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.5760322596567976,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,5,0.6666666666666666,0.3333333333333333,276.60941289817646,27.660941289817647,0.19559239160033023,27.660941289817647,0.2791671032311069,30.97362745761913,39.480190355784124,41.20326699668486,10.8456193192924,0.3920914767743214,0.21690212534343223,0.8667496180681917,0.29135109500395734,0.12364090110242072,5.972860369611478,278.1126279905793,2104,45,21,2728800,3378300,0,34200,444100,128900,60640.0,True,1.0,10,276.60941289817646,27.660941289817647,0.2791671032311069,12500,566600,1200,True,True,1.0,0,218.304,nan,nan,nan,0.0,True,25,1863,2,0,0
scaling,3857382383,15,15,3,10,25,45,0.6666666666666666,0.2,0.2,0.28826745838016765,symmetric,uniform,homogeneous,none,0,False,75.0,41.435449039911255,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.4361082028801896,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,5,0.6666666666666666,0.3333333333333333,304.8664317677222,30.48664317677222,0.21557312125910225,30.48664317677222,0.3312703287707361,31.81934317414376,46.84869917593691,47.87060888662186,11.864997078070418,0.3891867336548999,0.19849720566364937,0.8684578855177697,0.3384963216325932,0.09270963052228827,8.564550960088743,307.0175695077444,2104,45,21,2743200,3446200,0,33700,502200,125700,60960.0,True,1.0,10,304.8664317677222,30.48664317677222,0.3312703287707361,13200,542000,1200,True,True,1.0,0,207.8181818181818,nan,nan,nan,0.0,True,25,1859,2,0,0
scaling,2100343080,20,20,3,10,30,60,0.5,0.33,0.3333333333333333,0.42898066433410736,symmetric,uniform,homogeneous,none,0,False,100.0,39.959906380677495,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.39277242286380964,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,10,0.5,0.5,323.2783709510948,32.32783709510948,0.22859232831045934,32.32783709510948,0.34184195952658786,34.524091059908734,48.34375353506952,51.079856599985995,12.409225411260305,0.38385572702411197,0.21210853596015045,0.8715772579103068,0.3611891298388652,0.2215453932229924,10.040093619322509,325.79839435592544,2784,60,26,2835500,3583400,31250000,48100,511800,138200,47258.333333333336,True,1.0,10,323.2783709510948,32.32783709510948,0.34184195952658786,15600,701600,1600,True,True,1.0,0,181.76282051282053,nan,nan,nan,0.0,True,30,2355,2,0,0
scaling,1721755728,20,20,3,10,30,60,0.5,0.33,0.3333333333333333,0.39586155841635595,symmetric,uniform,homogeneous,none,0,False,100.0,43.28068481727199,5.0,0.0,0.0,5.0,5.0,0.1414213562373095,0.1414213562373095,0.5048094358460864,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,10,10,0.5,0.5,178.23729666540257,17.823729666540256,0.12603280113246457,17.823729666540256,0.25035727320653023,15.505589313422032,35.405865120742135,38.96114011862801,11.408847199801755,0.640093146229608,0.3623897243601635,0.7093611086302295,0.27549686380641114,0.3759125027794561,6.719315182728012,179.92712546108456,2784,60,26,2749500,3462100,0,38700,494800,131300,45825.0,True,1.0,10,178.23729666540257,17.823729666540256,0.25035727320653023,16500,701400,1600,True,True,1.0,0,166.63636363636363,nan,nan,nan,0.0,True,30,2351,2,0,0
