paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled
pre-thesis/monograph/main.tex:50:p001,Monografía: Propósito y frontera de evidencia,Propósito y frontera de evidencia,pre-thesis/monograph/main.tex,50,50,94,4,"Esta monografía conserva derivaciones, modelos y resultados que exceden el presupuesto editorial de la memoria VIU. No sustituye ninguna prueba necesaria para sostener una afirmación de la tesis; cada resultado mantiene sus supuestos, planta y nivel de evidencia. La auditoría semántica cubre los 166 resultados detectados y no produjo promociones automáticas. El atlas conserva el megajuego, la estabilidad híbrida global, los argumentos de small-gain y los resultados de tiempo muestreado con su veredicto: un fallo no sustenta un teorema y un resultado limitado aún requiere cruce exacto con una afirmación y su evidencia.",ef23aae3540a82d31cd435aced2795c261d15cd271b077e59fb42d13e475f17b,auditoría semántica cubre los 166 resultados detectados y no produjo promociones automáticas,7d524f7394e76c5f0c3fd212ed4b4998a6e34c36bad7b7e31165196326a7d5a6,False
pre-thesis/monograph/main.tex:52:p002,Monografía: Propósito y frontera de evidencia,Propósito y frontera de evidencia,pre-thesis/monograph/main.tex,52,59,86,5,"El modo primario modelado es Cargo con acoples bilaterales. La escena MuJoCo instrumentada supera la auditoría estructural y un humo acotado completó seis ejecuciones sin fallos de software. Esto no cierra la validación física: no se ejecutaron la transmisión de fuerza ni la calibración rueda--twist, un solo paso temporal no constituye sensibilidad y ninguna corrida alcanzó el criterio terminal. La campaña confirmatoria permanece pendiente. El caging y el empuje unilateral se conservan como extensión separada; sin calibración real, el banco no es un gemelo digital.",2335b028de461de5ecd980ae274dcfefbec008f5025b089aac538c311266bf62,primario modelado es Cargo con acoples bilaterales La escena MuJoCo instrumentada supera,4b11182cec547f8e778055355424faf680bea06f0daf0737ae324a3974147df8,True
pre-thesis/monograph/main.tex:63:p003,Monografía: Modelo común y estado del arte,Modelo común y estado del arte,pre-thesis/monograph/main.tex,63,63,52,3,"La formulación compartida define conjuntos, estados, información y contratos entre SP1, SP2 y SP3 antes de reutilizar resultados históricos. La notación de esta instantánea procede de la memoria en curso y deberá mantenerse sincronizada con el registro canónico del repositorio. Las tres figuras conceptuales protegidas forman parte del argumento, no son ornamentación.",2676566ebca5793cf0d62af5d0e4c02cecc0373ebd8c3a3a68de2433362600d9,canónico del repositorio Las tres figuras conceptuales protegidas forman parte del argumento,e266f8e411b88bb304addef744e8a32c5573b093497312c65e99733f755cd52d,True
pre-thesis/monograph/main.tex:71:p004,Monografía: Resultados técnicos conservados,Resultados técnicos conservados,pre-thesis/monograph/main.tex,71,71,52,3,"Los identificadores SP2--SP8 de esta sección son históricos y no introducen subproblemas adicionales. El cruce canónico es SP1 para capacidad y contactos, SP2 para ejecución, seguridad y reparación, y SP3 para rutas y red. Las cifras proceden de macros y tablas copiadas con su fuente; no se transcriben resultados a mano.",0b05572d20871c1f1695d9497d62f28ad08778a662fb37b4797891301c5c8e0e,identificadores SP2 SP8 de esta sección son históricos y no introducen subproblemas,2778a3ff22f13185175286fd743f6722a5e1fef5b62be049e2973c33c5b87664,True
pre-thesis/monograph/main.tex:98:p005,Monografía: Demostraciones extendidas,Demostraciones extendidas,pre-thesis/monograph/main.tex,98,98,48,3,"Las demostraciones se conservan agrupadas por la etapa que originó su notación. Su presencia en esta monografía no eleva automáticamente el nivel de evidencia de una afirmación experimental. Cuando una premisa dependa de un cierre central o de información global, esa dependencia se declara como parte del resultado.",798ef9b6bdd01760206ba71da1fc1ef8210ac68d44d4f423111e97de22004413,etapa que originó su notación Su presencia en esta monografía no eleva,66adef290d7e2976f8ec70cb8cec17683ad927917b6ec452023b106a510fb76f,True
pre-thesis/sections/intro-contracts.tex:4:p001,Monografía: otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,4,10,64,3,"Una revisión local consulta el estado del AMR y mensajes vecinales; el cierre entero y la infraestructura compartida añaden las dependencias globales que se declaran en la metodología. En transporte colectivo, el valor de incorporar a depende de , de su llegada y del contacto disponible. Los mercados para tareas complejas representan parte de esa dependencia ; la coalición física exige además concurrencia en contactos compatibles.",320726b6c70bf323e38cc3c0b76f8edbd823bbf363c15b00749009e463dd25eb,contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,443a4c84a4c1bc89cc7a4c9f31aa38c308d96a9e627a3bc4704dfb374c46ce46,True
pre-thesis/sections/intro-contracts.tex:12:p002,Monografía: otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,12,16,32,2,"La carga debe cerrar , realizar el wrench y solo entonces ejecutar el transporte con su filtro de seguridad . La Figura codifica esas entregas; una garantía extremo a extremo requeriría demostrar su composición.",44f793a9695365810eb4c06518ad87626bde2035e4682aff4d23737ac366f92f,codifica esas entregas una garantía extremo a extremo requeriría demostrar su composición,74d15f1671f8fbf3f2cdd015829724b6b1f3bbd8ed0162dd011e75903de1ed31,False
pre-thesis/sections/intro-contracts.tex:57:p003,Monografía: otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,57,61,42,3,"Cada estimación se vincula con su instante y vecindario. La ejecución permanece digital aunque las activaciones sean asíncronas: integrador, muestreo y política de mensajes determinan la trayectoria. Cargo usa contactos soportados y bilaterales; caging parte de fuerzas unilaterales y exige otra prueba .",c9b599df64b3a4585d5fe2561ae0b59b7caf692b68db74d520f024b9d19d9b87,vecindario La ejecución permanece digital aunque las activaciones sean asíncronas integrador muestreo,0e5dea3ce6b4a6c74d38421074d0b9482e20ec9fc774fd219200c0e3d9a20ecf,True
pre-thesis/sections/method-comparison.tex:4:p001,Monografía: otro,Criterios de comparación,pre-thesis/sections/method-comparison.tex,4,6,29,2,La Tabla clasifica la salida que cada familia entrega a la capa siguiente. ``Parcial'' indica que la propiedad depende de un módulo o de supuestos externos al problema tratado.,5980a780a04588f39e4d8b1d518a5aa78d738978bc4ba91b12e08c26f3bc366c,propiedad depende de un módulo o de supuestos externos al problema tratado,ed002bbbbedcccd45f0e7a57b3f00f4e383c0c6aa8708b0fb4945f0d3e209106,False
pre-thesis/sections/method-comparison.tex:33:p002,Monografía: otro,Criterios de comparación,pre-thesis/sections/method-comparison.tex,33,37,55,3,"Las familias parten de objetos distintos: asignación consume utilidad, formación consume un equipo, seguridad consume un control nominal y MAPF una abstracción espacio--temporal. En instancias pequeñas, el oráculo global fija un techo bajo información privilegiada; la brecha, la comunicación y la conectividad se miden por separado. El oráculo no se presenta como competidor distribuido.",993336f5fffec72554e983bd2e15fdc748ad4fac39b56669076c6cfc5ec202c6,familias parten de objetos distintos asignación consume utilidad formación consume un equipo,67f599a1fa8efbc265c3ee4cddd7ce791a4aba262696bc2db240eff480ae930f,False
