exact_query,exact_result_count,exact_exact_in_snippet,exact_top_url,exact_top_title,exact_urls_first_five,unquoted_query,unquoted_result_count,longest_consecutive_query_words,unquoted_top_url,unquoted_top_title,unquoted_urls_first_five,verdict,rationale,checked_at_utc
"""factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso""","0","false","","","","factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso","18","3","https://es.scribd.com/document/533823896/JUMO-QUANTROL","Manual de Servicio JUMO Quantrol | PDF | Relé | USB","https://es.scribd.com/document/533823896/JUMO-QUANTROL | https://docs.rs-online.com/97db/0900766b81464139.pdf | https://johnsonoutdoors.widen.net/content/ekahnsbjal/pdf/SP_G2TEK_manual_ES.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC9638846/ | https://www.daikinac.com/content/assets/DOC/EKHB_030%20Installation%20Manual%20-%204PW62568-1.pdf","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 3 consecutive query words.","2026-09-08T23:17:54Z"
"""Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems""","1","false","https://fliphtml5.com/znrxj/qaxr/Surveillance_in_Action_%3A_Technologies_for_Civilian%2C_Military_and_Cyber_Surveillance/","Surveillance in Action : Technologies for Civilian, Military and Cyber Surveillance - Flipbook by Perpustakaan APRM | FlipHTML5","https://fliphtml5.com/znrxj/qaxr/Surveillance_in_Action_%3A_Technologies_for_Civilian%2C_Military_and_Cyber_Surveillance/","Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems","21","3","https://etheses.whiterose.ac.uk/id/eprint/34421/","Reinforcement learning and swarm intelligence for cooperative aerial navigation and payload transportation - White Rose eTheses Online","https://etheses.whiterose.ac.uk/id/eprint/34421/ | https://www.sciencedirect.com/science/article/abs/pii/S1270963821004272 | https://www.sciencedirect.com/science/article/abs/pii/S0921889026002290 | https://arxiv.org/abs/1805.00959 | https://www.sciencedirect.com/science/article/abs/pii/S0968090X22001966","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 3 consecutive query words.","2026-09-08T23:17:56Z"
"""hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact""","0","false","","","","hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact","22","2","https://onlinelibrary.wiley.com/doi/10.1155/2015/236285","Stabilization Methods for a Multiagent System with Complex Behaviours - Leon - 2015 - Computational Intelligence and Neuroscience - Wiley Online Library","https://onlinelibrary.wiley.com/doi/10.1155/2015/236285 | https://www.cambridge.org/core/journals/robotica/article/abs/contact-stability-analysis-of-a-one-degreeoffreedom-robot-using-hybrid-system-stability-theory/49B13769BD09213116C238979D47F697 | https://www.sciencedirect.com/science/article/pii/S000510981500429X | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/49B13769BD09213116C238979D47F697/S0263574704001201a.pdf/div-class-title-contact-stability-analysis-of-a-one-degree-of-freedom-robot-using-hybrid-system-stability-theory-div.pdf | https://portal.research.lu.se/en/publications/stability-and-optimality-of-multi-scale-transportation-networks-w","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 2 consecutive query words.","2026-09-08T23:17:59Z"
"""i La carga tiene pose planar q k L p x""","0","false","","","","i La carga tiene pose planar q k L p x","22","3","https://sedici.unlp.edu.ar/bitstream/handle/10915/145242/Documento_completo.pdf?isAllowed=y&sequence=1","CONSTITUIDAS","https://sedici.unlp.edu.ar/bitstream/handle/10915/145242/Documento_completo.pdf?isAllowed=y&sequence=1 | https://campusgrado.fi.uba.ar/pluginfile.php/34792/mod_resource/content/4/Apuntes%20EI%20-%202%20Fuerzas%20Distribuidas%20v4.pdf | https://openstax.org/books/f%C3%ADsica-universitaria-volumen-2/pages/14-5-oscilaciones-en-un-circuito-lc | https://es.wikipedia.org/wiki/Carga_%28f%C3%ADsica%29 | https://es.scribd.com/document/864744047/Apuntes-teoricos-de-Fuerzas-Distribuidas","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 3 consecutive query words.","2026-09-08T23:18:01Z"
"""tres subproblemas SP1 incorpora asignación cardinalidad heterogeneidad y roles contactos SP2 integra""","0","false","","","","tres subproblemas SP1 incorpora asignación cardinalidad heterogeneidad y roles contactos SP2 integra","17","1","https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/37190/1/AL23.pdf","26                                   CAPÍTULO 3. TRABAJOS RELACIONADOS","https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/37190/1/AL23.pdf | https://es.scribd.com/document/574701022/ZACTE39 | https://www.scribd.com/doc/111503906/Spanish-Technical-Report-CMMI-v-1-3 | https://www.researchgate.net/publication/26460714_Alineacion_entre_metas_organizacionales_y_elicitacion_de_requisitos_del_software | https://www.cs.upc.edu/~jvazquez/teaching/iag/problemas/Soluciones_IA11121Q-ReprK.pdf","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 1 consecutive query words.","2026-09-08T23:18:04Z"
"""debe efectuar el consumidor Este criterio permite comparar MRTA juegos estimación mecánica""","3","false","https://it.scribd.com/document/372234653/Mecanica-y-diseno-mecanico","Mecánica y Diseño Mecánico | PDF | Dinámica (Mecánica) | Resistencia de materiales","https://it.scribd.com/document/372234653/Mecanica-y-diseno-mecanico | https://esdocs.com/doc/1705088/descargar-el-anterior-dise%C3%B1o-curricular | https://www.udocz.com/apuntes/99420/banco-1-ceprunsa-sociales","debe efectuar el consumidor Este criterio permite comparar MRTA juegos estimación mecánica","19","2","https://documat.unirioja.es/servlet/articulo?codigo=2940684","Juegos estocásticos continuos: valor y estrategias óptimas - Documat","https://documat.unirioja.es/servlet/articulo?codigo=2940684 | https://gredos.usal.es/bitstream/handle/10366/169519/Decision_y_Juegos.pdf?isAllowed=y&sequence=1 | https://www.morfologiadeljuego.com/2025/10/mecanica-el-termino-mas-esencial-y.html | https://www2.um.edu.uy/marcaffera/marcelo/Docencia/MicroMaster/Ejercicios-Parciales-Examenes-Soluciones/Finales/SolucionExamen2006.pdf | https://gamblecalc.com/es/lottery/lottery-prize-tier-expected-value-calculator.html","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 2 consecutive query words.","2026-09-08T23:18:08Z"
"""fuerza Dividir una carga entre plazas independientes también pierde la condición simultánea""","12","false","https://nuevo.leychile.cl/navegar?idNorma=1974","Ley Chile - Código de Comercio (23-nov-1865) M. de Justicia - Biblioteca del Congreso Nacional de Chile","https://nuevo.leychile.cl/navegar?idNorma=1974 | https://www.scribd.com/document/760826686/CIRSOC-801-2019-com | https://www.proyectodescartes.org/iCartesiLibri/materiales_didacticos/Fisica_III/indexb.html | https://cancilleria.gov.co/normograma/compilacion/docs/decreto_0926_2010.htm | https://id.scribd.com/document/835307257/REGLAMENTO-DE-CONSTRUCCIONES-2a-ACTUALIZACION-2012","fuerza Dividir una carga entre plazas independientes también pierde la condición simultánea","15","2","https://www.bcn.cl/leychile/navegar?cve=&i=&idLey=&idNorma=8201&idVersion=2016-03-04&tipoVersion=","Ley Chile - dto 47 (05-jun-1992) M. de Vivienda y Urbanismo - Biblioteca del Congreso Nacional de Chile","https://www.bcn.cl/leychile/navegar?cve=&i=&idLey=&idNorma=8201&idVersion=2016-03-04&tipoVersion= | https://centros.edu.xunta.gal/cifpfarixa/aulavirtual/pluginfile.php/84631/mod_resource/content/2/Fundamentos%20de%20la%20mec%C3%A1nica%20del%20ejercicio-Resistance%20Institute.pdf | https://www.boe.es/eli/es/rd/2002/08/02/842/con/20230318 | https://www.psu.demre.cl/publicaciones/pdf/2014-demre-13-resolucion-ciencias-parte2.pdf | https://info.cype.com/es/tema/cypelec-simultaneidad/","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 2 consecutive query words.","2026-09-08T23:18:11Z"
"""estrategia ausente mientras logit le asigna masa positiva la mejor respuesta cambia""","8","false","https://studylib.net/doc/28078378/administracion-de-operaciones---lee-j-krajewski","Administración de Operaciones: Procesos y Cadenas de Valor","https://studylib.net/doc/28078378/administracion-de-operaciones---lee-j-krajewski | https://www.arc-codex.com/library/53718 | https://dokumen.site/download/bioestadisticacelispdf-a5b39f0f93927a | https://www.econash.com/glosario | https://www.campustudionline.com/contents/from-subject/7c775fe8-66e1-404a-850b-585beeba4e86/material/317d12b8-8181-4282-a075-5ec7c31a4fb1/","estrategia ausente mientras logit le asigna masa positiva la mejor respuesta cambia","23","3","https://www.alphaxiv.org/es/abs/2602.06717","F-GRPO: No dejes que tu política aprenda lo obvio y olvide lo raro | alphaXiv","https://www.alphaxiv.org/es/abs/2602.06717 | https://es.wikipedia.org/wiki/Mejor_respuesta | https://www.u-cursos.cl/ingenieria/2007/2/IN51A/1/material_docente/bajar?bajar=1&id=138924 | https://eml.berkeley.edu/books/choice2nd/C3.pdf | https://rinfi.fi.mdp.edu.ar/xmlui/bitstream/handle/123456789/1125/Zabaleta-TD-Ee-2013.pdf?isAllowed=y&sequence=1","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 3 consecutive query words.","2026-09-08T23:18:17Z"
"""interconexión híbrida exige una prueba composicional adicional incluso cuando la capa estratégica""","5","false","https://www.scribd.com/document/899942270/PE-202412-La-Inteligencia-Artificial-y-La-Red-Electrica","Quina 3770 Resultados y Análisis | PDF | Mobile App | Electrical Engineering","https://www.scribd.com/document/899942270/PE-202412-La-Inteligencia-Artificial-y-La-Red-Electrica | https://juandomingofarnos.wordpress.com/page/9/ | https://www.scribd.com/document/971826158/CHIAVENATO-Idalberto-Administracion-teoria-proceso-y-practica-4-ed-Rio-de | https://www.scribd.com/document/734843358/Rincon-Ruiz-2023-Bioeconomia-Miradas | https://id.scribd.com/document/14141913/La-Transicion-Hacia-el-Desarrollo-Sustentable","interconexión híbrida exige una prueba composicional adicional incluso cuando la capa estratégica","16","2","https://www.ietf.org/ietf-ftp/rfc/rfc9955.html","RFC 9955: Hybrid Signature Spectrums","https://www.ietf.org/ietf-ftp/rfc/rfc9955.html | https://es.scribd.com/document/386359703/CIRSOC-201-CAPITULO-02-12-pdf | https://dof.gob.mx/nota_detalle_popup.php?codigo=5617303 | https://docs.aws.amazon.com/es_es/whitepapers/latest/hybrid-connectivity/hybrid-connectivity.pdf | https://www.researchgate.net/publication/383432742_Hybrid_Threats_A_New_Era_of_Counterintelligence_with_Advanced_Artificial_Intelligence","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 2 consecutive query words.","2026-09-08T23:18:44Z"
"""alcance declarado Esos identificadores son etapas experimentales agrupadas hoy en SP1 SP3""","0","false","","","","alcance declarado Esos identificadores son etapas experimentales agrupadas hoy en SP1 SP3","18","2","https://es.cppreference.com/c/language/scope","Alcance - cppreference.com","https://es.cppreference.com/c/language/scope | https://www.ibm.com/docs/es/i/7.5.0?topic=linkage-scope | https://es.scribd.com/document/574701022/ZACTE39 | https://www1.funcionpublica.gov.co/web/eva/experimentacion | https://www.tesisenred.net/bitstream/handle/10803/462902/taog1de1_definitiva.pdf?isAllowed=y&sequence=1","ORIGINAL","No exact 8–12-word match; unquoted snippets shared at most 2 consecutive query words.","2026-09-08T23:18:48Z"
