exact_query,exact_result_count,exact_exact_in_snippet,exact_top_url,exact_top_title,exact_urls_first_five,unquoted_query,unquoted_result_count,longest_consecutive_query_words,unquoted_top_url,unquoted_top_title,unquoted_urls_first_five,verdict,rationale,checked_at_utc
"""asigna roles SP2 aproxima acopla transporta y sustituye miembros SP3 coordina rutas""","0","false","","","","asigna roles SP2 aproxima acopla transporta y sustituye miembros SP3 coordina rutas","18","1","https://help.sap.com/docs/SAP_SUPPLY_CHAIN_MANAGEMENT/49dd58c18be2493b80f84359d659f4a4/f348c95360267614e10000000a174cb4.html","Roles for Transportation Management | SAP Help Portal","https://help.sap.com/docs/SAP_SUPPLY_CHAIN_MANAGEMENT/49dd58c18be2493b80f84359d659f4a4/f348c95360267614e10000000a174cb4.html | SAP Help Portal | https://help.sap.com/docs/SAP_ADVANCED_PLANNING_AND_OPTIMIZATION%2C_ON_SAP_ERP/c95f1f0dcd9549628efa8d7d653da63e/f348c95360267614e10000000a174cb4.html | SAP Help Portal | https://cdn.www.gob.pe/uploads/document/file/3846541/M.%20CLASIFICADOR%20DE%20CARGOS.pdf.pdf?v=1668699199 | https://help.sap.com/docs/SAP_NETWEAVER_731_BW_ABAP/4a368c163b08418890a406d413933ba7/63e3993874dc9b21e10000009b38f8cf.html?locale=en-US&state=PRODUCTION&version=7.31.28 | SAP Help Portal | https://www.suin-juriscol.gov.co/viewDocument.asp?id=1756775 | SUIN Juriscol","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 1 consecutive query words.","2026-09-08T23:16:58Z"
"""mover estanterías Geek y MiR ofrecen soluciones comerciales para preparación de pedidos""","1","false","https://www.soultricks.com/es/blog","Más artículos","https://www.soultricks.com/es/blog","mover estanterías Geek y MiR ofrecen soluciones comerciales para preparación de pedidos","18","3","https://www.geekplus.com/es/","Geek+ | Soluciones robóticas para la automatización de almacenes y logística","https://www.geekplus.com/es/ | Soluciones robóticas para la automatización de almacenes y logística | https://www.jhernando.es/picking | JHernando | https://www.geekplus.com/es/case-studies/medicair | https://www.geekplus.com/es/industria/retail | https://geekplusrobotics.borealtech.com/picking/","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 3 consecutive query words.","2026-09-08T23:17:01Z"
"""lógica es solo la primera interfaz El equipo debe ocupar contactos compatibles""","10","false","https://esdocs.com/doc/1213100/advertencia---chevrolet-m%C3%A9xico","Advertencia - Chevrolet México","https://esdocs.com/doc/1213100/advertencia---chevrolet-m%C3%A9xico | https://app.conversalabs.com.br/hc/ajuda/es/categories/administracion-y-configuracion | Centro de Ayuda ConversaLabs | https://it.scribd.com/document/959367025/Manual-Marketing-Com-Pol-2018-4 | PDF | Medios de comunicación) | Internet | https://www.insst.es/documentacion/colecciones-tecnicas/ntp-notas-tecnicas-de-prevencion/32-serie-ntp-numeros-1101-a-1135-ano-2018/notas-tecnicas-de-prevencion.-serie-32-n-1101-a-1135- | https://it.scribd.com/document/429182056/Manual-Planificacion-Estrategica | PDF | Planificación estratégica | Planificación","lógica es solo la primera interfaz El equipo debe ocupar contactos compatibles","20","2","https://es.wikipedia.org/wiki/Interfaz_de_usuario","Interfaz de usuario","https://es.wikipedia.org/wiki/Interfaz_de_usuario | https://cache.industry.siemens.com/dl/files/937/61808937/att_985/v1/Betriebsanleitung_S150_ESP_es-ES.pdf | https://cache.industry.siemens.com/dl/files/110/45531110/att_35807/v1/S7hw___d.pdf | https://cache.industry.siemens.com/dl/files/631/18652631/att_72132/v1/S7hwV54_s.pdf | https://docs.tia.siemens.cloud/r/es-es/v21/funcionamiento-de-las-cpu-s7-1500-s7-1500/ajustar-el-comportamiento-operativo-s7-1500/propiedades-de-la-cpu-s7-1500/resumen-de-las-propiedades-de-la-cpu-s7-1500?contentId=gKXLIah4g9VelTqFQWYdMQ","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:04Z"
"""optimizadores centralizados solo fijan referencias en instancias acotadas y su ventaja informativa""","1","false","https://studylib.es/doc/9311270/valles--miguel--1999--tecnicas-cualitativas-de-investigac...","Técnicas Cualitativas de Investigación Social: Valles","https://studylib.es/doc/9311270/valles--miguel--1999--tecnicas-cualitativas-de-investigac...","optimizadores centralizados solo fijan referencias en instancias acotadas y su ventaja informativa","15","2","https://help.sap.com/docs/SAP_INTEGRATED_BUSINESS_PLANNING/feae3cea3cc549aaa9d9de7d363a83e6/74f362b10a5e475094e7a1f7416f9239.html?locale=es-ES","Parámetros de optimizador | SAP Help Portal","https://help.sap.com/docs/SAP_INTEGRATED_BUSINESS_PLANNING/feae3cea3cc549aaa9d9de7d363a83e6/74f362b10a5e475094e7a1f7416f9239.html?locale=es-ES | SAP Help Portal | https://docs.aws.amazon.com/es_es/prescriptive-guidance/latest/saas-multitenant-api-access-authorization/opa-design-comparison.html | https://learn.microsoft.com/es-es/sql/relational-databases/query-processing-architecture-guide?view=sql-server-ver17 | Microsoft Learn | https://www.solix.com/es/products/answers/optimize-your-data-with-centralized-registry-integration/ | Solix Technologies, Inc. | https://citeseerx.ist.psu.edu/document?doi=013a7309eba3792b0e39a68f6f68b2fba0909c94&repid=rep1&type=pdf","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:08Z"
"""resultados activa E2 E3 E4 E6 E7 y Cargo E0 E1 E5""","0","false","","","","resultados activa E2 E3 E4 E6 E7 y Cargo E0 E1 E5","6","3","https://repositorio.ufps.edu.co/bitstream/handle/ufps/9036/TG_2260094%20-pdf.pdf?isAllowed=y&sequence=1","| GESTIÓN DE RECURSOS Y SERVICIOS","https://repositorio.ufps.edu.co/bitstream/handle/ufps/9036/TG_2260094%20-pdf.pdf?isAllowed=y&sequence=1 || | GESTIÓN DE RECURSOS Y SERVICIOS | https://www.boe.es/buscar/doc.php?id=BOE-A-2015-8625 | https://repositorio.monterrico.edu.pe/bitstreams/54ba0f93-2a53-4d2a-97c8-bcabc502c5cc/download | https://studylib.es/doc/3099577/clasificador-de-cargos-niveles-y-remuneraciones | https://repositorio.monterrico.edu.pe/server/api/core/bitstreams/54ba0f93-2a53-4d2a-97c8-bcabc502c5cc/content","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 3 consecutive query words.","2026-09-08T23:17:10Z"
"""social Bajo mensajes locales cada robot reconstruye un potencial visible cuya coincidencia""","6","false","https://pt.scribd.com/document/44968961/Micropolis-Experimentais","Arte e Educação: Projetos na Bienal | PDF | Uruguai | Intelectual","https://pt.scribd.com/document/44968961/Micropolis-Experimentais | PDF | Uruguai | Intelectual | https://pt.scribd.com/document/392670504/Intervalo-I-Entre-Geografias-e-Cinemas-pdf | PDF | Science | https://pt.scribd.com/document/384507582/Activismo-corporal-tesis | PDF | Misticismo | Mulher | https://pt.scribd.com/document/422111633/9%C2%AA-Bienal-Do-Mercosul | PDF | Formação complementar | https://pt.scribd.com/doc/67820369/Hernandez-Gomez-Ricardo-Antropologia-de-la-discapacidad-y-dependencia | PDF | Invalidez | Baja Edad Media","social Bajo mensajes locales cada robot reconstruye un potencial visible cuya coincidencia","18","3","https://www.sciencedirect.com/science/article/abs/pii/S0304397522002481","Mutual visibility on grid by asynchronous luminous robots - ScienceDirect","https://www.sciencedirect.com/science/article/abs/pii/S0304397522002481 | https://scalablebook.icsgen-ai.org/part-8-case-studies/module-39-case-multi-agent-robotics/section-39.5.html | Scaling Out AI | https://www.alphaxiv.org/es/abs/2310.01930 | alphaXiv | https://www.sciencedirect.com/science/article/abs/pii/S0921889011000091 | https://www.researchgate.net/publication/395164575_Estrategias_de_Comunicacion_para_Sistemas_Multi-Robot_Sociales_basados_en_ROS","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 3 consecutive query words.","2026-09-08T23:17:15Z"
"""actuación y tolerancia Un resultado inconcluso produce abstención la imposibilidad exige demostrar""","9","false","https://www-2020.scba.gov.ar/leyorganica/CCyc30/CODIGO30.html","Código Civil y Comercial de la Nación Argentina","https://www-2020.scba.gov.ar/leyorganica/CCyc30/CODIGO30.html | https://www.boe.es/buscar/act.php?id=BOE-A-2023-16066&p=20231213&tn=1 | https://www.boe.es/eli/es-an/l/2023/06/07/5 | https://www.argentina.gob.ar/normativa/provincial/ley-988-123456789-0abc-defg-889-0051jvorpyel/actualizacion | Argentina.gob.ar | https://www.boe.es/eli/es/rd/2022/04/05/243","actuación y tolerancia Un resultado inconcluso produce abstención la imposibilidad exige demostrar","13","2","https://www.tjacdmx.gob.mx/images/Transparencia_UT/Versiones_Publicas/Sala_Superior/Ponencia_2/RA_10172_2016.pdf","RECURSO DE APELACIÓN 10172/2016","https://www.tjacdmx.gob.mx/images/Transparencia_UT/Versiones_Publicas/Sala_Superior/Ponencia_2/RA_10172_2016.pdf | https://www.cortesuprema.gov.co/corte/wp-content/uploads/not/penal20/avisos/111641tutela31072020.pdf | https://www.cortesuprema.gov.co/corte/wp-content/uploads/2019/09/STC12644-2018.pdf | https://sjf2.scjn.gob.mx/detalle/ejecutoria/7146 | https://www.iberley.es/jurisprudencia/sentencia-penal-n-809-2011-ts-sala-penal-sec-1-rec-10109-2011-18-07-2011-10871711","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:17Z"
"""proyección sobre conjuntos convexos locales permite imponer restricciones durante el consenso bajo""","7","false","https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/preguntasescritas/index.html?id1=14145&id2=684&id3=con&lang=ca_ES&legis=15&nPag=1.0","Preguntes escrites | Senat d’Espanya","https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/preguntasescritas/index.html?id1=14145&id2=684&id3=con&lang=ca_ES&legis=15&nPag=1.0 | Senat d’Espanya | https://djvu.online/file/efFHlrM0LSrnG | https://juandomingofarnos.wordpress.com/tag/educacion/ | https://esdocs.com/doc/2188469/la-dimensi%C3%B3n-ambiental-en-la-planificaci%C3%B3n-del-desarrollo | https://es.passeidireto.com/es/content/132322410/barrera-lobaton-y-monroy-julieth-2014-pe | Passei Direto","proyección sobre conjuntos convexos locales permite imponer restricciones durante el consenso bajo","20","2","https://www.sciencedirect.com/science/article/pii/S0005109816300024","Distributed constrained optimal consensus of multi-agent systems - ScienceDirect","https://www.sciencedirect.com/science/article/pii/S0005109816300024 | https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6343778 | https://papers.ssrn.com/sol3/Delivery.cfm/6343778.pdf?abstractid=6343778&mirid=1 | https://idus.us.es/bitstreams/2dc3eb84-04c4-44cb-bfda-fff952d2b871/download | https://chatpaper.com/es/paper/335009","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:20Z"
"""MAPF consume una abstracción espacio temporal La arquitectura propuesta convierte cada salida""","1","false","https://id.scribd.com/document/394500782/GALAZZI-Del-Encierro-Al-Control","GALAZZI Del Encierro Al Control | PDF | Gilles Deleuze | Michel Foucault","https://id.scribd.com/document/394500782/GALAZZI-Del-Encierro-Al-Control | PDF | Gilles Deleuze | Michel Foucault","MAPF consume una abstracción espacio temporal La arquitectura propuesta convierte cada salida","16","2","https://es.scribd.com/document/996077452/3-Sda-famg-Manual-de-Proceso-y-Fases","3-Sda-Famg Manual de Proceso y Fases | PDF | Diseño | Abstracción","https://es.scribd.com/document/996077452/3-Sda-famg-Manual-de-Proceso-y-Fases | PDF | Diseño | Abstracción | https://www.memoriachilena.gob.cl/archivos2/pdfs/MC0060810.pdf | https://www.archdaily.com/es/1093140/el-control-sutil-del-espacio-diseno-para-la-toma-de-decisiones | ArchDaily en Español | https://www.teseopress.com/proyectotecnicaciudadyculturahistorica/chapter/la-abstraccion-como-proceso-jose-cruz-ovalle-huellas-de/ | Proyecto, técnica, ciudad y cultura histórica | https://www.archdaily.com/es/1036237/la-arquitectura-de-la-restriccion-cuando-no-construir-se-convierte-en-diseno | ArchDaily en Español","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:54Z"
"""primera etapa retenida comprueba capacidad heterogénea la segunda sustituye la suma escalar""","9","false","https://meteomurcia.com/glosariometeorologia.htm","Dirección General de Protección Civil y Emergencias - Ministerio del Interior - España. Red Radio de Emergencia - REMER. VADEMECUM REMER - Glosarios - Meteorológico","https://meteomurcia.com/glosariometeorologia.htm | https://prometeo.matem.unam.mx/recursos/VariosNiveles/iCartesiLibri/recursos/Fisica_Volumen_II/ | https://eduprofe.es/RGA/index.php?page=laboratorio_stem | EduProfe | https://fr.scribd.com/document/583867222/Francois-Dubet-El-trabajo-de-las-sociedades | PDF | Sociedad | Sociología | https://it.scribd.com/document/393470565/2012n10-revistaDeTrabajo-pdf | PDF | Crisis de la deuda del gobierno griego | Deuda gubernamental","primera etapa retenida comprueba capacidad heterogénea la segunda sustituye la suma escalar","17","2","https://e1.portalacademico.cch.unam.mx/alumno/matematicas1/unidad4/metodosumaoresta/solucionunica","Solución única | Portal Académico del CCH","https://e1.portalacademico.cch.unam.mx/alumno/matematicas1/unidad4/metodosumaoresta/solucionunica | Portal Académico del CCH | https://www.uteg.edu.ec/biblioteca-libros/wp-content/uploads/2023/10/Algebra_compressed.pdf | https://arquimedes.matem.unam.mx/Vinculos/Secundaria/2_segundo/2_Matematicas/2m_b05_t01_s01_descartes/doc/info.html | https://espanol.libretexts.org/Bookshelves/Quimica/Qu%C3%ADmica_Inorg%C3%A1nica/Qu%C3%ADmica_de_Coordinaci%C3%B3n_Inorg%C3%A1nica_%28Landskron%29/09%3A_Coordinaci%C3%B3n_Qu%C3%ADmica_V_-_Reacciones_y_Mecanismos/9.01%3A_Reacciones_de_sustituci%C3%B3n_y_sus_mecanismos | https://e1.portalacademico.cch.unam.mx/alumno/matematicas1/unidad4/sistemas-de-ecuaciones-3x3/sistemas3x3-suma | Portal Académico del CCH","ORIGINAL","No normalized exact-phrase match; unquoted results shared at most 2 consecutive query words.","2026-09-08T23:17:58Z"
