document,detector_priority,category,raw_hits,adjudicated_priority,action,rationale
thesis,P1,inflated_vocabulary,3,P3,retain_contextually,"Exhaustivo names an exhaustive oracle/bibliometric limitation; integral is a mathematical object."
thesis,P1,em_dash,0,P3,resolved_by_rewrite,"No em dash remains in the audited prose."
thesis,P2,copula_avoidance,1,P3,context_review,"The only match states that the warehouse represents the environment; it is a literal model relation, not promotional wording."
thesis,P2,formulaic_transition,1,P3,retain_logical_connector,"The single connector occurs inside a proof and marks a genuine inference; density is negligible in 15958 words."
thesis,P2,uniform_paragraph_rhythm,7,P3,no_mechanical_rewrite,"These are chapter aggregates, not seven passages; regularity follows the author's explicit 3--5-sentence contract."
monograph,P1,inflated_vocabulary,2,P3,retain_contextually,"Exhaustiva states a bibliometric limitation; integral is a mathematical object."
monograph,P1,em_dash,0,P3,resolved_by_rewrite,"No em dash remains in the audited prose."
monograph,P2,copula_avoidance,0,P3,resolved_by_rewrite,"No copula-avoidance match remains in the audited prose."
monograph,P2,formulaic_transition,2,P3,retain_logical_connector,"Both connectors occur inside proofs and mark genuine inferences; density is negligible in 17772 words."
monograph,P2,uniform_paragraph_rhythm,5,P3,no_mechanical_rewrite,"These are section aggregates and reflect the explicit paragraph-length contract."
