paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled,exact_query,unquoted_query,search_status
pre-thesis/monograph/main.tex:52:p002,Monografía: Propósito y frontera de evidencia,Propósito y frontera de evidencia,pre-thesis/monograph/main.tex,52,59,86,5,"El modo primario modelado es Cargo con acoples bilaterales. La escena MuJoCo instrumentada supera la auditoría estructural y un humo acotado completó seis ejecuciones sin fallos de software. Esto no cierra la validación física: no se ejecutaron la transmisión de fuerza ni la calibración rueda--twist, un solo paso temporal no constituye sensibilidad y ninguna corrida alcanzó el criterio terminal. La campaña confirmatoria permanece pendiente. El caging y el empuje unilateral se conservan como extensión separada; sin calibración real, el banco no es un gemelo digital.",2335b028de461de5ecd980ae274dcfefbec008f5025b089aac538c311266bf62,primario modelado es Cargo con acoples bilaterales La escena MuJoCo instrumentada supera,4b11182cec547f8e778055355424faf680bea06f0daf0737ae324a3974147df8,True,"""primario modelado es Cargo con acoples bilaterales La escena MuJoCo instrumentada supera""",primario modelado es Cargo con acoples bilaterales La escena MuJoCo instrumentada supera,ORIGINAL
pre-thesis/monograph/main.tex:63:p003,Monografía: Modelo común y estado del arte,Modelo común y estado del arte,pre-thesis/monograph/main.tex,63,63,52,3,"La formulación compartida define conjuntos, estados, información y contratos entre SP1, SP2 y SP3 antes de reutilizar resultados históricos. La notación de esta instantánea procede de la memoria en curso y deberá mantenerse sincronizada con el registro canónico del repositorio. Las tres figuras conceptuales protegidas forman parte del argumento, no son ornamentación.",2676566ebca5793cf0d62af5d0e4c02cecc0373ebd8c3a3a68de2433362600d9,canónico del repositorio Las tres figuras conceptuales protegidas forman parte del argumento,e266f8e411b88bb304addef744e8a32c5573b093497312c65e99733f755cd52d,True,"""canónico del repositorio Las tres figuras conceptuales protegidas forman parte del argumento""",canónico del repositorio Las tres figuras conceptuales protegidas forman parte del argumento,ORIGINAL
pre-thesis/monograph/main.tex:71:p004,Monografía: Resultados técnicos conservados,Resultados técnicos conservados,pre-thesis/monograph/main.tex,71,71,52,3,"Los identificadores SP2--SP8 de esta sección son históricos y no introducen subproblemas adicionales. El cruce canónico es SP1 para capacidad y contactos, SP2 para ejecución, seguridad y reparación, y SP3 para rutas y red. Las cifras proceden de macros y tablas copiadas con su fuente; no se transcriben resultados a mano.",0b05572d20871c1f1695d9497d62f28ad08778a662fb37b4797891301c5c8e0e,identificadores SP2 SP8 de esta sección son históricos y no introducen subproblemas,2778a3ff22f13185175286fd743f6722a5e1fef5b62be049e2973c33c5b87664,True,"""identificadores SP2 SP8 de esta sección son históricos y no introducen subproblemas""",identificadores SP2 SP8 de esta sección son históricos y no introducen subproblemas,ORIGINAL
pre-thesis/monograph/main.tex:98:p005,Monografía: Demostraciones extendidas,Demostraciones extendidas,pre-thesis/monograph/main.tex,98,98,48,3,"Las demostraciones se conservan agrupadas por la etapa que originó su notación. Su presencia en esta monografía no eleva automáticamente el nivel de evidencia de una afirmación experimental. Cuando una premisa dependa de un cierre central o de información global, esa dependencia se declara como parte del resultado.",798ef9b6bdd01760206ba71da1fc1ef8210ac68d44d4f423111e97de22004413,etapa que originó su notación Su presencia en esta monografía no eleva,66adef290d7e2976f8ec70cb8cec17683ad927917b6ec452023b106a510fb76f,True,"""etapa que originó su notación Su presencia en esta monografía no eleva""",etapa que originó su notación Su presencia en esta monografía no eleva,ORIGINAL
pre-thesis/sections/intro-contracts.tex:4:p001,Monografía: otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,4,10,64,3,"Una revisión local consulta el estado del AMR y mensajes vecinales; el cierre entero y la infraestructura compartida añaden las dependencias globales que se declaran en la metodología. En transporte colectivo, el valor de incorporar a depende de , de su llegada y del contacto disponible. Los mercados para tareas complejas representan parte de esa dependencia ; la coalición física exige además concurrencia en contactos compatibles.",320726b6c70bf323e38cc3c0b76f8edbd823bbf363c15b00749009e463dd25eb,contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,443a4c84a4c1bc89cc7a4c9f31aa38c308d96a9e627a3bc4704dfb374c46ce46,True,"""contacto disponible Los mercados para tareas complejas representan parte de esa dependencia""",contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,ORIGINAL
pre-thesis/sections/intro-contracts.tex:57:p003,Monografía: otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,57,61,42,3,"Cada estimación se vincula con su instante y vecindario. La ejecución permanece digital aunque las activaciones sean asíncronas: integrador, muestreo y política de mensajes determinan la trayectoria. Cargo usa contactos soportados y bilaterales; caging parte de fuerzas unilaterales y exige otra prueba .",c9b599df64b3a4585d5fe2561ae0b59b7caf692b68db74d520f024b9d19d9b87,vecindario La ejecución permanece digital aunque las activaciones sean asíncronas integrador muestreo,0e5dea3ce6b4a6c74d38421074d0b9482e20ec9fc774fd219200c0e3d9a20ecf,True,"""vecindario La ejecución permanece digital aunque las activaciones sean asíncronas integrador muestreo""",vecindario La ejecución permanece digital aunque las activaciones sean asíncronas integrador muestreo,ORIGINAL
pre-thesis/sections/method-comparison.tex:49:p004,Monografía: otro,Criterios de comparación,pre-thesis/sections/method-comparison.tex,49,54,57,3,"El protocolo exige que una prueba de pasividad identifique puertos, almacenamiento y suministro, y que una prueba de Lyapunov fije dominio y signo de la derivada . Un cambio de contacto, la saturación o la discretización alteran esas hipótesis. La interconexión híbrida necesita una prueba composicional incluso si la capa estratégica y la planta poseen resultados locales propios.",4f494c8097443ee424056f999a9d7ae0e775ed0024a63b8c04e9c41688ba4faf,discretización alteran esas hipótesis La interconexión híbrida necesita una prueba composicional incluso,37671cc39b93f4b898bdf780d9a8a461287a16a214ba6330de9a5768462be44a,True,"""discretización alteran esas hipótesis La interconexión híbrida necesita una prueba composicional incluso""",discretización alteran esas hipótesis La interconexión híbrida necesita una prueba composicional incluso,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:11:p003,Monografía: modelo común y estado del arte,Asignación y formación de coaliciones,pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,11,11,42,3,"La asignación multi-robot de tareas (MRTA) clasifica relaciones entre robots, tareas y horizonte de decisión . El caso uno a uno admite asignación bipartita y el algoritmo húngaro . Una carga que requiere varios robots introduce dependencias entre ganadores. Su formulación mínima incluye",9b321bd307636e6a2e32cfa6d35d8566d9dc2531a1ee863f41ca43735beb2b95,que requiere varios robots introduce dependencias entre ganadores Su formulación mínima incluye,279ccb76afc08350ab61bcb208fc5da55b8fc5050a0ec08820478b3050ee4fdf,True,"""que requiere varios robots introduce dependencias entre ganadores Su formulación mínima incluye""",que requiere varios robots introduce dependencias entre ganadores Su formulación mínima incluye,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:41:p010,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,41,41,80,4,"En el grafo de comunicación \( G_c(t)=( , E_c(t))\), \( _2(L)>0\) mide conectividad algebraica cuando la topología es no dirigida . El resultado conmutado de permite conmutación arbitraria dentro de una colección finita cuyos digrafos son, cada uno, balanceados y fuertemente conectados; no se sustituye esa premisa por conectividad conjunta. Un grafo de sensado \( G_s(t)\) distinto codifica los obstáculos y cargas observables. El modelo de observación completa ambos grafos con la magnitud recibida y su precisión.",26ece3ba89f134b69341b30b0f0828befdd89bc60c44663fdf4fdd2dd7fbac82,E c t 2 L 0 mide conectividad algebraica cuando la topología,38e598681a084623fa845966ea3828da8659f679afb929f017db486d3e6b1e6a,True,"""E c t 2 L 0 mide conectividad algebraica cuando la topología""",E c t 2 L 0 mide conectividad algebraica cuando la topología,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:43:p011,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,43,43,65,4,"El consenso estático aproxima una cantidad fija. El consenso dinámico sigue el agregado cuando sus entradas cambian durante el movimiento . La cota de error depende de la conectividad, la variación de entrada, las ganancias y la discretización. El residual de ocupación estimada debe entrar en el pago que usa esa ocupación; la selección de carga y la estabilidad de la planta pertenecen a contratos posteriores.",605d5ed42d2e9b66e359be8d4f30ef6c1c0d4ac82d29a360935dd2a6c8489987,cantidad fija El consenso dinámico sigue el agregado cuando sus entradas cambian,1beac12984d8663e26b73c54641ee6080d659250de72e9b9fdec79da1eecf515,True,"""cantidad fija El consenso dinámico sigue el agregado cuando sus entradas cambian""",cantidad fija El consenso dinámico sigue el agregado cuando sus entradas cambian,ORIGINAL
