paragraph_id,chapter,current_path,current_line,corpus,source_path,source_block,common_5grams,containment_current,jaccard,match_type,determination,current_excerpt,source_excerpt
pre-thesis/sections/intro-contracts.tex:4:p001,Monografía: otro,pre-thesis/sections/intro-contracts.tex,4,thesis,thesis/build/main.pdf,651,14,0.233333,0.053846,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"Una revisión local consulta el estado del AMR y mensajes vecinales; el cierre entero y la infraestructura compartida añaden las dependencias globales que se declaran en la metodología. En transporte colectivo, el valor de incorporar a depen","5.1. Transporte cooperativo y contratos entre capas Los AMR de almacén toman decisiones locales dentro de reglas logísticas de circulación, despacho y prioridad (Azadeh et al., 2019). En la arquitectura estudiada, una revisión local consult"
pre-thesis/sections/intro-contracts.tex:12:p002,Monografía: otro,pre-thesis/sections/intro-contracts.tex,12,thesis,thesis/sections/mainmatter/05-theoretical-framework.tex,7,4,0.142857,0.053333,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"La carga debe cerrar , realizar el wrench y solo entonces ejecutar el transporte con su filtro de seguridad . La Figura codifica esas entregas; una garantía extremo a extremo requeriría demostrar su composición.",Una carga que rebasa la capacidad individual exige primero cerrar . Esa composición debe admitir contactos capaces de realizar el wrench; solo entonces el control puede ejecutar el transporte con su filtro de seguridad . Las flechas de la F
pre-thesis/sections/intro-contracts.tex:57:p003,Monografía: otro,pre-thesis/sections/intro-contracts.tex,57,thesis,thesis/build/main.pdf,662,10,0.263158,0.067114,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"Cada estimación se vincula con su instante y vecindario. La ejecución permanece digital aunque las activaciones sean asíncronas: integrador, muestreo y política de mensajes determinan la trayectoria. Cargo usa contactos soportados y bilater","vecindario que la produjo. Su error entra en la decisión que consume la ocupación o el recurso estimado. La ejecución permanece digital aunque las activaciones sean asíncronas: el integrador, el periodo de muestreo y la política de mensajes"
pre-thesis/sections/method-comparison.tex:4:p001,Monografía: otro,pre-thesis/sections/method-comparison.tex,4,snapshot,pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,41,4,0.16,0.066667,LOW_OVERLAP,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,La Tabla clasifica la salida que cada familia entrega a la capa siguiente. ``Parcial'' indica que la propiedad depende de un módulo o de supuestos externos al problema tratado.,El corpus se organiza por la propiedad que cada familia entrega a la capa siguiente. La comparación operacional y sus asimetrías de información se fijan en la metodología; aquí se localiza la interfaz todavía abierta entre composición nomin
pre-thesis/sections/method-comparison.tex:4:p001,Monografía: otro,pre-thesis/sections/method-comparison.tex,4,legacy_snapshot,legacy/_thesis_coppelia_snapshot_20260717/sections/mainmatter/05-theoretical-framework.tex,31,5,0.2,0.113636,LOW_OVERLAP,"LEGITIMATE_AUTHOR_PROJECT_SNAPSHOT; historical reuse, not independent evidence",La Tabla clasifica la salida que cada familia entrega a la capa siguiente. ``Parcial'' indica que la propiedad depende de un módulo o de supuestos externos al problema tratado.,El contrato básico de cada familia se compara en la Tabla . ``Parcial'' indica que la propiedad depende de un módulo adicional o de supuestos ajenos al problema tratado.
pre-thesis/sections/method-comparison.tex:4:p001,Monografía: otro,pre-thesis/sections/method-comparison.tex,4,thesis,thesis/sections/mainmatter/05-theoretical-framework.tex,49,12,0.48,0.292683,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,La Tabla clasifica la salida que cada familia entrega a la capa siguiente. ``Parcial'' indica que la propiedad depende de un módulo o de supuestos externos al problema tratado.,La Tabla clasifica la salida que cada familia entrega a la capa siguiente. La marca ``Parcial'' identifica una propiedad que depende de un módulo adicional o de supuestos externos al problema tratado.
pre-thesis/sections/method-comparison.tex:4:p001,Monografía: otro,pre-thesis/sections/method-comparison.tex,4,work,work/Compendio_Maestro_MROB_2026_DENSO_v2_100p (1).pdf,343,3,0.12,0.045455,LOW_OVERLAP,"LEGITIMATE_AUTHOR_DRAFT_REUSE; retain provenance, re-synthesize if copied wholesale",La Tabla clasifica la salida que cada familia entrega a la capa siguiente. ``Parcial'' indica que la propiedad depende de un módulo o de supuestos externos al problema tratado.,5.6. Comparación y brecha de investigación La Tabla 4 compara el contrato básico de cada familia. “Parcial” significa que la propiedad depende de un módulo adicional o de supuestos que no siempre coinciden con los de este TFM. Tabla 4. Cobe
pre-thesis/sections/method-comparison.tex:33:p002,Monografía: otro,pre-thesis/sections/method-comparison.tex,33,thesis,thesis/build/main.pdf,728,7,0.137255,0.037838,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"Las familias parten de objetos distintos: asignación consume utilidad, formación consume un equipo, seguridad consume un control nominal y MAPF una abstracción espacio--temporal. En instancias pequeñas, el oráculo global fija un techo bajo ",5.6. Comparación y brecha de investigación La Tabla 4 clasifica la salida que cada familia entrega a la capa siguiente. La marca “Parcial” identifica una propiedad que depende de un módulo adicional o de supuestos externos al problema trata
pre-thesis/sections/method-comparison.tex:39:p003,Monografía: otro,pre-thesis/sections/method-comparison.tex,39,thesis,thesis/sections/mainmatter/05-theoretical-framework.tex,28,40,0.727273,0.625,MODERATE_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"Con restricciones compartidas y las condiciones de regularidad declaradas, un Nash generalizado variacional se caracteriza como solución de una desigualdad variacional y admite multiplicadores comunes . Las dinámicas primal--dual actualizan","Con restricciones compartidas y las condiciones de regularidad declaradas, un Nash generalizado admite una desigualdad variacional con multiplicadores comunes . Las dinámicas primal--dual actualizan esos multiplicadores junto con las decisi"
pre-thesis/sections/method-comparison.tex:39:p003,Monografía: otro,pre-thesis/sections/method-comparison.tex,39,work,work/TFM_MROB_Jorge_Luis_Mayorga_Taborda_FINAL_VIU_2026 (1).pdf,276,3,0.054545,0.011858,LOW_OVERLAP,"LEGITIMATE_AUTHOR_DRAFT_REUSE; retain provenance, re-synthesize if copied wholesale","Con restricciones compartidas y las condiciones de regularidad declaradas, un Nash generalizado variacional se caracteriza como solución de una desigualdad variacional y admite multiplicadores comunes . Las dinámicas primal--dual actualizan","5.2. Juegos, GNE y revisión local Un juego potencial exacto dispone de una función Φ cuya variación coincide con la utilidad de las desviaciones consideradas. Esta propiedad permite demostrar terminación de secuencias de mejora en espacios "
pre-thesis/sections/method-comparison.tex:49:p004,Monografía: otro,pre-thesis/sections/method-comparison.tex,49,thesis,thesis/sections/mainmatter/05-theoretical-framework.tex,29,13,0.245283,0.132653,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"El protocolo exige que una prueba de pasividad identifique puertos, almacenamiento y suministro, y que una prueba de Lyapunov fije dominio y signo de la derivada . Un cambio de contacto, la saturación o la discretización alteran esas hipóte","Una prueba de pasividad identifica los puertos, la función de almacenamiento y el suministro; una prueba de Lyapunov fija el dominio y el signo de la derivada . Los cambios de contacto, la saturación o la discretización alteran esas hipótes"
