exact_query,exact_result_count,exact_exact_in_snippet,exact_top_url,exact_top_title,exact_urls_first_five,unquoted_query,unquoted_result_count,longest_consecutive_query_words,unquoted_top_url,unquoted_top_title,unquoted_urls_first_five,verdict,rationale,checked_at_utc
"""equipo debe ocupar contactos compatibles antes de producir el wrench requerido después""",9,false,https://cancilleria.gov.co/normograma/compilacion/docs/resolucion_minminas_40117_2024.htm,Compilación jurídica de la Cancillería de Colombia - Resolución 40117 de 2024 MME,https://cancilleria.gov.co/normograma/compilacion/docs/resolucion_minminas_40117_2024.htm | https://www.scribd.com/document/767930300/RSSOM-D-S-N-034-2023-EM | https://www.ceupe.com/?Itemid=435&lang=&option=com_easyblog | https://www.cancilleria.site/normograma/compilacion/docs/resolucion_minminas_40117_2024.htm | https://pt.scribd.com/document/564277270/Tecnologias-de-Informacion-en-los-Negocios-Cohen-5a-Edicion,equipo debe ocupar contactos compatibles antes de producir el wrench requerido después,18,2,https://breathedge2game.wiki/es/crafting,Crafting en Breathedge 2: herramientas y mejoras,https://breathedge2game.wiki/es/crafting | https://support.dewalt.com/hc/es/article_attachments/115004340713 | https://documents.milwaukeetool.com/58-14-0135d4.pdf | https://7daystodie.wiki.gg/wiki/Wrench | https://documents.milwaukeetool.com/58-14-0306d1.pdf,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 9 exact-query and 18 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:16Z
"""contacto disponible Los mercados para tareas complejas representan parte de esa dependencia""",10,false,https://www.campustudionline.com/contents/40e087c6-b569-47ec-8c28-b56a55aae5c4/,Dirección Comercial - CampuStudiOnline,https://www.campustudionline.com/contents/40e087c6-b569-47ec-8c28-b56a55aae5c4/ | https://www.researchgate.net/publication/374629891_Gestion_Empresarial_Concepcion_Legal_bajo_enfoque_del_proceso_administrativo_Apuntes_desde_la_perspectiva_academica | https://www.scribd.com/document/568694545/Larrain-Soledad-2002-Violencia-en-la-Familia-y-transmision-de-pautas-de-comportamiento-social-pag-379 | https://www.scribd.com/document/770665472/Resumen-Para-Examen-Final-Adm-de-La-Produccion-Intensivo-Compress | https://pt.scribd.com/document/599964523/Serrano-Tesis-2004-1,contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,19,2,https://documents1.worldbank.org/curated/en/099435210252323376/pdf/IDU096b9e1d50ea7d04075090030e7f2c66f2b55.pdf,World Bank Document,https://documents1.worldbank.org/curated/en/099435210252323376/pdf/IDU096b9e1d50ea7d04075090030e7f2c66f2b55.pdf | https://unctad.org/es/news/nuevo-panel-ayuda-los-paises-trazar-un-camino-mas-alla-de-la-dependencia-de-los-productos | https://repositorio.cepal.org/bitstream/handle/11362/28716/LCmvdR65_es.pdf | https://unctad.org/es/system/files/official-document/c1em5d2.sp.pdf | https://enciclopedia.banrepcultural.org/index.php/Mercados,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 10 exact-query and 19 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:18Z
"""al mismo tiempo perder progreso hacia la meta RVO traslada la predicción""",12,false,https://www.scribd.com/document/426168163/Estado-Educacion-2019-Web,Informe sobre el Estado de la Educación en Costa Rica | PDF | Educación de la primera infancia | Educación primaria,https://www.scribd.com/document/426168163/Estado-Educacion-2019-Web | https://osvaldomanan.github.io/PLADECO-Rengo-2025-2035/Portal_PLADECO/ | https://www.campustudionline.com/contents/5ea469d3-165b-43fa-9d7e-34d6ee2e0b29/ | https://elquiciodelamancebia.wordpress.com/2026/07/ | https://www.campustudionline.com/contents/from-subject/64b289c1-0b6d-4665-9ca8-39db04edbfb9/material/95b3eeca-bf43-462a-82a7-c698451d9679/,al mismo tiempo perder progreso hacia la meta RVO traslada la predicción,18,4,https://support.strava.com/es/articles/15401591-predicciones-del-rendimiento,Predicciones del rendimiento | Strava Help Center,https://support.strava.com/es/articles/15401591-predicciones-del-rendimiento | https://www.alphaxiv.org/es/abs/2510.11892 | https://repositorio.cepal.org/bitstream/handle/11362/3188/2/S2013411_es.pdf | https://www.unesco.org/sites/default/files/medias/fichiers/2023/09/The-Sustainable-Development-Goals-Report-2023_Spanish.pdf?hub=66775 | https://docs.aws.amazon.com/es_es/forecast/latest/dg/retrain-predictors.html,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 12 exact-query and 18 open-query results; open snippets shared at most 4 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:20Z
"""una copia ausente puede permanecer sin actualizar La campaña histórica E8 conservada""",1,false,https://te.gob.mx/consultareforma2014/node/5134,"Dictamen de las Comisiones Unidas del Senado LEGIPE, LGSMIME, LOPJF | Sitio para el Sistema de Consulta de la Reforma Electoral",https://te.gob.mx/consultareforma2014/node/5134,una copia ausente puede permanecer sin actualizar La campaña histórica E8 conservada,15,2,https://support.google.com/google-ads/answer/2454137?hl=es,Consultar el historial de tu cuenta - Ayuda de Google Ads,https://support.google.com/google-ads/answer/2454137?hl=es | https://blogs.windows.com/latam/2013/01/07/una-nueva-manera-de-respaldar-el-historial-de-archivos-en-windows-8/ | https://support.google.com/google-ads/answer/19888?hl=es | https://support.google.com/google-ads/answer/2454137?hl=es_US&ref_topic=10547384 | https://support.google.com/google-ads/editor/answer/38655?hl=es-mx,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 1 exact-query and 15 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:23Z
"""no representa calidad impacto ni rendimiento Las políticas aprendidas cubren MAPF descentralizado""",0,false,,,,no representa calidad impacto ni rendimiento Las políticas aprendidas cubren MAPF descentralizado,17,2,https://documentacion.fundacionmapfre.org/documentacion/publico/es/bib/146832.do,Centro de Documentacion de Fundación MAPFRE - Necesidad de reglas fiscales que garanticen la autonomía de la política monetaria,https://documentacion.fundacionmapfre.org/documentacion/publico/es/bib/146832.do | https://www.caf.com/es/blog/aprendiendo-de-las-politicas-publicas-beneficios-y-costos/ | https://github.com/openplan-labs/pymapf/blob/main/.docs/research-notes.md | https://documents.un.org/access.nsf/get?DS=LC%2FL.2246-P&Lang=S&Open= | https://www.fao.org/4/X6003S/x6003s01.htm,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 0 exact-query and 17 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:41Z
"""suele recibir un equipo físico ya fijado Dentro del conjunto verificado faltan""",1,false,https://www.scribd.com/document/426812841/Manual-Logistico-de-la-Policia-pdf,Manual Logistico de La Policia PDF | PDF | Cumplimiento de la ley | Crimen y violencia,https://www.scribd.com/document/426812841/Manual-Logistico-de-la-Policia-pdf,suele recibir un equipo físico ya fijado Dentro del conjunto verificado faltan,16,2,https://phonatik.com/blog/tac-imei-verificar-modelo-celular-chile/,TAC del IMEI: verifica que el modelo sea el real · Phonatik,https://phonatik.com/blog/tac-imei-verificar-modelo-celular-chile/ | https://phonatik.com/blog/imei-vs-numero-de-serie-que-revisar/ | https://support.google.com/business/answer/3480862?hl=es-419 | https://eguide.field.viasat.com/es/manejo-de-equipos-en-fsm/ | https://www.conectodo.com/blog/control-paquetes-despues-packing/,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 1 exact-query and 16 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:45Z
"""cuenta cambios estratégicos aceptados no segundos ni rondas globales Tampoco se transfiere""",2,false,https://www.bogotajuridica.gov.co/sisjur/normas/Norma1.jsp?dt=S&i=62502,Decreto Único Reglamentario 1068 de 2015 Nivel Nacional,https://www.bogotajuridica.gov.co/sisjur/normas/Norma1.jsp?dt=S&i=62502 | https://studylib.net/doc/28281222/fundamentos-direccion-de-empresas,cuenta cambios estratégicos aceptados no segundos ni rondas globales Tampoco se transfiere,17,2,https://www.argentina.gob.ar/node/504443,"Reemplazo de autorizaciones previas y agilización de trámites vinculados a Programas Globales, ONs autónomas, Emisor Frecuente, PyME CNV y FFs | Argentina.gob.ar",https://www.argentina.gob.ar/node/504443 | https://www.consilium.europa.eu/es/press/press-releases/2026/06/16/mff-2028-2034-council-agrees-partial-mandate-on-global-europe/ | https://bragard.com.uy/noticias/cambios-relevantes-para-intermediarios-de-valores-operativa-con-cuentas-globales-y-estados-de-cuenta-al-inversor-circular-n-o-2504-del-banco-central-del-uruguay-bcu | https://www.banrep.gov.co/es/banco/junta-directiva/conceptos/jds-23608 | https://www.banrep.gov.co/es/node/29778/printable/print,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 2 exact-query and 17 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:48Z
"""límite informacional transversal bajo partición demostrado para algoritmos deterministas basados en historial""",4,false,https://juandomingofarnos.wordpress.com/,juandon. Innovación y conocimiento – La búsqueda del conocimiento en una Sociedad de la Inteligencia,https://juandomingofarnos.wordpress.com/ | https://juandomingofarnos.wordpress.com/tag/universidad/ | https://juandomingofarnos.wordpress.com/page/4/ | https://juandomingofarnos.wordpress.com/page/2/,límite informacional transversal bajo partición demostrado para algoritmos deterministas basados en historial,21,2,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1847643/full,Frontiers | Statistical limits and conditional complexity in real-world reinforcement learning: a tutorial survey,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1847643/full | https://www.alphaxiv.org/es/abs/2605.30324 | https://www.alphaxiv.org/es/abs/2010.08843 | https://research.ibm.com/publications/proving-nondeterministically-specified-safety-properties-using-progress-measures | https://openresearch-repository.anu.edu.au/items/93ee4c15-c6bc-40d0-81f5-8cdaccf62494,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 4 exact-query and 21 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:11:51Z
"""término falso produce abstención espera o recuperación no se repara el dato""",12,false,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=41102,Decreto 410 de 1971 - Gestor Normativo,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=41102 | https://aprenderly.com/doc/3459017/infortunio-y-medicina-laboral---trabajos-dr.-antonio-paol... | https://aridm.home.blog/2012/02/page/2/ | https://www.bcn.cl/historiapolitica/corporaciones/diarioshley?IDDocumento=685570&title=Diario+de+Sesi%C3%B3n%3A+Sesi%C3%B3n+Ordinaria+N%C2%B063 | https://hrlibrary.umn.edu/cat/spanish/Scat-argentina2002.html,término falso produce abstención espera o recuperación no se repara el dato,18,2,https://www.cun.es/diccionario-medico/terminos/abstinencia,Abstinencia: qué es y definición médica | Diccionario CUN,https://www.cun.es/diccionario-medico/terminos/abstinencia | https://www.cun.es/diccionario-medico/terminos/fabulacion | https://sedici.unlp.edu.ar/bitstream/handle/10915/51385/Documento_completo.pdf?sequence=3 | https://refindo.app/es/como-funciona-refindo | https://es.wiktionary.org/wiki/falso,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 12 exact-query and 18 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:10Z
"""par arquitectónicamente equivalente La Tabla fija las operaciones comunes a las tres""",12,false,https://laadministracionaldia.inap.es/noticia.asp?id=1157184,Reglamento general del juego en la Comunidad Autónoma de Euskadi,https://laadministracionaldia.inap.es/noticia.asp?id=1157184 | https://ispbot.com.ar/per-manual/ | https://id.scribd.com/doc/29142417/Calculo-Louis-Leithold | https://id.scribd.com/document/423679625/REP-2004-Reglamento-de-Diseno-Estructural-Para-La-Ciudad-de-Panama | https://fliphtml5.com/izljd/tefd/MAT_8_EGB_web_docente/,par arquitectónicamente equivalente La Tabla fija las operaciones comunes a las tres,21,2,https://www.thecalculadoraalicia.com/operaciones-combinadas/,Operaciones Combinadas — Jerarquía Paso a Paso | Calculadora Alicia,https://www.thecalculadoraalicia.com/operaciones-combinadas/ | https://thecalculadoraalicia.com/operaciones-combinadas/ | https://edea.juntadeandalucia.es/bancorecursos/file/b4971809-4611-4cd1-a89e-7e3f817389c0/2/MAT_6PRI_REA_08_V02.zip/41_las_operaciones_matemticas_y_su_jerarqua.html | https://cibnor.repositorioinstitucional.mx/jspui/bitstream/1001/448/1/gomez_v.pdf | https://www.seguridadaerea.gob.es/sites/default/files/OPS-COE-P01-GU01%20Ed_01%20Gu%C3%ADa%20de%20los%20certificados%20de%20operador%20especial%20%28COE%29.pdf,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 12 exact-query and 21 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:13Z
