paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:1:p001,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,1,6,46,2,"Resumen Este TFM estudia el transporte cooperativo de cargas heterogéneas mediante tres subproblemas: SP1 forma coaliciones y asigna roles; SP2 aproxima, acopla, transporta y sustituye miembros; SP3 coordina rutas y reservas entre misiones. El modo primario, Cargo, trata la carga soportada como un cuerpo rígido planar.",58d5ff61daa24dd09f8ae2c6f5f93ffa9adfe1071ee6e75dfe48ddd417046ce7,asigna roles SP2 aproxima acopla transporta y sustituye miembros SP3 coordina rutas,f8f7920705ed6cc9c9e4f5b3d56513d34ab34597cd755fa718b1684c306494af,False
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:8:p002,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,8,14,74,3,"La propuesta combina referencias LP/MILP, juegos potenciales, dinámica primal--dual, cierre entero y contratos de recursos, contacto, movimiento, recuperación y red. Se prueban regulación de cuotas, estabilidad local de Cargo bajo contacto fijo y realización exacta del wrench, terminación de mejoras de rutas e imposibilidad de garantizar optimalidad global cuando la desconexión oculta instancias localmente indistinguibles con óptimos incompatibles. Las campañas usan mundos pareados, semillas explícitas y oráculos globales identificados como techos experimentales.",77056be9a75753b7a644685509218c859896a56f6c15a2ced30b7eb9d8feb24a,propuesta combina referencias LP MILP juegos potenciales dinámica primal dual cierre entero,8c3081aacf31832ba6094eb7fd88c8179e93b90881a93d06868393ccb4989a82,True
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:16:p003,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,16,23,81,4,"SP1 regula cuotas bajo condiciones explícitas, separa la capacidad heterogénea y reduce falsos factibles nominales en la interfaz SP1--SP2. SP2 revela un intercambio adverso entre seguridad y progreso y restaura los certificados recuperables del banco estático; en su juego de reparación, el peor equilibrio no admite una cota uniforme. En SP3, la reserva reduce interbloqueos en el catálogo discreto; el piloto congestionado no entrega. Cargo completa casi todas las misiones sin ejecutar como una sola cadena todos los mecanismos teóricos.",ea5eaa1792a0fba045e7fa0209d3942a573382a6195806c6ef3da0710ebdb5f9,factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso,86fa6a9b4d5ac16992ab58ea86b39e2c1a49889aa8e0ee97a0c288adee186c83,True
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:25:p004,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,25,29,42,3,"La contribución es una arquitectura verificable de contratos y juegos locales, más una composición funcional planar. No demuestra estabilidad híbrida global, optimalidad social, coordinación completamente distribuida ni validez industrial. El contacto instrumentado, el hardware y caging quedan fuera de la evidencia confirmatoria.",304e550036c14fcb3cd8fee27da9d827392415cb273fd31c89d627bc9f457d31,demuestra estabilidad híbrida global optimalidad social coordinación completamente distribuida ni validez industrial,ff716731a9820d3efd83791927dfb6a7b7f58d18bf7aa76f33523682be40c726,False
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:1:p001,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,1,6,45,2,"Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems: SP1 forms coalitions and assigns roles; SP2 approaches, docks, transports, and replaces members; SP3 coordinates routes and reservations across missions. The primary Cargo mode models a supported payload as a planar rigid body.",4e96453d0b492bcd95bab2b963d470400fa9915d0b78f4f62c470172e69a7673,Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems,0b747b360d279fd1190ba81fa6a65cf4094a0afb3ad3c7a432b8c9dfd45e70d9,True
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:8:p002,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,8,14,70,3,"The proposal combines LP/MILP references, potential games, primal--dual dynamics, integer closure, and contracts for resources, contact, motion, recovery, and communication. Formal results cover quota regulation, local Cargo stability under fixed contact and exact wrench realisation, termination of route improvements, and the impossibility of guaranteeing global optimality when disconnection hides locally indistinguishable instances with incompatible optima. Experiments use paired worlds, explicit seeds, and global oracles identified as experimental ceilings.",c30cdad6e59a10d0130bc89b02382bddaa940437a9644ed2a276064e5ac400a3,when disconnection hides locally indistinguishable instances with incompatible optima Experiments use paired,9142f8fae79fe0d4aed89b42372c5acc62f357e457f8f17491ae217310155b2e,False
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:16:p003,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,16,23,77,4,"SP1 regulates quotas under explicit conditions, separates heterogeneous capacity, and reduces nominal false feasibility at the SP1--SP2 interface. SP2 exhibits an adverse safety--progress trade-off and restores all recoverable certificates in the static benchmark; the worst equilibrium of its repair game has no uniform bound. In SP3, resource reservation reduces deadlocks in the discrete catalogue; the congested pilot makes no delivery. Cargo completes almost all missions without executing all prior theoretical mechanisms as one chain.",185aa8533abc2e7600f557c55c08b9cdb04057ed6002014c6df5d741a2de9e99,exhibits an adverse safety progress trade off and restores all recoverable certificates,b35fe663a05d4c721b05583a61f9ef3f60a6952cf1fbdc95af96973fc4752f6a,False
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:25:p004,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,25,29,43,3,"The contribution is a verifiable architecture of contracts and local games, together with a planar functional composition. It does not establish global hybrid stability, social optimality, fully distributed coordination, or industrial validity. Instrumented contact, hardware, and caging remain outside the reported confirmatory evidence.",6ffcfcafb41bacdd0d203c0d619e5589d6635d861573be1a7a4f52c289816e56,hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact,0c6f198d3c00703b4d10a8134791433550182a4e1999338b67236054d50e9dfc,True
pre-thesis/sections/frontmatter-evidence-key.tex:4:p001,Otro,Guía de lectura y niveles de evidencia,pre-thesis/sections/frontmatter-evidence-key.tex,4,8,53,3,"La memoria separa lo demostrado, lo observado y lo pendiente. Cada afirmación fuerte remite a una prueba o a datos regenerables; su alcance queda restringido por el modelo, la información y la planta declarados. Esta convención evita transferir a hardware una conclusión obtenida en simulación o confundir un equilibrio estratégico con factibilidad mecánica.",1e952df688b21dd42543fce9a35f49cf4ad472ca8e073934b0777fbdaa602526,declarados Esta convención evita transferir a hardware una conclusión obtenida en simulación,7c240a7edfc691c8efb6b279f4375dc6266163b90495549be5b9410170778605,False
pre-thesis/sections/frontmatter-evidence-key.tex:27:p002,Otro,Guía de lectura y niveles de evidencia,pre-thesis/sections/frontmatter-evidence-key.tex,27,32,55,3,"Un teorema incluye supuestos y demostración; una proposición declara un alcance más estrecho; una conjetura no se presenta como hecho; una observación empírica informa configuración, semillas y estadística. Las magnitudes físicas usan unidades SI. Las cifras del Capítulo 6 proceden de macros generadas, y las tablas distinguen explícitamente los oráculos globales de los mecanismos distribuidos.",bd5ba8d7504c1501052bd3d3a7dee27ed07c9636b4f59f015ee60fcd1ec74d36,observación empírica informa configuración semillas y estadística Las magnitudes físicas usan unidades,6556e8909baac35bd57f08af4f8d7e7205fbee6acbd8b3d6f8db2a6a6ac3b8d3,False
