"claim_id","claim_text","claim_type","status","assumptions","theorem_or_proposition","source_code","config","raw_data","processed_data","statistical_test","figure","table","thesis_section","limitation","allowed_wording","forbidden_wording"
"C-SPINE-01","Cardinality and scalar capacity do not imply planar wrench feasibility","scientific","empirically_supported_reduced_order","planar quasi-static wrench model and implemented contacts","counterexample/feasible-set distinction","src/viu_mrob_tfm/sp3/metrics.py; src/viu_mrob_tfm/sp3/methods.py","configs/experiments/sp3","results/sp3","results/sp3","SP3 hypothesis tables require finite-row re-audit","SP3 scalar-wrench figures","SP3 hypothesis_results.csv","results and analysis/SP3","simulation model is not physical hardware validation","Scalar sufficiency has counterexamples in the implemented planar model","Cardinality/capacity can never yield feasible transport"
"C-SPINE-02","Pair-aware guarded Smith-QR is the canonical proposed-method candidate","taxonomy","exploratory","candidate component matches declared pipeline","none","src/viu_mrob_tfm/sp3/methods.py","future integrated protocol","","","","","","methodology","no integrated confirmatory campaign","The canonical candidate is Wrench-Gated Pair-Aware Smith-QR","The canonical method is proven superior"
"C-SPINE-03","Pair-aware insertion is implemented","implementation","demonstrated","bounded one/two-robot insertion neighborhood","algorithmic implementation only","src/viu_mrob_tfm/sp3/methods.py","SP3 method configs","","","unit/integration tests","","","methodology/SP3","implementation is not effect evidence","Pair-aware guarded repair is implemented","Pair-aware repair improves performance"
"C-SP0-01","Frozen resource-constrained SP0 v1.2 contains 15436 base rows","provenance","demonstrated_canonical_resource_constrained","frozen manifest and seed-opening event are valid; training budget is explicitly reduced","count identity and lifecycle ordering","src/viu_mrob_tfm/sp0/audit_v1.py","results/sp0/SP0_PROTOCOL_v1_2_CPU/protocol/frozen_protocol_v1_2_cpu.yaml","results/sp0/SP0_PROTOCOL_v1_2_CPU/b0; b2; b3; b4; b5; b6; b7","results/sp0/SP0_AUDIT_v1","exact count and lifecycle audit","","failure_breakdown.csv","results and analysis/SP0","10k/50k/200k training is not equivalent to v1.1; learning and statistical claims remain qualified by C-SP0-03 through C-SP0-05","SP0 v1.2 is the canonical CPU-resource-constrained 15436-evaluation campaign","SP0 v1.1 is complete; SP0 v1.2 is equivalent to 26M training; all v1.2 hypotheses are supported"
"C-SP0-02","SP0 final checkpoint files and state fingerprints differ","learning_audit","demonstrated","saved checkpoint bytes are authoritative","none","src/viu_mrob_tfm/sp0/audit_v1.py","SP0 v1.2","SP0 final checkpoints","results/sp0/SP0_AUDIT_v1/checkpoint_fingerprints.csv","hash/fingerprint equality checks","","checkpoint_fingerprints.csv","results and analysis/SP0","different parameters do not imply different actions","The saved model states are distinct","The policies learned distinct behaviors"
"C-SP0-03","SP0 learned RAW behavior changes across audited checkpoints","learning_audit","unsupported","six paired reconstructed validation worlds","none","src/viu_mrob_tfm/sp0/audit_v1.py","audit evaluator v1","checkpoint_evaluations.parquet","policy_output_diversity.csv","paired Hamming/logit comparison","","policy_output_diversity.csv","results and analysis/SP0","logits differ but RAW actions do not","Logits differ while audited RAW assignments remain identical","Checkpoint training improved RAW assignment"
"C-SP0-04","SP0 MAPPO closed success is attributable mainly to repair","learning_audit","demonstrated_on_audit_subset","repair implementation and six-world subset","none","src/viu_mrob_tfm/sp0/data_driven.py; src/viu_mrob_tfm/sp0/audit_v1.py","SP0 v1.2","checkpoint_evaluations.parquet","raw_vs_closed_by_checkpoint.csv","stage comparison","","raw_vs_closed_by_checkpoint.csv","results and analysis/SP0","subset and one combined repair stage","Repair changes audited success from 0 to 1","MAPPO learned perfect assignments"
"C-SP0-05","SP0 statistical hypotheses support all promoted claims","statistics","unsupported","finite effects and intervals required","none","src/viu_mrob_tfm/sp0/audit_v1.py","SP0 v1.2","statistics/hypotheses.parquet","hypothesis_results_audited.csv","finiteness and p rendering audit","","claims_audited.csv","results and analysis/SP0","fallback models not rerun in this audit","Affected claims are not supported pending valid estimation","NaN intervals with p=0 are strong evidence"
"C-SP1-01","A partial SP1 coalition is not served","semantic","demonstrated","quorum and capacity define service","definition","src/viu_mrob_tfm/sp1/metrics.py","SP1 draft v1","unit-test worlds","pytest","unit test","","","methodology/SP1","one-shot recruitment only","A load is served only by a complete feasible coalition","Partial coalitions count as success"
"C-SP1-02","The SP1 centralized reference solves the declared binary coalition model","oracle","demonstrated_small_instances","SciPy MILP reaches optimal status","binary MILP formulation","src/viu_mrob_tfm/sp1/methods.py","SP1 draft v1","unit-test worlds","pytest","small exact tests","","","methodology/SP1","timeouts and larger-instance gap reporting still required","The reference is exact when the MILP status is optimal","Hungarian proves general coalition optimality"
"C-SP1-03","Existing SP1 observed results are confirmatory","provenance","unsupported","requires new sealed holdout and frozen protocol","none","src/viu_mrob_tfm/sp1/runner.py","legacy SP1 configs","results/sp1/SP1_MC_recruitment_comparison","","","","","results and analysis/SP1","worlds/results were already observed","Existing SP1 results are development or exploratory","Existing SP1 results validate the confirmatory hypothesis"
