hypothesis_id,status,effect_estimate,CI95_low,CI95_high,raw_p_reported,Holm_adjusted_p,decision,claim_permitted,audited_claim_status,source,allowed_wording
H0-SP0-P1,confirmatory,0.0,0.0,0.0,1,1.0,fail_to_reject_H0,not_supported,not_supported,B4,No confirmatory support may be claimed from this row.
H0-SP0-P2,confirmatory,0.0014886450172317447,0.0013252764578807407,0.001682779476008436,7.100712713627627e-79,2.840285085451051e-78,reject_H0,empirically_supported,eligible_for_contextual_review,B4,A finite audited association/effect was estimated; interpret on the recorded model scale.
H0-SP0-P3,confirmatory,23893581.86026697,,,< 2.2250738585072014e-308,0.0,reject_H0,empirically_supported,not_supported,cox_time_to_epsilon_world_cluster,No confirmatory support may be claimed from this row.
H0-SP0-P4,confirmatory,6039216685.82423,,,< 2.2250738585072014e-308,0.0,reject_H0,empirically_supported,not_supported,negative_binomial_messages_to_epsilon_solution_GEE,No confirmatory support may be claimed from this row.
H0-SP0-P5,confirmatory,298.79821075973445,,,8.5071975669940975e-53,2.552159270098229e-52,reject_H0,empirically_supported,not_supported,robust_regret_GEE_world_cluster,No confirmatory support may be claimed from this row.
H0-SP0-P6,confirmatory,172.90082151520517,,,1.5340415447174375e-32,3.068083089434875e-32,reject_H0,empirically_supported,not_supported,robust_regret_GEE_world_cluster,No confirmatory support may be claimed from this row.
H0-SP0-G1,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-G2,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-G3,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-G4,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-G5,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-G6,exploratory_preregistered_B2_only,,,,not_estimable,,exploratory_only,exploratory_only,not_supported,B2_exploratory,No confirmatory support may be claimed from this row.
H0-SP0-C1,confirmatory,0.0,0.0,0.0,0.001999500124968758,0.001999500124968758,reject_H0_noninferior,empirically_supported,eligible_for_contextual_review,locality,A finite audited association/effect was estimated; interpret on the recorded model scale.
H0-SP0-C2,confirmatory,502.7506530635219,,,2.1485893125744205e-105,6.4457679377232614e-105,reject_H0,empirically_supported,not_supported,connectivity_regret_GEE,No confirmatory support may be claimed from this row.
H0-SP0-C3,confirmatory,53.93666195973947,,,2.1595939592020332e-10,4.3191879184040664e-10,reject_H0,empirically_supported,not_supported,connectivity_regret_GEE,No confirmatory support may be claimed from this row.
H0-SP0-R1,confirmatory,0.00024893627020277216,0.00010518404178080267,0.00024893627020277254,< 2.2250738585072014e-308,0.0,reject_H0,empirically_supported,eligible_for_contextual_review,B6:G-BIAS_G-ZERO,A finite audited association/effect was estimated; interpret on the recorded model scale.
H0-SP0-R2,confirmatory,71.83310623514146,,,4.2555249537410205e-14,4.2555249537410205e-14,reject_H0,empirically_supported,not_supported,generalization_method_logN_GEE,No confirmatory support may be claimed from this row.
H0-SP0-R3,confirmatory,,,,not_estimable,,not_estimable,not_supported,not_supported,missing_or_nonestimable,No confirmatory support may be claimed from this row.
H0-SP0-R4,confirmatory,,,,not_estimable,,not_estimable,not_supported,not_supported,missing_or_nonestimable,No confirmatory support may be claimed from this row.
