candidate_id,title,authors,year,period,venue,doi,document_type,scientific_role_structural,priority_tier,text_adequacy,close_reading_eligibility,abstract_extracted,abstract_extracted_word_count,theme_signals_title_abstract,method_focus_title_abstract,architecture_signals_title_abstract,validation_signals_title_abstract,application_signals_title_abstract,method_mentions_fulltext_not_implementation_evidence,architecture_mentions_fulltext_not_implementation_evidence,validation_mentions_fulltext_not_implementation_evidence,extraction_note,coding_note
CC4288675177D,On coalition formation: a game-theoretical approach,P. P. Shenoy,1979,<=2010,International Journal of Game Theory,10.1007/bf01770064,journal-article,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"This paper deals with the question of coalition formation in n -person cooperative games. Two abstract game models of coalition formation are proposed. We then study the core and the dynamic solution of these abstract games. These models assume that there is a rule governing the allocation of payoffs to each player in each coalition structure called a payoff solution concept. The predictions of these models are characterized for the special case of games with side payments using various payoff solution concepts such as the individually rational payoffs, the core, the Shapley value and the bargaining set M 1 ( i ) . Some modifications of these models are also discussed.",111,SP1_coalition_allocation,game_theoretic,,,,exact_optimization;game_theoretic;learning_based,,formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C1758BD935FD5,Market-Based Multi-robot Coalition Formation,Lovekesh Vig; Julie A. Adams,2006,<=2010,Distributed Autonomous Robotic Systems 7,10.1007/4-431-35881-1_23,book-chapter,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,,0,SP1_coalition_allocation,auction_market,,,,auction_market;evolutionary_metaheuristic;learning_based;behavior_swarm,distributed_decentralized,,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C82AC458AF2EC,A kinematically compatible framework for cooperative payload transport by nonholonomic mobile manipulators,M. Abou-Samah; C. P. Tang; R. M. Bhatt; V. Krovi,2006,<=2010,Autonomous Robots,10.1007/s10514-005-9717-9,journal-article,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"In this paper, we examine the development of a kinematically compatible control framework for a modular system of wheeled mobile manipulators that can team up to cooperatively transport a common payload. Each individually autonomous mobile manipulator consists of a differentially-driven Wheeled Mobile Robot (WMR) with a mounted two degree-of-freedom (d.o.f) revolute-jointed, planar and passive manipulator arm. The composite wheeled vehicle, formed by placing a payload at the end-effectors of two (or more) such mobile manipulators, has the capability to accommodate, detect and correct both instantaneous and finite relative configuration errors. The kinematically-compatible motion-planning/control framework developed here is intended to facilitate maintenance of all kinematic (holonomic and nonholonomic) constraints within such systems. Given an arbitrary end-effector trajectory, each individual mobile-manipulator's bi-level hierarchical controller first generates a kinematically-feasible desired trajectory for the WMR base, which is then tracked by a suitable lower-level posture stabilizing controller. Two variants of system-level cooperative control schemes—leader-follower and decentralized control—are then created based on the individual mobile-manipulator control scheme. Both methods are evaluated within an implementation framework that emphasizes both virtual prototyping (VP) and hardware-in-the-loop (HIL) experimentation. Simulation and experimental results of an example of a two-module system are used to highlight the capabilities of a real-time local sensor-based controller for accommodation, detection and corection of relative formation errors.",212,SP2_physical_transport,consensus_distributed;formation_control,centralized;distributed_decentralized;leader_follower,simulation,cooperative_transport_manipulation,learning_based;behavior_swarm;consensus_distributed;formation_control,centralized;distributed_decentralized;leader_follower,simulation;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C0D1915A815A8,Coalition formation: From software agents to robots,"Vig, Lovekesh; Adams, Julie A.",2007,<=2010,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,10.1007/s10846-007-9150-0,Article,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"A problem that has recently attracted the attention of the research community is the autonomous formation of robot teams to perform complex multi-robot tasks. The corresponding problem for software agents is also known in the multi-agent community as the coalition formation problem. Numerous algorithms for software agent coalition formation have been provided that allow for efficient cooperation in both competitive and cooperative environments. However, despite the plethora of relevant literature on the software agent coalition formation problem, and the existence of similar problems in theoretical computer science, the multi-robot coalition formation problem has not been sufficiently grounded for different tasks and task environments. In this paper, comparisons are drawn to highlight the differences between software agents and robotics, and parallel problems from theoretical computer science are identified. This paper further explores robot coalition formation in different practical robotic environments. A heuristic-based coalition formation algorithm from our previous work was extended to operate in precedence ordered cooperative environments. In order to explore coalition formation in competitive environments, the paper also studies the RACHNA system, a market based coalition formation system. Finally, the paper investigates the notion of task preemption for complex multi-robot tasks in random allocation environments.",196,SP1_coalition_allocation,auction_market,,,,auction_market;exact_optimization;evolutionary_metaheuristic;learning_based;behavior_swarm;graph_search_mapf,distributed_decentralized,,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CFE80E994AC44,Coalition formation with spatial and temporal constraints,Sarvapali D. Ramchurn; Maria Polukarov; Alessandro Farinelli; Cuong Truong; Nicholas R. Jennings,2010,<=2010,ePrints Soton (University of Southampton),10.5555/1838186.1838191,conference-paper,CORE,P0,substantive_pdf_text,eligible,"The coordination of emergency responders and robots to undertake a number of tasks in disaster scenarios is a grand challenge for multi-agent systems. Central to this endeavour is the problem of forming the best teams (coalitions) of responders to perform the various tasks in the area where the disaster has struck. Moreover, these teams may have to form, disband, and reform in different areas of the disaster region. This is because in most cases there will be more tasks than agents. Hence, agents need to schedule themselves to attempt each task in turn. Second, the tasks themselves can be very complex: requiring the agents to work on them for different lengths of time and having deadlines by when they need to be completed. The problem is complicated still further when different coalitions perform tasks with different levels of efficiency. Given all these facets, we define this as The Coalition Formation with Spatial and Temporal constraints problem (CFSTP). We show that this problem is NP-hard—in particular, it contains the wellknown complex combinatorial problem of Team Orienteering as a special case. Based on this, we design a Mixed Integer Program to optimally solve small-scale instances of the CFSTP and develop new anytime heuristics that can, on average, complete 97% of the tasks for large problems (20 agents and 300 tasks). In so doing, our solutions represent the first results for CFSTP. Categories and Subject Descriptors I.2.11 [Distributed Artificial Intelligence]: Multi-Agent Systems General Terms Algorithms",242,SP1_coalition_allocation,exact_optimization,distributed_decentralized,,,auction_market;exact_optimization;consensus_distributed,centralized;distributed_decentralized,formal_analysis,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C67294B9034BB,Algorithms for collision-free navigation of mobile robots in complex cluttered environments: a survey,Michael Hoy; Alexey S. Matveev; Andrey V. Savkin,2014,2011-2016,Robotica,10.1017/s0263574714000289,article,SURVEY,P0,substantive_pdf_text,eligible,,0,CONTEXT_other,,,,,exact_optimization;evolutionary_metaheuristic;learning_based;behavior_swarm;consensus_distributed;model_predictive_control;formation_control;force_impedance_control;safety_reactive;graph_search_mapf,centralized;distributed_decentralized,simulation;physical_experiment;formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CDE493C0614DB,Cooperative Mobile Robot Control Architecture for Lifting and Transportation of Any Shape Payload,"Hichri, B.; Adouane, L.; Fauroux, J. -C.; Mezouar, Y.; Doroftei, I.",2016,2011-2016,DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS,10.1007/978-4-431-55879-8_13,Proceedings Paper,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"This paper addresses cooperative manipulation and transportation of any payload shape, by assembling a group of simple mobile robots (denoted m-bots) into a modular poly-robot (p-bot). The focus is made in this paper on the chosen methodology to obtain sub-optimal positioning of the robots around the payload to lift it and to transport it while maintaining a geometric multi-robot formation. This appropriate positioning is obtained by combining the constraint to ensure Force Closure Grasping (FCG) for stable and safe lifting of the payload and the maximization of the Static Stability Margin (SSM) during the transport. A predefined control law is then used to track a virtual structure in which each elementary robot has to keep the desired position relative to the payload. Simulation results for an object of any shape, described by a parametric curve, are presented. Additional 3D simulation results with a multi-body dynamic software validate our proposal.",149,SP2_physical_transport,formation_control,,simulation,cooperative_transport_manipulation,exact_optimization;learning_based;formation_control,distributed_decentralized,simulation,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C0BBF943B50C0,Multi-Robot Coalitions Formation with Deadlines: Complexity Analysis and Solutions,"Guerrero, Jose; Oliver, Gabriel; Valero, Oscar",2017,2017-2021,PLOS ONE,10.1371/journal.pone.0170659,Article,CORE,P0,substantive_html_text,eligible,"Multi-robot task allocation is one of the main problems to address in order to design a multi-robot system, very especially when robots form coalitions that must carry out tasks before a deadline. A lot of factors affect the performance of these systems and among them, this paper is focused on the physical interference effect, produced when two or more robots want to access the same point simultaneously. To our best knowledge, this paper presents the first formal description of multi-robot task allocation that includes a model of interference. Thanks to this description, the complexity of the allocation problem is analyzed. Moreover, the main contribution of this paper is to provide the conditions under which the optimal solution of the aforementioned allocation problem can be obtained solving an integer linear problem. The optimal results are compared to previous allocation algorithms already proposed by the first two authors of this paper and with a new method proposed in this paper. The results obtained show how the new task allocation algorithms reach up more than an 80% of the median of the optimal solution, outperforming previous auction algorithms with a huge reduction of the execution time. Citation: Guerrero J, Oliver G, Valero O (2017) Multi-Robot Coalitions Formation with Deadlines: Complexity Analysis and Solutions. PLoS ONE 12(1): e0170659. https://doi.org/10.1371/journal.pone.0170659 Editor: Long Wang, Peking University, CHINA Received: May 19, 2016; Accepted: January 9, 2017; Published: January 24, 2017",233,SP1_coalition_allocation,auction_market;exact_optimization,,formal_analysis,,auction_market;exact_optimization;evolutionary_metaheuristic,centralized;distributed_decentralized;leader_follower,simulation;physical_experiment;formal_analysis,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C0C4C382651EF,Hybrid mission planning with coalition formation,Anton Dukeman; Julie A. Adams,2017,2017-2021,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-017-9367-7,article,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"The increase in robotic capabilities and the number of such systems being used has resulted in opportunities for robots to work alongside humans in an increasing number of domains. The current robot control paradigm of one or multiple humans controlling a single robot is not scalable to domains that require large numbers of robots and is infeasible in communications constrained environments. Robots must autonomously plan how to accomplish missions composed of many tasks in complex and dynamic domains; however, mission planning with a large number of robots for such complex missions and domains is intractable. Coalition formation can manage planning problem complexity by allocating the best possible team of robots for each task. A limitation is that simply allocating the best possible team does not guarantee an executable plan can be formulated. However, coupling coalition formation with planning creates novel, domain-independent tools resulting in the best possible teams executing the best possible plans for robots acting in complex domains.",159,SP1_coalition_allocation;TRANSVERSAL_resilience_communication,,,,,auction_market;evolutionary_metaheuristic;learning_based;behavior_swarm;consensus_distributed,centralized;distributed_decentralized,formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C6A651050B3DA,A survey on multi-robot coverage path planning for model reconstruction and mapping,Randa Almadhoun; Tarek Taha; Lakmal Seneviratne; Yahya Zweiri,2019,2017-2021,SN Applied Sciences,10.1007/s42452-019-0872-y,article,SURVEY,P0,substantive_pdf_text,eligible,"There has been an increasing interest in researching, developing and deploying multi-robot systems. This has been driven mainly by: the maturity of the practical deployment of a single-robot system and its ability to solve some of the most challenging tasks. Coverage path planning (CPP) is one of the active research topics that could benefit greatly from multi-robot systems. In this paper, we surveyed the research topics related to multi-robot CPP for the purpose of mapping and model reconstructions. We classified the topics into: viewpoints generation approaches; coverage planning strategies; coordination and decision-making processes; communication mechanism and mapping approaches. This paper provides a detailed analysis and comparison of the recent research work in this area, and concludes with a critical analysis of the field, and future research perspectives.",127,TRANSVERSAL_resilience_communication,,,,construction_agriculture,auction_market;evolutionary_metaheuristic;learning_based;behavior_swarm;consensus_distributed;safety_reactive;graph_search_mapf,centralized;distributed_decentralized,,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
