candidate_id,title,priority_tier,review_targets_routing_only,fulltext_local_path,file_format,v3_text_adequacy,page_count,extracted_word_count,section_markers,file_sha256_matches_queue,close_reading_eligibility,audit_note
C5423D5A19BA0,Cooperative Object Transport in Multi-Robot Systems: A Review of the State-of-the-Art,P0,SP2,data\fulltext\C5423D5A19BA0\fulltext.html,html,substantive_html_text,1,15490,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CCB936E7536AC,Hybrid Coordination Framework for Centralized Task Allocation and Execution in Heterogeneous Multi-Robot Systems,P0,SP1;SP2;SP3,data\fulltext\CCB936E7536AC\fulltext.pdf,pdf,substantive_pdf_text,24,15052,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C338F7D3BAF3A,A multi-robot collaborative manipulation framework for dynamic and obstacle-dense environments: integration of deep learning for real-time task execution,P0,SP1;SP2;SP3;TRANSVERSAL,data\fulltext\C338F7D3BAF3A\fulltext.html,html,substantive_html_text,1,11663,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CC820828EAD63,"A comprehensive review on multi robot task assignment and path planning: Operational constraints, challenges, and potentials of deep reinforcement learning",P0,SP1;SP3,data\fulltext\CC820828EAD63\fulltext.pdf,pdf,pdf_text_limited,5,471,abstract;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CBF202D600FE4,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,P0,SP1;SP3;TRANSVERSAL,data\fulltext\CBF202D600FE4\fulltext.pdf,pdf,substantive_pdf_text,17,10934,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,P0,SP1,data\fulltext\C96F294D621AC\fulltext.pdf,pdf,substantive_pdf_text,21,10308,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C15CF81D8F835,Task-oriented overlapping coalition formation: a game-theoretic framework for heterogeneous UAV task allocation,P0,SP1,data\fulltext\C15CF81D8F835\fulltext.html,html,landing_or_abstract_like_html,1,2745,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CC1697E0C2E40,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,P0,SP1;TRANSVERSAL,data\fulltext\CC1697E0C2E40\fulltext.pdf,pdf,substantive_pdf_text,14,9642,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C4F0B5BB85F46,"Multi-Robot Systems and Cooperative Object Transport: Communications, Platforms, and Challenges",P0,SP2;TRANSVERSAL,data\fulltext\C4F0B5BB85F46\fulltext.pdf,pdf,substantive_pdf_text,15,10443,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C93FF4C9DA235,Issues in Multi-Robot Coalition Formation,P0,SP1,data\fulltext\C93FF4C9DA235\fulltext.html,html,landing_or_abstract_like_html,1,1047,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
