candidate_id,title,authors,year,venue,doi,document_type,provenance,provenance_sources,provenance_queries,screening_decision,fulltext_status,fulltext_identity_status,evidence_status,wos_ut,seed_role,v3_screening_status,v3_allowed_use
CCE5406D224AF,069 Work space dynamic control of a mobile robot using range and contact force sensing,,1994,Control Engineering Practice,10.1016/0967-0661(94)90651-3,journal-article,crossref;stage1c_query_repair,crossref,Q3_physical_certificate;Q14_force_wrench,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C91DAA10AB052,Multi-Robot Team Design for Real-World Applications,Lynne E. Parker,1996,Distributed Autonomous Robotic Systems 2,10.1007/978-4-431-66942-5_10,book-chapter,crossref,crossref,Q5_heterogeneous_local,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CEB58FC14F568,"Distributed Heterogeneous Sensing for Outdoor Multi-Robot Localization, Mapping, and Path Planning",Lynne E. Parker; Kingsley Fregene; Yi Guo; Raj Madhavan,2002,Multi-Robot Systems: From Swarms to Intelligent Automata,10.1007/978-94-017-2376-3_3,book-chapter,crossref,crossref,Q5_heterogeneous_local,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C4E3D7A2BB630,Decentralized Algorithms for Multi-Robot Manipulation via Caging,Guilherme A. S. Pereira; Mario F. M. Campos; Vijay Kumar,2004,The International Journal of Robotics Research,10.1177/0278364904045477,journal-article,legacy_review;crossref,legacy_review;crossref,legacy_seed;legacy_seed_verify,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C21AE965C1D08,Manipulability-Based Configuration Evaluation of Cooperative Payload Transport by Mobile Robot Collectives,Chin Pei Tang; Venkat Krovi,2004,"Volume 2: 28th Biennial Mechanisms and Robotics Conference, Parts A and B",10.1115/detc2004-57476,proceedings-article,crossref;stage1c_query_repair,crossref,Q2_sharedload_distributed;Q3_physical_certificate;Q4_recovery_replacement;Q11_formation_docking;Q13_collective_transport,include_fulltext,abstract_only,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CCE288522BB14,Multi-robot task allocation using affect,A. Gage,2004,Digital Commons - University of South Florida (University of South Florida),,dissertation,openalex,openalex,Q5_heterogeneous_local,include_fulltext,acquired_html,identity_verified_title,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CDE40EBBE4028,"1P2-S-030 Designing An Algorithm for Testing Object Caging Condition by Multiple Mobile Robots(Cooperation Control of Multi Robot,Mega-Integration in Robotics and Mechatronics to Assist Our Daily Lives)",ZhiDong Wang; Yasuhisa Hirata; Kazuhiro Kosuge,2005,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2005.124_4,journal-article,crossref,crossref,Q3_physical_certificate,include_fulltext,acquired_pdf,identity_verified_title,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C818178BED766,Cooperative Control Of A Robot Swarm With Network Communication Delay,,2005,Proceedings of the 1st International Workshop on Multi-Agent Robotic Systems,10.5220/0001193400030014,proceedings-article,crossref,crossref,Q6_network_imperfect,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C82AC458AF2EC,A kinematically compatible framework for cooperative payload transport by nonholonomic mobile manipulators,M. Abou-Samah; C. P. Tang; R. M. Bhatt; V. Krovi,2006,Autonomous Robots,10.1007/s10514-005-9717-9,journal-article,crossref;stage1c_query_repair,crossref,Q2_sharedload_distributed;Q4_recovery_replacement;Q11_formation_docking,maybe_fulltext,acquired_html,identity_verified_doi,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C9714C0016795,Building Multirobot Coalitions Through Automated Task Solution Synthesis,L.E. Parker; Fang Tang,2006,Proceedings of the IEEE,10.1109/jproc.2006.876933,journal-article,legacy_review;crossref;openalex_snowball,legacy_review;crossref;openalex_snowball,legacy_seed;legacy_seed_verify;SB_B_C0C34B3D7DD20;SB_B_CDB5890569C65,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C1758BD935FD5,Market-Based Multi-robot Coalition Formation,Lovekesh Vig; Julie A. Adams,2006,Distributed Autonomous Robotic Systems 7,10.1007/4-431-35881-1_23,book-chapter,legacy_review;crossref;wos;openalex_snowball,legacy_review;crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,legacy_seed;legacy_seed_verify;Q1_coalition_transport;Q5_heterogeneous_local;F01_primary;SB_B_CECDDA7DEC190;SB_B_CC66E9A6E37AB,include_fulltext,acquired_html,identity_verified_doi,not_evidence,WOS:000240045700023,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CB3570F2FB1C1,Multi-robot coalition formation,L. Vig; J.A. Adams,2006,IEEE Transactions on Robotics,10.1109/tro.2006.878948,journal-article,crossref;wos,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,Q1_coalition_transport;F01_primary,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000239554400006,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C15D384364403,Multi-robot cooperation coalition formation based on genetic algorithm,"Liu, Hui-Yi; Chen, Jin-Feng",2006,"PROCEEDINGS OF 2006 INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS, VOLS 1-7",10.1109/icmlc.2006.258820,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000241452300015,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CA8A85A00286F,A complete methodology for generating multi-robot task solutions using ASyMTRe-D and market-based task allocation,"Tang, Fang; Parker, Lynne E.",2007,"PROCEEDINGS OF THE 2007 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-10",10.1109/robot.2007.363990,Proceedings Paper,wos;openalex_snowball,wos:F01_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,F01_primary;SB_B_C3EF72778D75A;SB_B_C20FBE73D7292;SB_B_C0C34B3D7DD20;SB_B_CDB5890569C65,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000250915303062,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C0D1915A815A8,Coalition formation: From software agents to robots,"Vig, Lovekesh; Adams, Julie A.",2007,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,10.1007/s10846-007-9150-0,Article,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,acquired_html,identity_verified_doi,not_evidence,WOS:000248885500006,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CB0E0B5DC7869,Constrained coverage for heterogeneous multi-robot team,Nuttapon Boonpinon; Attawith Sudsang,2007,2007 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2007.4522265,proceedings-article,crossref,crossref,Q5_heterogeneous_local,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C96992034C2F2,Multi-robot task allocation with tightly coordinated tasks and deadlines using market-based methods,"Gaimari, Robert; Zarrella, Guido; Goodman, Bradley",2007,"Multi-Agent Robotic Systems, Proceedings",10.5220/0001635800540063,Proceedings Paper,wos;crossref;stage1c_query_repair,wos:F02_primary_wos_plaintext_full_record_cited_references.txt;crossref,F02_primary;Q12_multiagent_robotics,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000250044400006,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C1027A45215F8,Decentralized Behavioral Approach to Wheeled Mobile Robot Formation Maneuvers,,2008,Communications and Control Engineering Distributed Consensus in Multi-vehicle Cooperative Control,10.1007/978-1-84800-015-5_11,book-chapter,crossref;stage1c_query_repair,crossref,Q2_sharedload_distributed;Q11_formation_docking,include_fulltext,acquired_html,identity_verified_doi,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CDB5890569C65,Distributed intelligence: overview of the field and its application in multi-robot systems,Lynne E. Parker,2008,Journal of Physical Agents (JoPha),10.14198/jopha.2008.2.1.02,article,openalex;stage1c_query_repair;openalex_snowball,openalex;openalex_snowball,Q5_heterogeneous_local;Q12_multiagent_robotics;SB_B_C8E065E4F2D01,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CBC21E5156E47,Multi-robot Cooperative Pursuit Based on Task Bundle Auctions,"Cai, Ze-Su; Sun, Li-Ning; Gao, Hai-Bo; Zhou, Pu-Cheng; Piao, Song-Hao; Huang, Qing-Cheng",2008,"INTELLIGENT ROBOTICS AND APPLICATIONS, PT I, PROCEEDINGS",10.1007/978-3-540-88513-9_26,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000261049200026,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C0AB47DB18435,RETRACTED: Large-scale Multi-robot Task Allocation Based on Ant Colony Algorithm (Retracted Article),"Zhang, Yu; Liu, Shuhua; Liu, Jie; Yu, Chenmu",2008,"2008 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-11",10.1109/ccdc.2008.4597703,Proceedings Paper; Retracted Publication,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,exclude,,,not_evidence,WOS:000260562701146,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CE5F5A6A87F09,Social networks in simulated multi-robot environment,"Rodic, Daniel; Engelbrecht, Andries P.",2008,INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS,10.1108/17563780810857158,Article,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000219514500007,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C12FE7F5876C1,Analysis of Energy-Delay Performance in Multi-hop Wireless Sensor Networks,Ruifeng Zhang,2009,OpenGrey (Institut de l'Information Scientifique et Technique),,dissertation,openalex,openalex,Q6_network_imperfect,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C7C35DE0BD40F,CoMutaR: A framework for multi-robot coordination and task allocation,"Shiroma, Pedro M.; Campos, Mario F. M.",2009,2009 IEEE-RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS,10.1109/iros.2009.5354166,Proceedings Paper,wos;openalex_snowball,wos:F01_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,F01_primary;SB_B_CECDDA7DEC190,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000285372902160,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C4B439BC6A12D,Consensus-Based Decentralized Auctions for Robust Task Allocation,Han-Lim Choi; L. Brunet; J.P. How,2009,IEEE Transactions on Robotics,10.1109/tro.2009.2022423,journal-article,legacy_review;crossref;openalex_snowball,legacy_review;crossref;openalex_snowball,legacy_seed;legacy_seed_verify;SB_B_C3EF72778D75A;SB_B_CD9E8C3865AB6;SB_B_C20FBE73D7292;SB_B_C1E34C4925F5C;SB_B_C0C34B3D7DD20;SB_B_CD4F0CFD7E495;SB_B_CA9EA6431B5EC;SB_B_C5A3277764A58;SB_B_CECDDA7DEC190;SB_B_CA33AD7B68FB1;SB_B_C8E901D1895BA;SB_B_C981388000750;SB_B_C55AEC4EE9876;SB_B_C25E04E2B42F4;SB_B_C75DFD0C9D1EF;SB_B_CD617355078E3,maybe_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C09E45479F99C,Cooperative multi-robot localization under communication constraints,N. Trawny; S.I. Roumeliotis; G.B. Giannakis,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152606,proceedings-article,crossref,crossref,Q6_network_imperfect,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C7BCBEFF96FB9,Motion coordination through cooperative payload transport,He Bai; John T. Wen,2009,2009 American Control Conference,10.1109/acc.2009.5160630,proceedings-article,crossref,crossref,Q7_counterexample_full_conjunction,maybe_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C7FAE40D44DC1,Multi-robot formations for area coverage in space applications,"Leitner, Juergen",2009,QUT ePrints (Queensland University of Technology),10.71910/supsi.5257,dissertation,openalex,openalex,Q6_network_imperfect,maybe_fulltext,acquired_pdf,identity_verified_title,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CDD4E0C14B5AF,Quantum Evolutionary Algorithm for Multi-Robot Coalition Formation,"Li, Zhiyong; Xu, Bo; Yang, Lei; Chen, Jun; Li, Kenli",2009,WORLD SUMMIT ON GENETIC AND EVOLUTIONARY COMPUTATION (GEC 09),10.1145/1543834.1543874,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000282382900039,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CC523C0D48FF2,Contact Force Modeling and Feasible Grasp Force Analysis of Power Grasp,Wenyu YANG,2010,Journal of Mechanical Engineering,10.3901/jme.2010.11.043,journal-article,crossref,crossref,Q3_physical_certificate,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CC44C2BE699C2,Cooperative Reconfiguration for a Reconfigurable Mobile Robot,Tonglin LIU,2010,Journal of Mechanical Engineering,10.3901/jme.2010.17.001,journal-article,crossref,crossref,Q4_recovery_replacement,maybe_fulltext,retrieval_error,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CA969994974B8,Distributed parameter model and cooperative control of manipulators handling a flexible payload,Zhiguo Tang; Yuanchun Li,2010,2010 Sixth International Conference on Natural Computation,10.1109/icnc.2010.5582901,proceedings-article,crossref,crossref,Q7_counterexample_full_conjunction,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CFF226DFB42C5,Multi-robot Cooperative Object Localization,João Santos; Pedro Lima,2010,Lecture Notes in Computer Science RoboCup 2009: Robot Soccer World Cup XIII,10.1007/978-3-642-11876-0_29,book-chapter,crossref,crossref,Q2_sharedload_distributed,maybe_fulltext,acquired_pdf,identity_verified_title,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C2A3DD50E6830,Repeated auctions for robust task execution by a robot team,Maitreyi Nanjanath; Maria Gini,2010,Robotics and Autonomous Systems,10.1016/j.robot.2010.03.011,article,openalex;openalex_snowball,openalex;openalex_snowball,Q5_heterogeneous_local;SB_B_C85B2ACA511C4;SB_B_C0C34B3D7DD20;SB_B_CD4F0CFD7E495;SB_B_C981388000750;SB_B_C55AEC4EE9876,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CEA1095350B99,The Task Allocation Model based on Reputation for the Heterogeneous Multi-robot Collaboration System,"Shi, Zhiguo; Wei, Junming; Wei, Xujian; Tan, Kun; Wang, Zhiliang",2010,2010 8TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA),10.1109/wcica.2010.5554165,Proceedings Paper,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000295959507070,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CDB8A76C6538C,A Fast Distributed Auction and Consensus Process Using Parallel Task Allocation and Execution,"Das, G. P.; McGinnity, T. M.; Coleman, S. A.; Behera, L.",2011,2011 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS,,Proceedings Paper,wos;openalex_snowball,wos:F04_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,F04_primary;SB_B_C0C34B3D7DD20;SB_B_CD4F0CFD7E495,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000297477505012,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C1CDA94DCAF56,Bio-inspired Decentralized Self-coordination Algorithms for Multi-heterogeneous Specialized Tasks Distribution in Multi-Robot Systems,"Quinonez, Yadira; de Lope, Javier; Maravall, Dario",2011,"FOUNDATIONS ON NATURAL AND ARTIFICIAL COMPUTATION: 4TH INTERNATIONAL WORK-CONFERENCE ON THE INTERPLAY BETWEEN NATURAL AND ARTIFICIAL COMPUTATION, IWINAC 2011, PART I",,Proceedings Paper,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000308635500004,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CF65653A58DE3,Coalition formation for task allocation: theory and algorithms,Travis C. Service; Julie A. Adams,2011,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-010-9123-8,journal-article,legacy_review;crossref;wos,legacy_review;crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,legacy_seed;legacy_seed_verify;F01_primary,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000287201300001,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CE044CF9A86EA,Cooperative Global Localization in Multi-Robot System,Ronghua Luo,2011,"Multi-Robot Systems, Trends and Development",10.5772/13310,book-chapter,crossref,crossref,Q4_recovery_replacement,maybe_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CD36D6E1B3D9A,Cooperative manipulation and transportation with aerial robots,"Michael, Nathan; Fink, Jonathan; Kumar, Vijay",2011,AUTONOMOUS ROBOTS,10.1007/s10514-010-9205-0,Article,wos,wos:F05_primary_wos_plaintext_full_record_cited_references.txt,F05_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000285873700006,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C6472DA864A83,Cooperative Path Planning for Multi-Robot Systems in Dynamic Domains,Stephan Opfer; Hendrik Skubch; Kurt Geihs,2011,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/26440,book-chapter,crossref;stage1c_query_repair,crossref,Q4_recovery_replacement;Q11_formation_docking,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CB135DA8B0BB0,Joint Conditional Random Fields for Multi-object Tracking with a Mobile Robot,Ronghua LUO; Huaqing MIN; Shengfeng LIN,2011,ROBOT,10.3724/sp.j.1218.2011.00279,journal-article,crossref,crossref,Q2_sharedload_distributed;Q3_physical_certificate,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C7429EA5084CC,Laser-sintered platform with optical sensor for a mobile robot used in cooperative load transport,Chia Choon Loh; Ansgar Trachtler,2011,IECON 2011 - 37th Annual Conference of the IEEE Industrial Electronics Society,10.1109/iecon.2011.6119312,proceedings-article,crossref,crossref,Q2_sharedload_distributed,maybe_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CE994AEF55E2E,Multi-agent Coalition Formation for Distributed Area Coverage,"Cheng, Ke; Dasgupta, Prithviraj",2011,COLLABORATIVE AGENTS - RESEARCH AND DEVELOPMENT,10.1007/978-3-642-22427-0_1,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000312991700001,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CEA16573FF54C,Multi-Robot Assignment Algorithm for Tasks with Set Precedence Constraints,"Luo, Lingzhi; Chakraborty, Nilanjan; Sycara, Katia",2011,2011 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),10.1109/icra.2011.5980500,Proceedings Paper,wos;openalex_snowball,wos:F04_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,F04_primary;SB_B_CECDDA7DEC190,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000324383401115,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C1D06681653AF,Stochastic Learning Automata for Self-coordination in Heterogeneous Multi-Tasks Selection in Multi-Robot Systems,"Quinonez, Yadira; Maravall, Dario; de Lope, Javier",2011,"ADVANCES IN ARTIFICIAL INTELLIGENCE, PT I",,Proceedings Paper,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000307744200038,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C9805FB4FB594,Virtual Environment-Based Multi-Operator Multi-Robot Cooperative Teleoperation System,Liang MA; Jihong YAN; Jie ZHAO; Zhifeng CHEN,2011,ROBOT,10.3724/sp.j.1218.2011.00169,journal-article,crossref;stage1c_query_repair,crossref,Q4_recovery_replacement;Q11_formation_docking,maybe_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CBE51D21C5873,Coalition-Based Approach to Task Allocation of Multiple Robots With Resource Constraints,Jian Chen; Dong Sun,2012,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2012.2201470,journal-article,legacy_review;crossref;openalex_snowball,legacy_review;crossref;openalex_snowball,legacy_seed;legacy_seed_verify;SB_B_C0C34B3D7DD20;SB_B_CD4F0CFD7E495,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
