candidate_id,priority_tier,review_targets_routing_only,title,access_eligibility,close_reading_status,evidence_card,evidence_card_sha256,tracker_note
C5423D5A19BA0,P0,SP2,Cooperative Object Transport in Multi-Robot Systems: A Review of the State-of-the-Art,eligible,completed_passage_localized_card,literature-review-v3/close-read/C5423D5A19BA0_tuci_2018.md,7f9898578602d01e81018ee43522ad864781c7b65fc2df869d5e048474ac74d0,Workflow progress only; verify scope and localizers in the card before citation.
CCB936E7536AC,P0,SP1;SP2;SP3,Hybrid Coordination Framework for Centralized Task Allocation and Execution in Heterogeneous Multi-Robot Systems,eligible,completed_passage_localized_card,literature-review-v3/close-read/CCB936E7536AC_varghese_2026.md,d86e0eccdb66277880854b9c6609189e291ebec70fe2447833975d4c372f17f4,Workflow progress only; verify scope and localizers in the card before citation.
C338F7D3BAF3A,P0,SP1;SP2;SP3;TRANSVERSAL,A multi-robot collaborative manipulation framework for dynamic and obstacle-dense environments: integration of deep learning for real-time task execution,eligible,ready_for_close_reading,,,Workflow progress only; verify scope and localizers in the card before citation.
CC820828EAD63,P0,SP1;SP3,"A comprehensive review on multi robot task assignment and path planning: Operational constraints, challenges, and potentials of deep reinforcement learning",requires_alternative_or_manual_inspection,requires_fulltext_or_manual_access_check,,,Workflow progress only; verify scope and localizers in the card before citation.
CBF202D600FE4,P0,SP1;SP3;TRANSVERSAL,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,eligible,ready_for_close_reading,,,Workflow progress only; verify scope and localizers in the card before citation.
C96F294D621AC,P0,SP1,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,eligible,completed_passage_localized_card,literature-review-v3/close-read/C96F294D621AC_verma_2025.md,8d93f3d7678c93c254a48ac38266cbf20d543595ed3f30ddb5b7d7230545c521,Workflow progress only; verify scope and localizers in the card before citation.
C15CF81D8F835,P0,SP1,Task-oriented overlapping coalition formation: a game-theoretic framework for heterogeneous UAV task allocation,requires_alternative_or_manual_inspection,requires_fulltext_or_manual_access_check,,,Workflow progress only; verify scope and localizers in the card before citation.
CC1697E0C2E40,P0,SP1;TRANSVERSAL,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,eligible,completed_passage_localized_card,literature-review-v3/close-read/CC1697E0C2E40_mazdin_rinner_2021.md,1bae15e2a8a7b61c78aecc29141820202e433a12171811fe6b6d2a21376b37f5,Workflow progress only; verify scope and localizers in the card before citation.
C4F0B5BB85F46,P0,SP2;TRANSVERSAL,"Multi-Robot Systems and Cooperative Object Transport: Communications, Platforms, and Challenges",eligible,completed_passage_localized_card,literature-review-v3/close-read/C4F0B5BB85F46_an_2023.md,fb7cced7c2822cde1ff4f2b034be2ededd4b0f60ceb79775f5f9642cb2358dfa,Workflow progress only; verify scope and localizers in the card before citation.
C93FF4C9DA235,P0,SP1,Issues in Multi-Robot Coalition Formation,requires_alternative_or_manual_inspection,requires_fulltext_or_manual_access_check,,,Workflow progress only; verify scope and localizers in the card before citation.
