review_version,source,execution_id,query_id,window_id,exact_query,from_year,to_year,field_scope,export_format,historical_status,historical_expected_records,historical_observed_records,historical_raw_file,historical_sha256,v3_execution_status,v3_notes
V3,web_of_science,F01_primary,F01,primary,multi-robot coalition formation,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,partial,80,50,F01_primary_wos_plaintext_full_record_cited_references.txt,fe113a792181e582af1b7bd3d05d6c4a303e654ddaf83226b1ae7e05bce46bea,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F02_primary,F02,primary,heterogeneous multi-robot task allocation,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,partial,275,50,F02_primary_wos_plaintext_full_record_cited_references.txt,2fb8a62156d0b6f9f788fe355e0cf3e57965660fd8b80b7341bfd022f56c588d,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F03_primary,F03,primary,game theoretic multi-robot task allocation,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,complete,14,14,F03_primary_wos_plaintext_full_record_cited_references.txt,fdba00941fbdd6ded439aa1e14727b30748095b965a43a31a71f74f999dda116,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F03_foundational,F03,foundational,game theoretic multi-robot task allocation,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F04_primary,F04,primary,distributed auction consensus multi-robot task allocation,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,complete,13,13,F04_primary_wos_plaintext_full_record_cited_references.txt,0cc38314187498206e385e5cb6a29971bfd23af4e8b144ea4adba329229bceb,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F05_primary,F05,primary,multi-robot cooperative payload transport,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,complete,23,23,F05_primary_wos_plaintext_full_record_cited_references.txt,8ec26e0e4f05d343e656959bc81b6c1d3c65997525487ae5c07dbc751d9a41c2,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F05_foundational,F05,foundational,multi-robot cooperative payload transport,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F06_primary,F06,primary,multi-robot shared load object transport,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,complete,3,3,F06_primary_wos_plaintext_full_record_cited_references.txt,8ae9a79ad4585b18cdfc3db140fd1e62c2205f91da59831c4873012b59f76ea6,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F07_primary,F07,primary,multi-robot non-prehensile transport caging pushing,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,complete,1,1,F07_primary_wos_plaintext_full_record_cited_references.txt,6ba3ce9cb545f0484b07b1c949b7fed4a2e9adca9a90a28e5f147b24d31656b7,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F07_foundational,F07,foundational,multi-robot non-prehensile transport caging pushing,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F08_primary,F08,primary,multi-robot wrench contact force feasibility payload,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F08_foundational,F08,foundational,multi-robot wrench contact force feasibility payload,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F09_primary,F09,primary,distributed multi-robot formation docking cooperative transport,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F09_foundational,F09,foundational,distributed multi-robot formation docking cooperative transport,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F10_primary,F10,primary,decentralized leaderless multi-robot cooperative transport,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F10_foundational,F10,foundational,decentralized leaderless multi-robot cooperative transport,1940,1999,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F11_primary,F11,primary,multi-robot coordination packet loss delay switching topology,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F12_primary,F12,primary,multi-robot coalition failure recovery robot replacement transport,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F13_primary,F13,primary,multi-robot traffic planning carried payload warehouse,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F14_primary,F14,primary,multiple robot coalitions congestion coordination logistics,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F15_primary,F15,primary,heterogeneous robot capability heterogeneous load coalition,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
V3,web_of_science,F16_primary,F16,primary,heterogeneous distributed coalition cooperative payload failure recovery,2000,2026,Topic plus title/abstract/keywords; document types Article or Proceedings Paper,Plain Text or tab-delimited with full record and cited references,not_reconciled_in_v3,,,,,not_queried,A V3 query must be logged separately; historical exports remain provenance only.
