method,first_year,last_year,total_title_abstract_signals,count_le_2010,count_2011_2016,count_2017_2021,count_2022_2026,recent_share,descriptive_status,interpretation_limit
consensus_distributed,2006,2026,62,7,8,25,22,0.355,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
auction_market,1988,2026,40,8,7,13,12,0.300,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
learning_based,2009,2026,31,1,2,14,14,0.452,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
evolutionary_metaheuristic,2011,2026,25,0,2,13,10,0.400,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
formation_control,1997,2026,18,5,2,4,7,0.389,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
behavior_swarm,2002,2026,10,3,2,0,5,0.500,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
game_theoretic,1979,2026,9,1,2,3,3,0.333,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
safety_reactive,2015,2026,9,0,1,2,6,0.667,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
exact_optimization,2008,2026,8,2,0,4,2,0.250,persistent_or_repurposed,"Corpus signal, not proof that a method emerged, died, or dominates the field."
force_impedance_control,2026,2026,2,0,0,0,2,1.000,emerging_in_selected_corpus,"Corpus signal, not proof that a method emerged, died, or dominates the field."
graph_search_mapf,2025,2025,2,0,0,0,2,1.000,emerging_in_selected_corpus,"Corpus signal, not proof that a method emerged, died, or dominates the field."
model_predictive_control,2023,2026,2,0,0,0,2,1.000,emerging_in_selected_corpus,"Corpus signal, not proof that a method emerged, died, or dominates the field."
