execution_id,query_id,window_id,label,query,axes,from_year,to_year
F01_primary,F01,primary,coalition formation,multi-robot coalition formation,SP1;coalition,2000,2026
F02_primary,F02,primary,heterogeneous task allocation,heterogeneous multi-robot task allocation,SP1;heterogeneity,2000,2026
F03_primary,F03,primary,game-theoretic coordination,game theoretic multi-robot task allocation,SP1;theory,2000,2026
F03_foundational,F03,foundational,game-theoretic coordination,game theoretic multi-robot task allocation,SP1;theory,1940,1999
F04_primary,F04,primary,auction and consensus allocation,distributed auction consensus multi-robot task allocation,SP1;distributed,2000,2026
F05_primary,F05,primary,cooperative payload transport,multi-robot cooperative payload transport,SP2;transport,2000,2026
F05_foundational,F05,foundational,cooperative payload transport,multi-robot cooperative payload transport,SP2;transport,1940,1999
F06_primary,F06,primary,shared-load transport,multi-robot shared load object transport,SP2;transport,2000,2026
F07_primary,F07,primary,non-prehensile and caging transport,multi-robot non-prehensile transport caging pushing,SP2;physical,2000,2026
F07_foundational,F07,foundational,non-prehensile and caging transport,multi-robot non-prehensile transport caging pushing,SP2;physical,1940,1999
F08_primary,F08,primary,wrench and contact feasibility,multi-robot wrench contact force feasibility payload,SP2;physical,2000,2026
F08_foundational,F08,foundational,wrench and contact feasibility,multi-robot wrench contact force feasibility payload,SP2;physical,1940,1999
F09_primary,F09,primary,formation and docking,distributed multi-robot formation docking cooperative transport,SP2;execution,2000,2026
F09_foundational,F09,foundational,formation and docking,distributed multi-robot formation docking cooperative transport,SP2;execution,1940,1999
F10_primary,F10,primary,decentralized leaderless execution,decentralized leaderless multi-robot cooperative transport,SP2;distributed,2000,2026
F10_foundational,F10,foundational,decentralized leaderless execution,decentralized leaderless multi-robot cooperative transport,SP2;distributed,1940,1999
F11_primary,F11,primary,imperfect communication,multi-robot coordination packet loss delay switching topology,SP1;SP2;network,2000,2026
F12_primary,F12,primary,failure and replacement,multi-robot coalition failure recovery robot replacement transport,SP2;recovery,2000,2026
F13_primary,F13,primary,traffic and multi-robot planning,multi-robot traffic planning carried payload warehouse,SP3;traffic,2000,2026
F14_primary,F14,primary,multiple coalitions and congestion,multiple robot coalitions congestion coordination logistics,SP3;traffic,2000,2026
F15_primary,F15,primary,capability-load matching,heterogeneous robot capability heterogeneous load coalition,SP1;SP2,2000,2026
F16_primary,F16,primary,integrated conjunction,heterogeneous distributed coalition cooperative payload failure recovery,SP1;SP2;SP3,2000,2026
