source,doi,candidate_id,is_oa,oa_status,best_oa_url,license,host_type,version
unpaywall,10.1109/tro.2006.878948,CB3570F2FB1C1,False,closed,,,,
unpaywall,10.1109/mrs66243.2025.11357248,CF36EA7CBA57B,False,closed,,,,
unpaywall,10.1108/ijius-12-2020-0070,CE3194399FC2C,False,closed,,,,
unpaywall,10.1109/mrs60187.2023.10416770,C22635AD687FB,False,closed,,,,
unpaywall,10.1109/mrs60187.2023.10416771,C9B14DC8CEC46,False,closed,,,,
unpaywall,10.1109/icmlc.2006.258820,C7356DB6C78C9,False,closed,,,,
unpaywall,10.1109/access.2021.3061149,CC1697E0C2E40,True,gold,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09360591.pdf,cc-by,publisher,publishedVersion
unpaywall,10.20944/preprints202505.0606.v1,C46EB2C3DF5F6,True,green,https://www.preprints.org/frontend/manuscript/adaed2f15ef577802d835e7e0e2cf26e/download_pub,cc-by,repository,acceptedVersion
unpaywall,10.1016/j.eswa.2015.05.032,CE8795427B04A,False,closed,,,,
unpaywall,10.1007/s10846-025-02287-4,C96F294D621AC,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10846-025-02287-4.pdf,cc-by,publisher,publishedVersion
unpaywall,10.1109/icra.2019.8793855,CBC5B0B8D8660,False,closed,,,,
unpaywall,10.32473/flairs.37.1.135575,CCF0155D630D6,True,gold,https://journals.flvc.org/FLAIRS/article/download/135575/139819,cc-by-nc,publisher,publishedVersion
unpaywall,10.1016/j.robot.2012.06.004,CBA3E285FA233,False,closed,,,,
unpaywall,10.1016/j.eswa.2013.11.044,C377D9D07E9CA,False,closed,,,,
unpaywall,10.1145/3297280.3297369,C201C8C16A7C2,True,green,https://arxiv.org/pdf/1805.08629,,repository,submittedVersion
unpaywall,10.12700/aph.19.10.2022.10.13,CC07155ACCF62,True,gold,https://doi.org/10.12700/aph.19.10.2022.10.13,,publisher,publishedVersion
unpaywall,10.1109/smc.2016.7844232,C5E40CCD2D219,False,closed,,,,
unpaywall,10.1109/lra.2025.3592080,C4649C0749E2E,False,closed,,,,
unpaywall,10.1109/mesa.2016.7587179,C0564B3AD878F,False,closed,,,,
unpaywall,10.1109/case49439.2021.9551582,CAAAE1784EBA9,False,closed,,,,
unpaywall,10.3724/sp.j.1218.2013.00142,CABE9C223A99F,False,closed,,,,
unpaywall,10.1057/9781137300744_8,CC7988333F8DB,False,closed,,,,
unpaywall,10.3390/robotics14070093,CF1331F6D8F85,True,gold,https://www.mdpi.com/2218-6581/14/7/93/pdf?version=1751533759,cc-by,publisher,publishedVersion
unpaywall,10.1057/9781137300744_6,CB12FC29D1F8C,False,closed,,,,
unpaywall,10.1007/s10846-012-9654-0,C9012EE4E8508,False,closed,,,,
unpaywall,10.1109/mrs60187.2023.10416795,CA895FC515BE3,False,closed,,,,
unpaywall,10.2139/ssrn.4578054,CD4502AA5AA1D,True,green,https://doi.org/10.2139/ssrn.4578054,,repository,acceptedVersion
unpaywall,10.2139/ssrn.4733727,CF1F7D26044C3,True,green,http://dx.doi.org/10.2139/ssrn.4733727,,repository,acceptedVersion
unpaywall,10.1109/cyberi.2016.7438627,C481112814407,False,closed,,,,
unpaywall,10.5220/0001633800030013,C8F6AE52869BC,True,gold,https://doi.org/10.5220/0001633800030013,cc-by-nc-nd,,publishedVersion
unpaywall,10.3390/electronics15163562,C9B97ECDD4F25,True,gold,https://doi.org/10.3390/electronics15163562,cc-by,publisher,publishedVersion
unpaywall,10.2139/ssrn.5491420,C1390A42C9DEC,True,green,https://doi.org/10.2139/ssrn.5491420,,repository,acceptedVersion
unpaywall,10.20944/preprints202603.1389.v1,C1D42BCDF0208,True,green,https://www.preprints.org/frontend/manuscript/14be3fdd939f37b59266fbf7d8fa85ad/download_pub,cc-by,repository,acceptedVersion
unpaywall,10.23919/ecc.2019.8795895,C52E74114B97E,True,green,https://arxiv.org/pdf/1903.08641,,repository,submittedVersion
unpaywall,10.1109/irce62232.2024.10739829,CA8C1701D70AB,False,closed,,,,
unpaywall,10.1109/icra57147.2024.10611147,C0ADBDA6B5417,False,closed,,,,
unpaywall,10.1109/icra57147.2024.10610515,CCD0E92BC4F84,True,green,https://arxiv.org/pdf/2402.02833,,repository,submittedVersion
unpaywall,10.21203/rs.3.rs-8343110/v1,CD92DBDF98A9F,True,green,https://www.researchsquare.com/article/rs-8343110/latest.pdf,cc-by,repository,acceptedVersion
unpaywall,10.3390/s22155637,C19FFB4BC1B65,True,gold,https://www.mdpi.com/1424-8220/22/15/5637/pdf?version=1659322417,cc-by,publisher,publishedVersion
unpaywall,10.3390/a19040312,C43976EA8C055,True,gold,https://www.mdpi.com/1999-4893/19/4/312/pdf?version=1776330178,cc-by,publisher,publishedVersion
unpaywall,10.1109/automation66991.2025.11389874,CC3710DD2FEA4,False,closed,,,,
unpaywall,10.1109/lra.2021.3057559,CDDA223A78384,True,green,https://arxiv.org/pdf/2009.04593,cc-by-nc-sa,repository,submittedVersion
unpaywall,10.23919/iccas63016.2024.10773254,C51CF3909F847,False,closed,,,,
unpaywall,10.1007/978-3-030-34735-2_2,C3AF91B85792D,False,closed,,,,
unpaywall,10.1109/icra40945.2020.9197283,CE2A3C9C9747A,True,green,https://arxiv.org/pdf/2003.03344,,repository,submittedVersion
unpaywall,10.1109/irac67707.2025.11381124,C1F04FD0BD507,False,closed,,,,
unpaywall,10.1007/s10514-018-09820-5,C2F914D0973C0,False,closed,,,,
unpaywall,10.1109/aiac68175.2025.11332435,C2B69D5FBFB16,False,closed,,,,
unpaywall,10.3390/machines10080622,C1593E0CFCCB6,True,gold,https://www.mdpi.com/2075-1702/10/8/622/pdf?version=1659080328,cc-by,publisher,publishedVersion
unpaywall,10.3390/vehicles7020035,CCDCB929964FA,True,gold,https://www.mdpi.com/2624-8921/7/2/35/pdf?version=1745077491,cc-by,publisher,publishedVersion
unpaywall,10.1007/978-3-319-70833-1_69,CF7E50B2D5659,False,closed,,,,
unpaywall,10.22541/au.172516292.27968016/v1,C37A27E966747,True,gold,https://www.authorea.com/doi/pdf/10.22541/au.172516292.27968016/v1,,,acceptedVersion
unpaywall,10.1007/s10514-026-10244-9,C15CF81D8F835,False,closed,,,,
unpaywall,10.23919/acc50511.2021.9483030,CC47DC1FF19EE,True,green,https://arxiv.org/pdf/2009.08628,,repository,submittedVersion
unpaywall,10.32604/cmc.2026.077060,C0B48E7239D93,True,gold,https://cdn.techscience.press/files/cmc/2026/TSP_CMC-87-3/TSP_CMC_77060/TSP_CMC_77060.pdf,cc-by,publisher,publishedVersion
unpaywall,10.1016/j.ast.2021.106650,C1A934ACD940E,False,closed,,,,
unpaywall,10.1201/9781003026686-1,C8C1D46DF78AA,False,closed,,,,
unpaywall,10.5220/0006197305670574,C3E7B09BCCCBF,True,gold,https://doi.org/10.5220/0006197305670574,cc-by-nc-nd,,publishedVersion
unpaywall,10.1007/978-1-4939-0500-3_5,CA6A02873D189,False,closed,,,,
unpaywall,10.2139/ssrn.6799738,CF4EB0500EAF9,True,green,https://doi.org/10.2139/ssrn.6799738,,repository,acceptedVersion
unpaywall,10.5772/13106,C7866DDE8892B,True,hybrid,https://www.intechopen.com/chapters/12650,cc-by-nc-sa,publisher,publishedVersion
unpaywall,10.1109/tro.2025.3567506,CFB463E95FF14,False,closed,,,,
unpaywall,10.1007/s11721-016-0123-4,CD726A62FBF03,False,closed,,,,
unpaywall,10.2139/ssrn.4611067,CA3B90EA26215,True,green,https://doi.org/10.2139/ssrn.4611067,,repository,acceptedVersion
unpaywall,10.5772/13281,CF7091D0684FA,True,hybrid,https://www.intechopen.com/citation-pdf-url/12652,cc-by-nc-sa,publisher,publishedVersion
unpaywall,10.5220/0005052504100416,C0E161D2A615B,True,gold,https://doi.org/10.5220/0005052504100416,cc-by-nc-nd,,publishedVersion
unpaywall,10.1007/978-3-032-05813-3_4,CE1C0AD011F37,False,closed,,,,
unpaywall,10.1109/cts.2012.6261030,CACE7888EE4AF,False,closed,,,,
unpaywall,10.1109/icra57147.2024.10611476,C3DB8B8B6E688,False,closed,,,,
unpaywall,10.1007/978-3-642-31665-4_6,C2F58A0A1214B,True,green,http://hdl.handle.net/10251/68282,cc-by-nc-nd,repository,submittedVersion
unpaywall,10.1016/j.dajour.2023.100254,C4DC44D120D0E,True,gold,https://doi.org/10.1016/j.dajour.2023.100254,cc-by-nc-nd,publisher,publishedVersion
unpaywall,10.1002/rob.70098,C31C6A4268A13,False,closed,,,,
unpaywall,10.2139/ssrn.4801777,C053288D7439E,True,green,https://doi.org/10.2139/ssrn.4801777,,repository,acceptedVersion
unpaywall,10.1109/jiot.2023.3322197,C404A4236BB93,False,closed,,,,
unpaywall,10.1201/9781439864524-6,C4E19A988F3ED,False,closed,,,,
unpaywall,10.2208/jscej.1995.524_105,C7C64DB92E000,True,bronze,https://www.jstage.jst.go.jp/article/jscej1984/1995/524/1995_524_105/_pdf,,publisher,publishedVersion
unpaywall,10.2208/journalip.16.101,C250C9B0F0658,True,bronze,https://www.jstage.jst.go.jp/article/journalip1984/16/0/16_0_101/_pdf,,publisher,publishedVersion
unpaywall,10.1002/net.3230060404,C7C9BA0375F4A,False,closed,,,,
unpaywall,10.1007/978-1-4757-5307-3_3,CC88D1E9BF6FF,False,closed,,,,
unpaywall,10.1080/07408179908969889,C3C519F91C0A4,False,closed,,,,
unpaywall,10.2307/3003430,C8729C87AE0BB,False,closed,,,,
unpaywall,10.1287/opre.8.5.694,C9645C95ED58B,False,closed,,,,
unpaywall,10.6028/jres.086.008,C0DA3F03721F8,True,hybrid,https://doi.org/10.6028/jres.086.008,public-domain,publisher,publishedVersion
unpaywall,10.2208/journalip.14.409,CA761579F52A8,True,bronze,https://www.jstage.jst.go.jp/article/journalip1984/14/0/14_0_409/_pdf,,publisher,publishedVersion
unpaywall,10.1007/978-0-387-35378-4_18,C3A377650969D,True,gold,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35378-4_18.pdf,,,publishedVersion
unpaywall,10.4036/iis.1996.11,C1F32D49BFD88,True,bronze,https://www.jstage.jst.go.jp/article/iis/2/1/2_1_11/_pdf,,publisher,publishedVersion
unpaywall,10.1017/cbo9780511814075.003,C8DE45B83F19B,False,closed,,,,
unpaywall,10.1029/95wr00322,CFD959F6E216C,False,closed,,,,
unpaywall,10.1016/0278-6125(93)90102-y,C09AF4E3595DA,False,closed,,,,
unpaywall,10.1109/mper.1985.5526577,C5DC183C9C8F9,False,closed,,,,
unpaywall,10.1007/3-540-61286-6_160,C5B33F2BFF47E,False,closed,,,,
unpaywall,10.4337/9781035378128.00016,C364A581BD8E0,False,closed,,,,
unpaywall,10.1109/70.720357,CB5B590B123B6,False,closed,,,,
unpaywall,10.2208/jscej.1997.27,C339C97848225,True,bronze,https://www.jstage.jst.go.jp/article/jscej1984/1997/555/1997_555_27/_pdf,,publisher,publishedVersion
unpaywall,10.1007/978-1-4612-0841-9_13,CA6A266D925AA,False,closed,,,,
unpaywall,10.1016/0003-6870(85)90088-2,CEFD032C099E9,False,closed,,,,
unpaywall,10.1007/978-3-662-41501-6_8,CB1304AF62690,False,closed,,,,
unpaywall,10.2208/proer1988.24.517,C1E144B7151AC,True,gold,https://www.jstage.jst.go.jp/article/proer1988/24/0/24_0_517/_pdf,,publisher,publishedVersion
unpaywall,10.1515/9781685855796-006,C7E7FFC8008DE,False,closed,,,,
unpaywall,10.1109/mrs66243.2025.11357252,CD85A3E01BA69,False,closed,,,,
unpaywall,10.1016/j.automatica.2023.111239,CBD628542405F,True,hybrid,https://doi.org/10.1016/j.automatica.2023.111239,cc-by-nc,publisher,publishedVersion
unpaywall,10.5220/0001195000800087,C4B92C7381732,True,gold,https://doi.org/10.5220/0001195000800087,cc-by-nc-nd,,publishedVersion
unpaywall,10.3724/sp.j.1087.2008.00706,CA4BF7B33A94A,False,closed,,,,
unpaywall,10.1109/iccma54375.2021.9646189,C9EB7BD5897CF,False,closed,,,,
unpaywall,10.1007/s42979-021-00479-x,C07906ECC23C8,False,closed,,,,
unpaywall,10.1109/access.2020.2971585,C20FBE73D7292,True,gold,https://ieeexplore.ieee.org/ielx7/6287639/8948470/08981979.pdf,cc-by,publisher,publishedVersion
unpaywall,10.1109/codit66093.2025.11321801,C25644EA3A807,False,closed,,,,
unpaywall,10.1109/tencon66050.2025.11375272,C072554E870A7,False,closed,,,,
unpaywall,10.1145/2240166.2240171,CD617355078E3,False,closed,,,,
unpaywall,10.1109/chicc.2008.4605654,C67A638824243,False,closed,,,,
unpaywall,10.36227/techrxiv.23260052.v1,CC124E289D25C,True,gold,http://dx.doi.org/10.36227/techrxiv.23260052.v1,cc-by,,acceptedVersion
unpaywall,10.36227/techrxiv.23260052,C637D3859C128,True,gold,https://www.techrxiv.org/articles/preprint/A_Distributed_Algorithm_for_Multi-Robot_Task_Allocation_via_Weighted_Buffered_Voronoi_Partition/23260052/1/files/40996949.pdf,cc-by,,acceptedVersion
unpaywall,10.1016/j.comcom.2026.108499,C9E3B6B7A6951,True,hybrid,https://doi.org/10.1016/j.comcom.2026.108499,cc-by,publisher,publishedVersion
unpaywall,10.1109/iccect60629.2024.10545932,CC639CACAF267,False,closed,,,,
unpaywall,10.1109/gcon69192.2026.11648381,CEEE2EFE131B5,False,closed,,,,
unpaywall,10.59782/aai.v1i2.293,CB0CAB607E95A,False,closed,,,,
unpaywall,10.4172/2168-9695-c1-010,C63EA1BF13B42,False,closed,,,,
unpaywall,10.1109/robio.2013.6739866,C745278F267A6,False,closed,,,,
unpaywall,10.2139/ssrn.4627351,CCFAB53EEA3FA,True,green,https://doi.org/10.2139/ssrn.4627351,,repository,acceptedVersion
unpaywall,10.1109/iros.2010.5652799,C842B3E882979,False,closed,,,,
unpaywall,10.1109/iros.2011.6094948,CF78CD428E991,False,closed,,,,
unpaywall,10.1007/s10846-023-01935-x,CBF202D600FE4,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10846-023-01935-x.pdf,cc-by,publisher,publishedVersion
unpaywall,10.1007/978-3-642-00644-9_31,CCAC3AD55A124,False,closed,,,,
unpaywall,10.1109/mrs.2019.8901082,C9D327269DD93,False,closed,,,,
unpaywall,10.2139/ssrn.5391070,C96D71BEA149C,True,green,https://doi.org/10.2139/ssrn.5391070,,repository,acceptedVersion
unpaywall,10.1115/detc2004-57476,C21AE965C1D08,False,closed,,,,
unpaywall,10.31274/ahac.9754,C8959CF81D65E,False,closed,,,,
unpaywall,10.3724/sp.j.1218.2011.00169,C9805FB4FB594,True,bronze,http://robot.sia.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=680,,publisher,publishedVersion
unpaywall,10.1007/s10514-005-9717-9,C82AC458AF2EC,False,closed,,,,
unpaywall,10.1109/acc.2009.5160630,C7BCBEFF96FB9,False,closed,,,,
unpaywall,10.1016/j.isatra.2018.05.022,CB29874BDC22B,True,bronze,https://www.sciencedirect.com/science/article/pii/S0019057818302192,,publisher,publishedVersion
unpaywall,10.1109/ro-man46459.2019.8956442,CA96697F41316,True,green,https://arxiv.org/pdf/1909.04655,,repository,submittedVersion
unpaywall,10.5772/13310,CE044CF9A86EA,True,hybrid,https://www.intechopen.com/citation-pdf-url/12638,cc-by-nc-sa,publisher,publishedVersion
