anchor_candidate_id,anchor_doi,direction,oci,citing,cited,creation,timespan,source
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06402060007,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06402060007 doi:10.1109/iros.1996.570694 openalex:W1568517062,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06701197530,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06701197530 doi:10.1177/027836499601500602 openalex:W2098030884,2004-08,P7Y8M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06602054093,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06602054093 doi:10.1109/iros.1995.525940 openalex:W2157411165,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-062203296234,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/062203296234 doi:10.1109/37.793443 openalex:W1995063858,2004-08,P4Y10M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-062201331477,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/062201331477 doi:10.1109/tc.1983.1676196 openalex:W2150500908,2004-08,P21Y6M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06403827713,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06403827713 doi:10.1109/robot.1996.506911 openalex:W1675998861,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-061801353109,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/061801353109 doi:10.1016/0094-114x(95)00002-g openalex:W2083188966,2004-08,P9Y0M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-062503387039,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/062503387039 doi:10.1109/robot.1999.770437 openalex:W1645472491,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06902851363,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06902851363 doi:10.1007/pl00014414 openalex:W2086519765,2004-08,P6Y11M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-061403399866,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/061403399866 doi:10.1109/robot.1998.680757 openalex:W2124995771,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-06303840916,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/06303840916 doi:10.1109/iros.1995.525938 openalex:W2137037644,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-061503423041,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/061503423041 doi:10.1109/robot.1998.680760 openalex:W2132686267,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-0616057510,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/0616057510 doi:10.1007/978-94-015-7793-9 isbn:9789048184491 isbn:9789401577939 openalex:W4293078920,2004-08,P16Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,references,06901219138-062603447836,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,omid:br/062603447836 doi:10.1109/robot.2000.844741 openalex:W2129451214,2004-08,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06180218614-06901219138,omid:br/06180218614 doi:10.1109/tro.2009.2035739 openalex:W2128715422,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2010-02,P5Y6M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061402545829-06901219138,omid:br/061402545829 doi:10.1109/acc.2012.6315564 openalex:W2159763667,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-06,P7Y10M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062602060581-06901219138,omid:br/062602060581 doi:10.1021/acs.jcim.9b00945 openalex:W3009923748 pmid:32130862,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2020-03-04,P15Y7M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06202373851-06901219138,omid:br/06202373851 doi:10.1016/j.sigpro.2015.04.012 openalex:W2080654176,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2016-03,P11Y7M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061301924588-06901219138,omid:br/061301924588 doi:10.1007/s12213-012-0050-4 openalex:W2023929006,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-11-10,P8Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061802974887-06901219138,omid:br/061802974887 doi:10.1109/icra.2012.6224801 openalex:W2115084899,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-05,P7Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06203474186-06901219138,omid:br/06203474186 doi:10.1007/978-3-642-00312-7_8 openalex:W1603243397,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2009,P4Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06403182692-06901219138,omid:br/06403182692 doi:10.1109/tsmc.2017.2733552 openalex:W2746159415,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2020-01,P15Y5M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062201482170-06901219138,omid:br/062201482170 doi:10.7210/jrsj.36.316 openalex:W2882990011,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2018,P13Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06170214743-06901219138,omid:br/06170214743 doi:10.1109/tro.2015.2400731 openalex:W2054381558,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2015-04,P10Y8M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062602972782-06901219138,omid:br/062602972782 doi:10.1109/robio.2012.6491231 openalex:W2000638494,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-12,P8Y4M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,0607617656-06901219138,omid:br/0607617656 doi:10.3390/s25051353 openalex:W4407877454,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2025-02-22,P20Y6M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061603312386-06901219138,omid:br/061603312386 doi:10.1109/mcs.2008.919306 openalex:W2048723778,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2008-06,P3Y10M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06303611399-06901219138,omid:br/06303611399 doi:10.1109/isam.2009.5376936 openalex:W2110188539,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2009-11,P5Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061401178254-06901219138,omid:br/061401178254 doi:10.1177/0278364912442972 openalex:W1981667747,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-04-20,P7Y8M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06901157566-06901219138,omid:br/06901157566 doi:10.1109/access.2021.3118109 openalex:W3202314578,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2021,P16Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06702085824-06901219138,omid:br/06702085824 doi:10.1145/3341105.3373965 openalex:W3021124920,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2020-03-29,P15Y7M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062303979204-06901219138,omid:br/062303979204 doi:10.1109/tase.2023.3237770 openalex:W4317892897,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061302548273-06901219138,omid:br/061302548273 doi:10.1109/icra.2014.6907862 openalex:W2011609074,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2014-05,P9Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06902098814-06901219138,omid:br/06902098814 doi:10.1007/978-3-030-28619-4_43 openalex:W2973711994,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2019-11-28,P15Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06180218563-06901219138,omid:br/06180218563 doi:10.1109/tro.2010.2052169 openalex:W2132115057,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2010-08,P6Y0M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06103153753-06901219138,omid:br/06103153753 doi:10.1007/s10514-021-09975-8 openalex:W3135428035,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2021-03-10,P16Y7M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,0640867872-06901219138,omid:br/0640867872 doi:10.1017/s0269888920000375 openalex:W3049060736,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2020,P15Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062401154879-06901219138,omid:br/062401154879 doi:10.1177/0278364920932996 openalex:W3041204174,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2020-07-07,P15Y11M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06803618039-06901219138,omid:br/06803618039 doi:10.1109/acc.2009.5160030 openalex:W2104394243,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2009,P4Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06803411868-06901219138,omid:br/06803411868 doi:10.1109/iros.2011.6094572 openalex:W2170912953,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2011-09,P7Y1M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06250332412-06901219138,omid:br/06250332412 doi:10.1115/1.4028593 openalex:W2154860557,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2014-11-07,P10Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062301909072-06901219138,omid:br/062301909072 doi:10.1109/tase.2016.2620175 openalex:W2550858736,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2018-01,P13Y5M,opencitations
