scene,description,policy,lua,scene_json,playback_csv,screenshot,video,coppelia_executable,coppelia_available,status
h12_nominal_smith_qr,Nominal Smith-QR.,smith_qr_full,coppeliasim\campaign_scenes\h12_nominal_smith_qr.lua,coppeliasim\campaign_scenes\h12_nominal_smith_qr.json,results\campaigns\H12_coppelia_closed_loop\data\h12_nominal_smith_qr_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_nominal_smith_qr_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_nominal_smith_qr.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_r3_smith,R3 degraded communication Smith.,smith_full,coppeliasim\campaign_scenes\h12_r3_smith.lua,coppeliasim\campaign_scenes\h12_r3_smith.json,results\campaigns\H12_coppelia_closed_loop\data\h12_r3_smith_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_r3_smith_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_r3_smith.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_r3_smith_qr,R3 degraded communication Smith-QR.,smith_qr_full,coppeliasim\campaign_scenes\h12_r3_smith_qr.lua,coppeliasim\campaign_scenes\h12_r3_smith_qr.json,results\campaigns\H12_coppelia_closed_loop\data\h12_r3_smith_qr_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_r3_smith_qr_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_r3_smith_qr.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_robot_failure,Robot failure and recovery.,smith_qr_full,coppeliasim\campaign_scenes\h12_robot_failure.lua,coppeliasim\campaign_scenes\h12_robot_failure.json,results\campaigns\H12_coppelia_closed_loop\data\h12_robot_failure_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_robot_failure_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_robot_failure.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_human_crossing,Human crossing safety.,smith_qr_full,coppeliasim\campaign_scenes\h12_human_crossing.lua,coppeliasim\campaign_scenes\h12_human_crossing.json,results\campaigns\H12_coppelia_closed_loop\data\h12_human_crossing_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_human_crossing_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_human_crossing.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_sensor_degraded,Sensor degraded blind zones.,smith_qr_full,coppeliasim\campaign_scenes\h12_sensor_degraded.lua,coppeliasim\campaign_scenes\h12_sensor_degraded.json,results\campaigns\H12_coppelia_closed_loop\data\h12_sensor_degraded_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_sensor_degraded_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_sensor_degraded.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_predictive_density_bottleneck,Predictive density bottleneck.,smith_qr_predictive_density,coppeliasim\campaign_scenes\h12_predictive_density_bottleneck.lua,coppeliasim\campaign_scenes\h12_predictive_density_bottleneck.json,results\campaigns\H12_coppelia_closed_loop\data\h12_predictive_density_bottleneck_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_predictive_density_bottleneck_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_predictive_density_bottleneck.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_rectangular_wrench,Rectangular load wrench/caging.,wrench_capacity,coppeliasim\campaign_scenes\h12_rectangular_wrench.lua,coppeliasim\campaign_scenes\h12_rectangular_wrench.json,results\campaigns\H12_coppelia_closed_loop\data\h12_rectangular_wrench_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_rectangular_wrench_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_rectangular_wrench.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_battery_return,Battery returnability.,smith_qr_battery,coppeliasim\campaign_scenes\h12_battery_return.lua,coppeliasim\campaign_scenes\h12_battery_return.json,results\campaigns\H12_coppelia_closed_loop\data\h12_battery_return_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_battery_return_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_battery_return.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
h12_integrated_full,Integrated stress scenario.,smith_qr_integrated,coppeliasim\campaign_scenes\h12_integrated_full.lua,coppeliasim\campaign_scenes\h12_integrated_full.json,results\campaigns\H12_coppelia_closed_loop\data\h12_integrated_full_playback.csv,results\campaigns\H12_coppelia_closed_loop\plots\h12_integrated_full_top_view.png,results\campaigns\H12_coppelia_closed_loop\animations\h12_integrated_full.mp4,C:\Program Files\CoppeliaRobotics\CoppeliaSimEdu\coppeliaSim.exe,True,fallback_synthetic_render
