review_id,source_result_id,source_sha256,corpus,spine_role,review_scope,verdict,action_priority,statement_path,statement_line,proof_path,proof_line,code_paths,test_paths,test_result,assumption_or_condition_presence,domain_and_units,duplicate_status,counterexample_or_gap,promotion_condition
SPINE-001,THESIS-FR-0004-thm:sp1-feasible-nash,102684bee5548244c9fb3cf2dacf0364c207e4b9b94c84b95f899affa31c8d96,thesis,SP1 exact potential; quota regulation; finite improvement,SEMANTIC_PROOF_AUDIT,SUPPORTED,PROMOTE,thesis/sections/mainmatter/06-results-and-analysis/sp1.tex,139,thesis/sections/appendices/03-sp1-proofs.tex,20,src/viu_mrob_tfm/sp1/theory.py,tests/test_sp1_theory.py,59-test focal suite PASS; 132 extra small exhaustive randomized instances PASS,"Mandatory positive quotas; sum quotas <= N; fixed dimensionless costs in [0,kappa_max]; equal deficit/excess penalty lambda>kappa_max; finite logical actions","Finite logical game; all objective terms dimensionless; excludes scarcity, Smith discretization, QR, network and mechanics",UNIQUE_FORMAL_LABEL,No mathematical counterexample found. Finite-improvement wording should retain the standard maximal-path convention when claiming a Nash terminal state.,May promote with all assumptions adjacent to the statement and accepted-move rather than wall-clock wording.
SPINE-002,THESIS-FR-0006-cor:sp1-strategic-regulation,102684bee5548244c9fb3cf2dacf0364c207e4b9b94c84b95f899affa31c8d96,thesis,SP1 inactive duplicate corollary,SEMANTIC_AND_ACTIVE_SOURCE_AUDIT,REJECTED,ARCHIVE,thesis/sections/mainmatter/06-results-and-analysis/sp1.tex,245,thesis/sections/appendices/03-sp1-proofs.tex,37,,,Not applicable: source is inside \iffalse,Same assumptions as SPINE-001 but the source unit is inactive,Inactive TeX block; not part of compiled thesis,DUPLICATE_LEXICAL_LABEL; INACTIVE_IFFALSE; active copy at line 268,The lexical inventory counts an inactive copy as a formal result.,Do not migrate or count this row; use a single active statement with a unique label.
SPINE-003,THESIS-FR-0007-cor:sp1-strategic-regulation,102684bee5548244c9fb3cf2dacf0364c207e4b9b94c84b95f899affa31c8d96,thesis,SP1 active regulation corollary,SEMANTIC_PROOF_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp1.tex,268,thesis/sections/appendices/03-sp1-proofs.tex,37,src/viu_mrob_tfm/sp1/theory.py,tests/test_sp1_theory.py,59-test focal suite PASS; event-count claim follows finite enumeration,SPINE-001 assumptions plus exhaustive/fair activation and an accepted strict better-response whenever one exists,Finite accepted revisions only; fairness without bounded delay gives no wall-clock bound,ACTIVE_COPY; lexical duplicate at inactive line 245,"A fair scheduler can have arbitrarily long physical delays; the proof establishes finitely many accepted revisions, not bounded elapsed time.",Say �after finitely many accepted improvements�; declare a maximal/exhaustive better-response path. Add bounded interactivation only if physical time is claimed.
SPINE-004,THESIS-FR-0008-prop:sp2-marginal-alignment,04cc09945f4e90aa7987abe6d078bc81311021fbe96baa9c880d10989ce6d688,thesis,Auxiliary heterogeneous-capacity integrability,SEMANTIC_PROOF_AUDIT,SUPPORTED,PROMOTE,thesis/sections/mainmatter/06-results-and-analysis/sp2.tex,154,thesis/sections/appendices/04-sp2-proofs.tex,9,,,Analytic chain-rule and cross-partial audit PASS,"Positive service thresholds; fixed E, d, V and g during decision; continuous preferences; differentiable-region argument with C1 matching at saturation","e/d, service pressure, value, cost and potential are dimensionless in the stated normalization",UNIQUE_FORMAL_LABEL,"Plain field is not generally integrable when e_ik differs across robots; result does not imply convergence of Smith, closure or distributed estimation.",May promote with its continuous fixed-parameter domain and exclusions.
SPINE-005,OUTSIDE-INVENTORY:C-SP2-CARGO-NOMINAL-STABILITY,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments,SP2 local Cargo stability with fixed bilateral contacts and exact wrench,SEMANTIC_PROOF_AUDIT,SUPPORTED,P1-INVENTORY-THEN-PROMOTE,Subdocuments/SP2/sp2.tex,481,Subdocuments/SP2/sp2.tex,488,src/viu_mrob_tfm/sp2_canonical/dynamics.py; src/viu_mrob_tfm/sp2_canonical/mechanics.py,tests/test_sp2_canonical.py; tests/test_sp2_submit_ready.py,59-test focal suite PASS; 1000 extra randomized Lyapunov derivative identities PASS; no test alone proves stability,"Fixed bilateral contacts; constant SPD M_L, K_P, K_D; C2 reference and exact parameters; exact wrench realization; no disturbance/saturation; trajectory remains in angular chart",Local SE(2) chart. Translational and rotational matrix entries must retain generalized SI units; no unscaled mixed wrench norm is used.,MISSING_FROM_FORMAL_RESULTS_AUDIT; custom sp2prop environment outside paper/thesis corpus,"No counterexample within the nominal domain. Does not cover caging, contact switching, sampled/hybrid realization, MuJoCo identification or hardware.",Add/link this source in the formal inventory; state reference regularity and generalized-coordinate units; then promote only as local nominal result.
SPINE-006,THESIS-FR-0013-prop:sp4-pose-stability,887e2e13952cd41d6b7c3133e23a3328a85b8bd62501f2380eb85d5678b692eb,thesis,Legacy SP2 pose stability with residual wrench,SEMANTIC_PROOF_AND_UNITS_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp4.tex,173,thesis/sections/appendices/06-sp4-proofs.tex,45,,,Exact-residual Lyapunov algebra PASS; perturbation metric not dimensionally certified,Constant SPD M; positive damping/gains; fixed target and contacts; local angular chart; exact branch requires r_W=0,The exact branch is dimensionally sound with generalized matrices. The residual bound mixes m/s with rad/s and N with N m in raw Euclidean norms.,UNIQUE_FORMAL_LABEL,lambda_min(D+K_D) and ||r_W||_2 depend on arbitrary coordinate scaling unless a homogeneous metric/scaling is declared.,"Promote the r_W=0 local result; retain the perturbed bound only after defining scaled coordinates, wrench metric and units."
SPINE-007,OUTSIDE-INVENTORY:C-SP2-N1-KIN-FORMAL,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments,SP2 kinematic feasibility equivalence,SEMANTIC_PROOF_AUDIT,SUPPORTED,P1-INVENTORY-THEN-PROMOTE,Subdocuments/SP2/sp2.tex,682,Subdocuments/SP2/sp2.tex,690,src/viu_mrob_tfm/sp2_canonical/kinematics.py,tests/test_sp2_canonical.py,59-test focal suite PASS; wheel/heading identities and rejection cases PASS,Nonstationary pivots; C1 payload velocity; ideal rigid pivot with passive yaw; initial heading alignment; continuous forward/reverse branch; exact tracking,"Purely kinematic SI mapping m/s and rad/s to wheel rad/s; excludes acceleration, torque, friction and contact stability",MISSING_FROM_FORMAL_RESULTS_AUDIT; custom sp2prop environment,Stationary pivot makes heading-rate formula singular and is explicitly excluded.,Add/link to inventory and retain every exclusion; do not call it dynamic or mechanical feasibility.
SPINE-008,OUTSIDE-INVENTORY:C-SP2-CROSS-MONO-FORMAL,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments,SP2 coalition-size nonmonotonicity,SEMANTIC_PROOF_AUDIT,SUPPORTED,P1-INVENTORY-THEN-PROMOTE,Subdocuments/SP2/sp2.tex,765,Subdocuments/SP2/sp2.tex,779,,,Set-inclusion proof and both-direction constructions audited,Post-removal geometry of remaining robots unchanged; zero reaction locally admissible; W_C is the full union over feasible normal-load allocations,"Set-theoretic kinematic and physical feasibility; no transient, no sequential W_hat_C(n*) inclusion",MISSING_FROM_FORMAL_RESULTS_AUDIT; custom sp2prop environment,"No uniform inclusion exists for the joint feasible set; result is �not monotone in general�, not a claim that every addition harms or helps.",Add/link to inventory and preserve the distinction between full W_C and the sequential oracle.
SPINE-009,OUTSIDE-INVENTORY:C-SP2-N2-RELAX-FORMAL,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments,SP2 scalar-capacity insufficiency and relaxation boundary,SEMANTIC_PROOF_AUDIT,SUPPORTED,P1-INVENTORY-THEN-PROMOTE,Subdocuments/SP2/sp2.tex,990,Subdocuments/SP2/sp2.tex,990,src/viu_mrob_tfm/sp2_canonical/mechanics.py; src/viu_mrob_tfm/sp2_canonical/support.py,tests/test_sp2_canonical.py; tests/test_sp2_submit_ready.py,59-test focal suite PASS; explicit coincident-contact torque counterexample PASS,Planar wrench; individual reaction norm bounds; scalar test ignores contact moment arms; bilateral relaxation omits support/friction,Force components in N and torque in N m are kept separate; scalar force inequality is only necessary for F_d,MISSING_FROM_FORMAL_RESULTS_AUDIT; result expressed as paragraph rather than core formal environment,Coincident contacts at the center cannot produce nonzero torque regardless of summed force capacity. The 52/720 count is empirical and does not prove separation of scalar and bilateral guards.,Add/link to inventory; promote the analytic counterexample separately from the grid statistic.
SPINE-010,THESIS-FR-0018-thm:sp7-exact-potential,37af59fc438876889129fff887838ad78fd44aa94573984b623c4181d3833b83,thesis,SP3 route exact-potential identity and accepted-move bound,SEMANTIC_PROOF_AUDIT,SUPPORTED,PROMOTE,thesis/sections/mainmatter/06-results-and-analysis/sp7.tex,107,thesis/sections/appendices/08-sp7-proofs.tex,9,src/viu_mrob_tfm/sp7/theory.py,tests/test_sp7_traffic.py,59-test focal suite PASS; 120 extra randomized exact-potential/termination instances PASS,Finite nonempty route catalogues; fixed dimensionless base costs; unweighted resource sets; lambda>0; coherent current profile at each accepted update,"Finite route game; cost and penalty dimensionless; excludes stale messages, continuous collision and mechanical safety",UNIQUE_FORMAL_LABEL,No counterexample to exactness or the no-repeat bound. Sharing multiple resources is intentionally counted per resource.,"Promote identity, existence and at-most product(|R_i|)-1 accepted moves; state coherence."
