unit_id,corpus,path,source_sha256,review_category,review_scope,claim_ids,claim_link_status,claim_relation,evidence_locator,heading_count,labeled_unit_count,formal_result_count,formal_verdicts,review_basis,rationale,limitation,reviewed_on
SRC-60529e9ce21b4c1c,paper,paper/sec_alcance.tex,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-60529e9ce21b4c1c,10,16,4,LIMITED=3;FAIL=1,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_alcance.tex;pre-thesis/evidence/idea-ledger.csv::SRC-60529e9ce21b4c1c,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-9182bdb312db3b32,paper,paper/sec_auditoria.tex,4f4eaddd0c5d29df4fd5d1b1711c3d25a7f2a3844915b5b7c10a4cb7298e8753,paper-context-candidate,source-level-context-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-9182bdb312db3b32,1,3,0,,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_auditoria.tex;pre-thesis/evidence/idea-ledger.csv::SRC-9182bdb312db3b32,"La fuente organiza auditoría bibliográfica o posicionamiento. Su función es contextual y las referencias se gobiernan por el ledger bibliográfico, no por un claim propio del archivo.","No se usa para afirmar novedad universal, estado del arte o validez del método; cada cita y comparación conserva su comprobación independiente.",2026-09-09
SRC-219a6cb5fdb36944,paper,paper/sec_autoridad.tex,0d15f5f00a896a351bd7a0c88f6c97701b0be20ee41da4531606d1d21ba14552,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-219a6cb5fdb36944,3,6,3,LIMITED=3,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_autoridad.tex;pre-thesis/evidence/idea-ledger.csv::SRC-219a6cb5fdb36944,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-d9ad7b569ebd9e86,paper,paper/sec_cierre.tex,2b6e937593430f4063b49c8953ba614a37fdcb358908975e8e1e8436843738cb,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-d9ad7b569ebd9e86,3,3,2,FAIL=2,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_cierre.tex;pre-thesis/evidence/idea-ledger.csv::SRC-d9ad7b569ebd9e86,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-1a456bd458421bc8,paper,paper/sec_comunicacion.tex,43cf5bbc44d5ba319ce81ff2e46944a93e6bc5fa4c4547e9ec5dcd26850556b3,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-1a456bd458421bc8,13,26,13,PASS=6;LIMITED=5;FAIL=2,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_comunicacion.tex;pre-thesis/evidence/idea-ledger.csv::SRC-1a456bd458421bc8,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-d9a88ac6914a6bf6,paper,paper/sec_continuacion.tex,1ba358c3226efd665657f3fd03ecfcec5320c3ed8d4e0a56eaac13ec6bd57f91,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-d9a88ac6914a6bf6,9,35,9,PASS=4;LIMITED=5,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_continuacion.tex;pre-thesis/evidence/idea-ledger.csv::SRC-d9a88ac6914a6bf6,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-f141a29c49668c4d,paper,paper/sec_degradacion.tex,0bac0828e6c709e55e1c7a0eb7b08e12ea8778d9d13116223539cb4e89547b47,paper-formal-candidate,source-level-formal-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-f141a29c49668c4d,3,2,2,FAIL=2,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_degradacion.tex;pre-thesis/evidence/idea-ledger.csv::SRC-f141a29c49668c4d,"La fuente contiene resultados formales auditados individualmente, pero ninguno posee un claim-ID activo. El archivo completo permanece como cantera de monografía y no adquiere una relación de soporte.","Los veredictos PASS, LIMITED, FAIL, DUPLICATE o CONJECTURE pertenecen a cada resultado; incluso un PASS sin claim-ID no puede sostener una conclusión activa.",2026-09-09
SRC-ab5a52d833ca4d37,paper,paper/sec_ensayo_cierre.tex,a2d2bf9265a371dd917c3dcd93eeeaa974d7ee510de05562901e68fe300c8f96,paper-empirical-candidate,source-level-empirical-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-ab5a52d833ca4d37,5,0,0,,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_ensayo_cierre.tex;pre-thesis/evidence/idea-ledger.csv::SRC-ab5a52d833ca4d37,"La fuente reúne protocolo, interpretación, tablas o figuras candidatas, pero no está vinculada por localizador a datos, configuración y claim activos en el ledger canónico.","Las observaciones y visualizaciones permanecen pendientes por fragmento; no se infiere soporte a partir de cifras narradas, pies de figura o proximidad con otra sección.",2026-09-09
SRC-afc2c81571ed7321,paper,paper/sec_ensayo_cierre_figs.tex,1b6e0f8613312019d9cfc45e768fd70fbee081f03df074e23935f928d395a5b4,paper-empirical-candidate,source-level-empirical-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-afc2c81571ed7321,1,5,0,,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_ensayo_cierre_figs.tex;pre-thesis/evidence/idea-ledger.csv::SRC-afc2c81571ed7321,"La fuente reúne protocolo, interpretación, tablas o figuras candidatas, pero no está vinculada por localizador a datos, configuración y claim activos en el ledger canónico.","Las observaciones y visualizaciones permanecen pendientes por fragmento; no se infiere soporte a partir de cifras narradas, pies de figura o proximidad con otra sección.",2026-09-09
SRC-685c6ab29f44b9dd,paper,paper/sec_ensayo_cierre_interp.tex,836d6c27a109138d91062c640a4104e9ded6e9b0d0f3a41bb94dbc08574b2c0e,paper-empirical-candidate,source-level-empirical-candidate,,reviewed-unlinked,candidate-only,pre-thesis/evidence/source-claim-review.csv::SRC-685c6ab29f44b9dd,1,10,0,,pre-thesis/evidence/formal-results-audit.csv::path=paper/sec_ensayo_cierre_interp.tex;pre-thesis/evidence/idea-ledger.csv::SRC-685c6ab29f44b9dd,"La fuente reúne protocolo, interpretación, tablas o figuras candidatas, pero no está vinculada por localizador a datos, configuración y claim activos en el ledger canónico.","Las observaciones y visualizaciones permanecen pendientes por fragmento; no se infiere soporte a partir de cifras narradas, pies de figura o proximidad con otra sección.",2026-09-09
