finding_id,review_item,status,claim_id,statement_path,statement_line,statement_sha256,proof_path,proof_line,proof_sha256,pdf_state,inventory_relation,verification,residual_risk,required_action,test_evidence
RR-P1-SP1-MAXIMALITY,SP1 maximality and accepted-change bound,PASS,SP1 exact quota potential,pre-thesis/sections/thesis-results.tex,23,240cbc9894a01886dc56f5b81504c3da36082e3881b4539f725f0cd2a797115f,pre-thesis/sections/thesis-results.tex,27,240cbc9894a01886dc56f5b81504c3da36082e3881b4539f725f0cd2a797115f,ACTIVE_BODY,SEMANTIC_OVERLAY_OF_THESIS-FR-0004,Execution continues while a strict improvement exists; fairness activates persistent improvements; bound is at most (K+1)^N-1 accepted changes.,No wall-clock or review-count bound; text explicitly excludes seconds and global rounds.,None for this finding. Preserve the current qualification.,59 focal tests passed in 26.07 s; SP1 exhaustive adversarial audit from first review remains applicable.
RR-P1-SP7-MAXIMALITY,SP7 maximality and accepted-change bound,PASS,SP3 route exact potential,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp7.tex,107,ba164ee84933b9d0ef6d416dfeb9a627919112bbec421fc6859736d47ca36a1e,pre-thesis/sections/source-snapshot/appendices/08-sp7-proofs.tex,9,a3ed731e8571afe497068d0506c474e7ae656e958930537f1b5cc16b45ac574f,ACTIVE_BODY_AND_APPENDIX,SEMANTIC_OVERLAY_OF_THESIS-FR-0018,Statement says maximal path; proof says a truncated path does not inherit Nash termination; product route-profile bound counts accepted changes.,"Requires coherent current profiles and finite nonempty route catalogues, already stated nearby.",None for this finding.,59 focal tests passed in 26.07 s.
RR-P1-SP6-MAXIMALITY,SP6 maximality and finite-profile bound,PASS,Recovery exact potential,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,120,59f6accbd197fc3feeff135d39ab3a2e6dad3cdc562e950bfe9bf8fe46e1b4ae,pre-thesis/sections/thesis-appendices.tex,18,769eb5d1929e5fe22831e5af91fa90ae3e2e05c44edcdd7feba88566879fc3a9,ACTIVE_BODY_AND_COMPACT_APPENDIX,SEMANTIC_OVERLAY_OF_THESIS-FR-0014,Both active statement and compact proof require a maximal strict-improvement path and limit only accepted changes to 2^n_R-1.,Does not bound elapsed time without the separate scheduler-window premise.,None for maximality; close the separate time-proof failure below.,59 focal tests passed in 26.07 s.
RR-P1-SP6-POSITIVE-COSTS,SP6 strict positivity used by Nash-minimality equivalence,PASS,C6B-SP6,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,138,59f6accbd197fc3feeff135d39ab3a2e6dad3cdc562e950bfe9bf8fe46e1b4ae,pre-thesis/sections/thesis-appendices.tex,25,769eb5d1929e5fe22831e5af91fa90ae3e2e05c44edcdd7feba88566879fc3a9,ACTIVE_BODY_AND_COMPACT_APPENDIX,SEMANTIC_OVERLAY_OF_THESIS-FR-0015,"The theorem now states nonnegative capabilities, positive weights and kappa_i^6>0; the active proof uses strict positivity exactly where redundancy is excluded.","If D_6(0)=0, delta_min is a minimum over an empty set; declare a nontrivial post-failure deficit or split that trivial case.",No P1 action. Optional edge-case clarification.,59 focal tests passed in 26.07 s; previous zero-cost counterexample is now outside the declared domain.
RR-P1-SP6-TIME-WINDOWS,SP6 physical-time windows and active proof,FAIL,Recovery time bound,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,170,59f6accbd197fc3feeff135d39ab3a2e6dad3cdc562e950bfe9bf8fe46e1b4ae,,,,ACTIVE_STATEMENT_NO_ACTIVE_PROOF,SEMANTIC_OVERLAY_OF_THESIS-FR-0017,"The statement correctly covers detection-to-first review, successive decision windows and terminal certification, giving 2^n_R windows. The active compact appendix contains no derivation.",The nonincluded historical proof at pre-thesis/sections/source-snapshot/appendices/07-sp6-proofs.tex:103 has hash e58c72ceee92012315480659cc13c869999a8d09199fd5fe43ae490b3b5682ba and still uses the obsolete (2^n_R-1) timing premise.,"Add a compact active proof: m<=2^n_R-1 accepted moves, m+1<=2^n_R bounded windows, then maximum parallel travel plus settling. Do not activate the stale full block unchanged.",59 focal tests passed in 26.07 s; the arithmetic helper does not enforce scheduler windows.
RR-P1-PARTITION-QUANTIFIERS,Disconnected-components impossibility quantifiers,PASS,Cross-cutting partition impossibility,pre-thesis/sections/thesis-results.tex,64,240cbc9894a01886dc56f5b81504c3da36082e3881b4539f725f0cd2a797115f,pre-thesis/sections/thesis-results.tex,68,240cbc9894a01886dc56f5b81504c3da36082e3881b4539f725f0cd2a797115f,ACTIVE_BODY,SEMANTIC_REPLACEMENT_OF_THESIS-FR-0021,The class explicitly contains two locally indistinguishable instances with disjoint projections of global optima; determinism forces failure on at least one. Detection predicate is handled analogously.,Covers deterministic history-only algorithms; does not assert the same theorem for randomized algorithms or instances with side information.,None. Preserve singleton/known-interaction/common-optimum exceptions.,"Network tests in the 59-test focal suite pass but are illustrative, not the proof."
RR-P1-SP4-NORMALIZED-RESIDUAL,SP4 perturbed dissipation metric,PASS,Legacy SP2 pose dissipation with residual wrench,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp4.tex,173,2447c4f4da5d953e7099ddda4d5fb7264ddf2b3269629d8f8a495cd987ca63c5,pre-thesis/sections/source-snapshot/appendices/06-sp4-proofs.tex,65,4110eff9c0b63969494da7987b028ce98feb18a14a1de5278b783cca89de5991,ACTIVE_BODY_AND_APPENDIX,SEMANTIC_OVERLAY_OF_THESIS-FR-0013,"The active proof fixes ell_0, q=S_q z, D_tilde=S_q^T(D+K_D)S_q and r_tilde=S_q^T r before applying Young; it states scale dependence.",Main statement abbreviates the residual dependence as ||r_W||. Prefer ||S_q^T r_W|| or �the norm induced by the declared scale� in final prose.,No P1 action; optional notation clarification.,Algebra independently rechecked; focal suite passed 59 tests.
EXT-SP2-CARGO,External canonical SP2 Cargo nominal stability link,PASS,C-SP2-CARGO-NOMINAL-STABILITY,Subdocuments/SP2/sp2.tex,481,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments/SP2/sp2.tex,488,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,NOT_IN_ACTIVE_THESIS,EXTERNAL_SEMANTIC_OVERLAY_OUTSIDE_FOUR_CORPUS,"Stable external ID, exact path/hash, statement/proof anchors and claim-ID provide an explicit auditable link without changing the four-corpus manifest.",Evidence linkage is not editorial inclusion; the theorem is absent from the active PDF.,"If this is a mandatory spine theorem, condense it into thesis-results.tex or an active appendix.",SP2 tests are included in the 59 passing focal tests.
EXT-SP2-KINEMATICS,External canonical SP2 kinematic equivalence link,PASS,C-SP2-N1-KIN-FORMAL,Subdocuments/SP2/sp2.tex,682,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments/SP2/sp2.tex,690,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,NOT_IN_ACTIVE_THESIS,EXTERNAL_SEMANTIC_OVERLAY_OUTSIDE_FOUR_CORPUS,"Stable external ID, exact path/hash, statement/proof anchors and claim-ID provide an explicit auditable link without changing the four-corpus manifest.",Evidence linkage is not editorial inclusion; the proposition is absent from the active PDF.,"If mandatory, include the proposition with nonstationary-pivot and ideal-coupling scope.",SP2 kinematic tests are included in the 59 passing focal tests.
EXT-SP2-CROSS-MONOTONICITY,External canonical SP2 opposite monotonicities link,PASS,C-SP2-CROSS-MONO-FORMAL,Subdocuments/SP2/sp2.tex,765,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,Subdocuments/SP2/sp2.tex,779,8002b52d0ba3c71239856ec23be51106ffacfb5b655d9741d0697d034593d2e4,NOT_IN_ACTIVE_THESIS,EXTERNAL_SEMANTIC_OVERLAY_OUTSIDE_FOUR_CORPUS,"Stable external ID, exact path/hash, statement/proof anchors and claim-ID provide an explicit auditable link without changing the four-corpus manifest.",Evidence linkage is not editorial inclusion; the proposition is absent from the active PDF.,"If mandatory, include it while preserving full W_C versus sequential W_hat_C distinction.",Set proof rechecked; no dedicated executable theorem test required.
