result_id,block,result,status,active_source,proof_or_counterexample,assumptions_and_scope,units_or_domain,blocking_findings
FSF-01,SP1,"Potencial exacto, cuotas y mejora finita",PASS,pre-thesis/sections/thesis-results.tex,pre-thesis/sections/thesis-results.tex,"activación asíncrona justa; camino maximal; cuotas factibles; lambda>kappa_max",acciones finitas y costes adimensionales,0
FSF-02,SP1,Integrabilidad de capacidad heterogénea,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp2.tex,pre-thesis/sections/source-snapshot/appendices/04-sp2-proofs.tex,"dominio y capacidad declarados; separabilidad necesaria para potencial exacto",capacidad física normalizada antes del payoff,0
FSF-03,SP2,Equivalencia carga--unicíclo--ruedas,PASS,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,"acoplamiento ideal; pivote no estacionario; geometría P3DX declarada",SI: m s rad,0
FSF-04,SP2,Cota de ruedas en giro puro,PASS,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,"radio de rueda y semibase positivos; giro puro",rad/s derivado de m y s,0
FSF-05,SP2,Monotonicidades cinemática y mecánica opuestas,PASS,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,"conjuntos factibles definidos y comparación bajo hipótesis explícitas",inclusiones de conjuntos,0
FSF-06,SP2,Insuficiencia de capacidad escalar,PASS,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,pre-thesis/shared/formal-results/sp2-canonical-bridge.tex,"capacidad agregada no codifica soporte direccional ni límites de ruedas",contraejemplo analítico en SI,0
FSF-07,SP2,Estabilidad local Cargo con wrench exacto,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp4.tex,pre-thesis/sections/source-snapshot/appendices/06-sp4-proofs.tex,"contactos bilaterales fijos; realización exacta; vecindad local",energía y wrench en SI,0
FSF-08,SP2,Disipación perturbada normalizada,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp4.tex,pre-thesis/sections/source-snapshot/appendices/06-sp4-proofs.tex,"escala ell_0 fijada; perturbación acotada; matriz disipativa definida positiva",coordenadas normalizadas por S_q,0
FSF-09,E3,Unicidad del reparto regularizado,PASS,pre-thesis/sections/sp1-wrench-condensed.tex,pre-thesis/sections/sp1-wrench-proofs-condensed.tex,"QP admisible no vacío; regularización estrictamente convexa",wrench normalizado y variables SI,0
FSF-10,E3,Residual puro frente a certificado regularizado,PASS,pre-thesis/sections/sp1-wrench-condensed.tex,pre-thesis/sections/sp1-wrench-proofs-condensed.tex,"rho_W_min es mínimo puro; rho_W_star es certificado conservador regularizado",norma de wrench escalada,0
FSF-11,E3,Potencial continuo y acción inactiva,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp3.tex,pre-thesis/sections/source-snapshot/appendices/05-sp3-proofs.tex,"A_i={0} union P_i; restricciones físicas solo en acciones activas; resultado conservado en la monografía",payoff y potencial adimensionales,0
FSF-12,SP6,"Potencial, maximalidad y cota de cambios",PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,pre-thesis/sections/thesis-appendices.tex,"camino maximal; mejoras estrictas; conjunto finito de coaliciones",cota en cambios aceptados,0
FSF-13,SP6,Nash factibles mínimos con costes positivos,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,pre-thesis/sections/thesis-appendices.tex,"capacidades no negativas; pesos y costes estrictamente positivos; reserva factible",costes adimensionales,0
FSF-14,SP6,"PoS=1 y PoA sin cota uniforme",PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,pre-thesis/sections/thesis-appendices.tex,"dominio de costes positivos y familia constructiva declarada",cocientes adimensionales,0
FSF-15,SP6,Cota temporal de recuperación,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp6.tex,pre-thesis/sections/thesis-appendices.tex,"cada ventana agregada incluye activaciones sin cambio y certificación terminal",segundos,0
FSF-16,SP3-E7,Potencial de rutas y terminación,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp7.tex,pre-thesis/sections/source-snapshot/appendices/08-sp7-proofs.tex,"catálogos finitos no vacíos; perfiles coherentes; camino maximal",costes de ruta normalizados,0
FSF-17,SP3-E7,Ausencia condicional de conflictos e inanición,PASS,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp7.tex,pre-thesis/sections/source-snapshot/appendices/08-sp7-proofs.tex,"condiciones suficientes explícitas; no garantía global incondicional",dominio discreto de rutas,0
FSF-18,Transversal,Imposibilidad informacional bajo partición,PASS,pre-thesis/sections/thesis-results.tex,pre-thesis/sections/thesis-results.tex,"algoritmos deterministas de historial local; dos instancias indistinguibles con proyecciones óptimas disjuntas",argumento lógico sin unidades,0
