id,candidate,reference,metric,n_pairs,effect_mean_paired,ci95_low,ci95_high,p_value_raw,interpretation,p_value_holm,reject_holm_005
H-SP2-1,smith__marginal_deficit,smith__plain_deficit,normalized_regret,480,-0.02216026247244982,-0.03956723944467352,-0.005155447938160472,0.002894185980800354,candidate_better,0.014470929904001771,True
H-SP2-2,replicator__marginal_deficit,replicator__plain_deficit,normalized_regret,480,-0.02919810705085305,-0.0468964746905476,-0.01274165513736282,9.859486042179008e-05,candidate_better,0.0006901640229525306,True
H-SP2-3,erv_bnn__marginal_deficit,erv_bnn__plain_deficit,normalized_regret,480,-0.021227642881271405,-0.03815799815002195,-0.003402175176642557,8.111807808465728e-05,candidate_better,0.0006489446246772582,True
H-SP2-4,smith__marginal_log,smith__plain_deficit,normalized_regret,480,-0.040295979156038844,-0.05969930720596331,-0.02045512169250029,0.012133546890857477,candidate_better,0.036400640672572426,True
H-SP2-5,replicator__marginal_log,replicator__plain_deficit,normalized_regret,480,-0.034836930777618354,-0.05391483532912561,-0.01421116040873473,0.02604388972015905,candidate_better,0.0520877794403181,False
H-SP2-6,erv_bnn__marginal_log,erv_bnn__plain_deficit,normalized_regret,480,-0.03852652474009783,-0.05851994683634213,-0.017741204346053873,0.00730288758349167,candidate_better,0.02921155033396668,True
H-SP2-7,erv_bnn__marginal_log,smith__marginal_log,normalized_regret,480,-0.012133171406974346,-0.020105938058316054,-0.004492302751623071,2.789783834202872e-06,candidate_better,2.510805450782585e-05,True
H-SP2-8,erv_bnn__marginal_log,replicator__marginal_log,normalized_regret,480,-0.006072258994102001,-0.013689471917353875,0.0013515016090105104,0.0021911895529907206,inconclusive,0.013147137317944323,True
H-SP2-9,erv_bnn__marginal_log,greedy_capacity,normalized_regret,480,-0.05705102658269887,-0.0817294661943545,-0.032771845728244375,4.274030590007012e-08,candidate_better,4.274030590007012e-07,True
H-SP2-10,erv_bnn__marginal_log,auction_capacity,normalized_regret,480,-0.028618213667998896,-0.05024794027157185,-0.0062944812501044365,0.6519731357298206,candidate_better,0.6519731357298206,False
H-SP2-11,erv_bnn__marginal_log,milp_exact,normalized_regret,480,0.28173121596442835,0.2632497934627144,0.3019050795984676,4.512816409486089e-78,reference_better,4.964098050434698e-77,True
