candidate_id,short_reference,threatened_component,evidence_status_v3,v4_field_coding_status,required_next_check
C0BBF943B50C0,Guerrero Oliver Valero 2017,constrained coalition formation,passage-localized card,not_yet_recoded_to_v4,Audit coalition and authority fields from the primary article.
CC1697E0C2E40,Mazdin Rinner 2021,local communication-aware coalition formation,passage-localized card,not_yet_recoded_to_v4,Audit local recruitment and recovery fields from the primary article.
CFE80E994AC44,Ramchurn et al. 2010,spatial-temporal coalition constraints,passage-localized card,not_yet_recoded_to_v4,Audit canonical version and constraint scope.
C96F294D621AC,Verma et al. 2025,heterogeneous coalition formation,passage-localized card,not_yet_recoded_to_v4,Audit heterogeneity and variable-coalition fields.
C1B0A43A71755,Muhammed et al. 2026,decentralized cooperative transport,passage-localized card,not_yet_recoded_to_v4,Audit physical certificate and local-execution fields.
C8195CBC30FE2,De Simone et al. 2026,pose-force cooperative execution,passage-localized card,not_yet_recoded_to_v4,Audit shared-load and physical-certificate fields.
CF0BC51D9FA65,Song Bai Wakamiya 2026,self-allocation plus transport,passage-localized card,not_yet_recoded_to_v4,Audit SP1--SP2 integration and version status.
CD01C8A55EAC,Rao Sundaram 2022,decision-control integration,passage-localized card,not_yet_recoded_to_v4,Audit authority and safety assumptions.
C5543C6C3DDAB,Pi et al. 2021,cooperative transport hardware,passage-localized card,not_yet_recoded_to_v4,Audit physical modality and validation scope.
C4F0B5BB85F46,An et al. 2023,cross-layer transport framework,passage-localized card,not_yet_recoded_to_v4,Use as scope review, not as primary evidence of performance.
