anchor_id,anchor,coverage_role,expected_source,status,notes
G01,Gerkey and Mataric 2004 MRTA taxonomy,foundational MRTA taxonomy,manual bibliographic anchor,pending_validation,Must be located by the next full search even if not counted as an analytic record.
G02,Korsah Stentz and Dias 2013 iTax,interdependent-task MRTA taxonomy,manual bibliographic anchor,pending_validation,Tests vocabulary around utilities and task dependencies.
G03,Tuci Alkilabi and Akanyeti 2018,cooperative object transport and modalities,analytic corpus V3,pending_validation,Present in the V3 analytic corpus; verify canonical lineage in the next freeze.
G04,Guerrero Oliver and Valero 2017,coalition constraints and deadlines,close-read V3,pending_validation,Tests constrained coalition formation.
G05,Mazdin and Rinner 2021,communication-aware distributed coalition formation,close-read V3,pending_validation,Tests local communication terminology.
G06,Muhammed Nada and El-Hussieny 2026,decentralized cooperative transport,close-read V3,pending_validation,Tests distributed physical execution.
G07,Verma et al. 2025,heterogeneous coalition formation,analytic corpus V3,pending_validation,Tests heterogeneous team formation.
G08,Song Bai and Wakamiya 2026,adaptive self-allocation and cooperative transport,close-read V3,pending_validation,Tests the SP1--SP2 interface.
G09,An et al. 2023,communications platforms and cooperative object transport,close-read V3,pending_validation,Tests the cross-layer scope.
G10,representative MAPF or traffic baseline,SP3 planning and traffic,manual bibliographic anchor,pending_validation,Must be specified before the next search run; no current claim relies on its absence.
