"original_path","action","destination_path","category","reason","tracked_status","file_count","bytes","sha256_or_blank"
".claude","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\.claude","local-agent","Claude-local workspace metadata, not final deliverable","?? .claude/","2","4141",""
".pytest_cache","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\.pytest_cache","cache","pytest cache regenerated by tests","","4","832",""
".render_tmp","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\.render_tmp","cache","temporary rendering cache","","0","0",""
".texcache","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\.texcache","cache","LaTeX cache regenerated by build","","0","0",""
"archive","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\archive","archive","pre-cleanup historical runs and old outputs","?? archive/","9163","751762930",""
"configs\tuned_params.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params.json","1","861","FC65F5B7653CB685A75DD3A54BC97ACBA39E1E20AE2ECBAE0E2D3CA3D91ADC93"
"configs\tuned_params_v21.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v21.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v21.json","1","908","641EDA3FD5AF46BBCA566B5A62E5B3DD16842AB50FAF44CB0D8DC80612450553"
"configs\tuned_params_v22.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v22.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v22.json","1","857","649AC3A5D1502F7E369C6FD05FD0011A6FC437470A1FBA66AA5BCA1CDDDE32DE"
"configs\tuned_params_v22_scores.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v22_scores.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v22_scores.json","1","926","25AAFBE10B98ADBBC88657876B767443ECF8A503F785F7A61F2AA88BC629A486"
"configs\tuned_params_v23.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v23.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v23.json","1","859","E93696FDFEBCB8E3EC9FF9B7772A2DB187714E00BC17027359C4538A64FF3604"
"configs\tuned_params_v23_scores.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v23_scores.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v23_scores.json","1","884","86462383975C3D203AC966A482B27C7E470773689EC277930462EF609B454881"
"configs\tuned_params_v24.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v24.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v24.json","1","887","CFCE015B7D562D18A42A7548CEEEEB26B58EA8D8FBA19F329348AC00EB08B353"
"configs\tuned_params_v24_scores.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v24_scores.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v24_scores.json","1","751","FFF8E23D7B43BB4E7C7592E1940E5BE3F76562A98BA2DE40C42CE54E6FB3B15C"
"configs\tuned_params_v25.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v25.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v25.json","1","1011","70A39F904DB7F6D63C2B376FE40F90D2723B6FCD627C26E538B58640ABE6AC21"
"configs\tuned_params_v25_scores.json","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\configs\tuned_params_v25_scores.json","configs-old","old tuning snapshot; v26 remains canonical","?? configs/tuned_params_v25_scores.json","1","695","861C4E9EEA78CF504B18928A408FD0E3B56E6714DC225610E3B855B361554EED"
"coppeliasim\campaign_scenes","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\coppeliasim\campaign_scenes","coppelia-generated","generated campaign scenes; canonical smoke scenes remain in coppeliasim/scenes","?? coppeliasim/campaign_scenes/","20","378384",""
"docs\auditoria_submit_ready.md","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\auditoria_submit_ready.md","docs-old","working audit note, not canonical report","","1","3504","336CD09CDC98B828AE9FC678A56334EBE85AC211E11C25C8DF1B48796D2CA989"
"docs\claim_evidence_map.md","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\claim_evidence_map.md","docs-old","working evidence map, superseded by report validation section","","1","2941","AEB931A8CF3515EF52251521F14D76A33901A8258F61A8887200DD019A2E7F54"
"docs\doc-01-proposal","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-01-proposal","docs-old","superseded by docs/report","","65","4397315",""
"docs\doc-02-mid-report","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-02-mid-report","docs-old","superseded by docs/report"," M docs/doc-02-mid-report/references.bib |  M docs/doc-02-mid-report/sections/04-metodologia.tex | ?? docs/doc-02-mid-report/extended-results/","85","14074044",""
"docs\doc-03-advance-report","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-03-advance-report","docs-old","superseded by docs/report"," M docs/doc-03-advance-report/main.tex | ?? docs/doc-03-advance-report/extended-results/","38","9734741",""
"docs\doc-04-advanced-report","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-04-advanced-report","docs-old","superseded by docs/report","?? docs/doc-04-advanced-report/figures/fig-carga-rectangular-roles.tex | ?? docs/doc-04-advanced-report/figures/fig-energia-saltos.tex | ?? docs/doc-04-advanced-report/figures/fig-port-hamiltoniano-ruedas.tex | ?? docs/doc-04-advanced-report/main_before_dynamic_extension.pdf","46","4416511",""
"docs\doc-05-advanced-report","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-05-advanced-report","docs-old","superseded by docs/report","?? docs/doc-05-advanced-report/README.md | ?? docs/doc-05-advanced-report/figures/ | ?? docs/doc-05-advanced-report/images/ | ?? docs/doc-05-advanced-report/main.tex | ?? docs/doc-05-advanced-report/main_before_dynamic_extension.pdf | ?? docs/doc-05-advanced-report/references.bib | ?? docs/doc-05-advanced-report/sections/ | ?? docs/doc-05-advanced-report/viu-mrob-midreport.sty","50","4804212",""
"docs\doc-06-explanatory-report","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\doc-06-explanatory-report","docs-old","copied to docs/report as canonical source","?? docs/doc-06-explanatory-report/README.md | ?? docs/doc-06-explanatory-report/figures/ | ?? docs/doc-06-explanatory-report/images/ | ?? docs/doc-06-explanatory-report/main.tex | ?? docs/doc-06-explanatory-report/main_before_dynamic_extension.pdf | ?? docs/doc-06-explanatory-report/references.bib | ?? docs/doc-06-explanatory-report/sections/ | ?? docs/doc-06-explanatory-report/viu-mrob-midreport.sty","62","6865598",""
"docs\hallazgos_v2_7.md","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\hallazgos_v2_7.md","docs-old","working findings note","?? docs/hallazgos_v2_7.md","1","8941","52DDF68D5059BBE54C26DF89676BAA7F155DEB6B5D9F100200877A28B218A944"
"docs\report\main.aux","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.aux","report-generated","generated report artifact; source remains in docs/report","","1","90406","E1E05093ADD47A45455D6FE54B8E40FE429535B71456A42F433CFF0D3E825E00"
"docs\report\main.bbl","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.bbl","report-generated","generated report artifact; source remains in docs/report","","1","12586","CBABDDAB86FEBF37C7B7E7E55885519DB54A44CA87BED4322AC1706F2EC72BE3"
"docs\report\main.blg","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.blg","report-generated","generated report artifact; source remains in docs/report","","1","1056","5BFB470928D351689572710FE91A793D0C4EC99C995F968FAEFFF7FD76324DFA"
"docs\report\main.lof","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.lof","report-generated","generated report artifact; source remains in docs/report","","1","6946","83F87ED1D1BD7E489CAFE59041D39ADF7F8A9D961EEB5FB30E65FD8BAB093623"
"docs\report\main.log","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.log","report-generated","generated report artifact; source remains in docs/report","","1","135964","56A0EA10738921D35EAEE1A00A4D23ECE6E4A5F8357B4DBE43A38D507B4E8974"
"docs\report\main.lot","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.lot","report-generated","generated report artifact; source remains in docs/report","","1","4474","09BFD1C1937B7E3DA71A86C0D9A740C8A63278B200CA1F9B1D5D8D7A5891EA91"
"docs\report\main.out","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.out","report-generated","generated report artifact; source remains in docs/report","","1","37253","1003A3BFFC490935DAEEE420B2564F261B1514EEC3E483942993B39628FC097B"
"docs\report\main.pdf","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.pdf","report-generated","generated report artifact; source remains in docs/report","?? docs/report/main.pdf","1","2597874","2E61AF272CCE100A6B6A32F0768EEED58C39BD9E70E9BDB527C11F504BAEE3F7"
"docs\report\main.toc","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main.toc","report-generated","generated report artifact; source remains in docs/report","","1","18633","C2FA8A9778B9567EA192CEB968C21551F392129DB89E9C0B3017C7911959A349"
"docs\report\main_before_dynamic_extension.pdf","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\main_before_dynamic_extension.pdf","report-generated","generated report artifact; source remains in docs/report","?? docs/report/main_before_dynamic_extension.pdf","1","1395720","A06EBDFD25DE709FC9016583FD5814419161B1068F0B68E5182139DEBF200E3B"
"docs\resultados_tfm.md","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\resultados_tfm.md","docs-old","working results note","","1","5582","E6C668FD531571E7D6E789257C786AEA7CC86FCD46E3321192909CAF837325A0"
"docs\thesis-final","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\thesis-final","docs-old","superseded by docs/report","?? docs/thesis-final/TFM_MayorgaTaborda_v3_dinamico_extendido.docx | ?? docs/thesis-final/TFM_MayorgaTaborda_v4_port_hamiltoniano_ruedas_obstaculos.docx | ?? docs/thesis-final/figures/generated_dynamic/ | ?? docs/thesis-final/pdf_actualizado_text.txt | ?? docs/thesis-final/render_tfm_dynamic_ext_manual/ | ?? docs/thesis-final/render_tfm_dynamic_ext_manual_v2/ | ?? docs/thesis-final/render_tfm_v4/","123","30884259",""
"guidelines","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\guidelines","guidelines","institutional source PDFs kept outside final repo","","10","8362996",""
"output","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\output","generated-output","generated logs and PDFs, not source","","2","22050",""
"reproduce_v2_7.sh","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\reproduce_v2_7.sh","scripts-old","old reproduction helper superseded by Makefile targets","?? reproduce_v2_7.sh","1","446","4B292CA1BB293D8C54D096AC648E6452D6717A0FC4D9F4F001133D5AFE5158D6"
"results\_quarantine","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\_quarantine","results-heavy","previous quarantine snapshot","?? results/_quarantine/","99","18448403",""
"results\animations","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\animations","results-heavy","generated animations","","28","67223046",""
"results\benchmark-v27-full","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\benchmark-v27-full","results-heavy","large raw benchmark campaign","?? results/benchmark-v27-full/","7952","848559372",""
"results\figures","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\figures","results-generated","regenerated figures","","1","1",""
"results\figures_pdf","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\figures_pdf","results-heavy","generated PDF figure renders","","137","26571414",""
"results\processed","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\processed","results-generated","regenerated processed outputs","","1","1",""
"results\raw","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\raw","results-generated","regenerated experiment raw outputs","","17","2973825",""
"results\reports","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\reports","results-generated","regenerated report outputs","","1","1",""
"results\tables","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\tables","results-generated","regenerated tables","","1","1",""
"results\trajectories","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\results\trajectories","results-heavy","generated trajectory exports","","98","27379754",""
"scripts\__pycache__","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\__pycache__","cache","Python bytecode cache","","37","817676",""
"scripts\build_tarea1_docx.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\build_tarea1_docx.py","scripts-old","old document generator superseded by docs/report","","1","47408","3837450F65611D361793071ED912821B875EE02DDE586ECDA08661551F9B5E43"
